date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產
2013-04-29,1,2013,494,14523.0,-37136,5655,,980.0,-114,130,244,-110159,0.0,,-149,-2576,2,0.0,-41.0,,-21442,42151,11386,26086,-2207,463.0,-109143,38291,-22148,,-123,114,,,2013年01月01日至2013年03月31日,118553,130319,11766,163493,,197063,197084,,,-76400,-76398,163493,,12641,6427,19068,1206,,-534,33591,529,130319,-12,,-1665.0,,-4752,0.0
2013-08-13,2,2013,552,26123.0,-29707,9496,,0.0,-454,239,291,-173086,0.0,,-185,-2186,0,5.0,0.0,2228.0,43555,-20591,453,-42069,-5333,499.0,-169742,75043,-47354,745.0,-222,454,,,2013年01月01日至2013年06月30日,118553,154193,35640,332382,,246976,303300,,,-41890,-41885,332382,,-51665,-3540,-55205,1301,,-462,-29082,2785,154193,-56556,,-9189.0,,-5104,0.0
2013-11-13,3,2013,733,47957.0,-5015,-16386,,0.0,-522,775,153,-236902,0.0,,-653,-1717,4,0.0,0.0,3651.0,-19567,88960,-20589,-103690,4323,509.0,-232603,115285,-67293,1157.0,-709,522,15189.0,,2013年01月01日至2013年09月30日,118553,140679,22126,496881,,348972,437632,-400500.0,306100.0,0,-94396,496881,,69765,-176971,-107206,1301,,-461,-59249,8781,140679,-103662,,-41651.0,,-2881,0.0
2014-03-19,4,2013,733,92265.0,22844,-6043,-7000.0,0.0,-553,1358,582,-284332,0.0,-34230.0,-700,8325,876,0.0,0.0,3639.0,-204722,34673,-25090,-85783,9757,-1503.0,-314323,157520,-85840,1583.0,-1295,549,62077.0,,2013年01月01日至2013年12月31日,118553,128960,10407,655929,,430995,477113,-400500.0,292777.0,0,-106847,655929,,32432,-303513,-271081,1300,,-461,-178816,1251,128960,-107449,9600.0,-9722.0,,257,0.0
2014-04-30,1,2014,0,26236.0,-54315,2388,,161.0,-22,779,50,-70124,,,-221,-228,1,,-34.0,,102253,-31362,-5535,8601,3189,-125.0,-69950,43628,-18046,393.0,-827,25,,,2014年01月01日至2014年03月31日,128960,112422,-16538,147197,,125498,126303,,,-72137,-72136,147197,,-90151,43021,-47130,429,,-429,-20894,-755,112422,-3,,-73410.0,,1941,
2014-08-13,2,2014,43,56251.0,-25351,10085,,,-66,1267,6,-141171,,,-221,-17,1103,,,-5.0,35504,-36715,4182,20640,-11143,-248.0,-140102,88248,-32736,807.0,-1323,70,12961.0,,2014年01月01日至2014年06月30日,128960,119502,-9458,285734,,282712,327615,,,-153177,-152074,285734,,-54947,40577,-14370,1295,,-1295,41881,326,119502,-56611,,-14509.0,,2859,
2014-11-05,3,2014,43,86325.0,24808,-9630,,,-94,1672,47,-227397,,,-221,70,1,,-23.0,0.0,89879,51681,26288,-41893,-16007,-395.0,-226248,133607,-48886,1261.0,-1695,98,12961.0,,2014年01月01日至2014年09月30日,128960,162025,33065,469146,,559442,651049,-267000.0,0.0,-33177,-300176,469146,,105572,-9994,95578,1393,,-1348,181903,773,162025,-102971,,-32343.0,,2417,
2015-03-11,4,2014,976,125054.0,13612,7493,0.0,0.0,-162,2190,150,-300930,0.0,0.0,-620,-67,4,0.0,-88.0,0.0,85353,-27108,9712,66588,1311,-10444.0,-299492,179159,-69656,1640.0,-2253,166,41467.0,,2014年度,128960,165488,36528,623679,,831151,901734,-267000.0,0.0,-228285,-495281,623679,,-5486,158487,153001,2146,,-2026,278055,6828,165488,-109963,13000.0,-2258.0,,1914,0.0
2015-04-28,1,2015,0,,-40612,504,,0.0,-119,190,-31,-42495,,,0,1449,0,-1.0,0.0,17.0,116884,109957,-19060,78074,5412,,-42181,47599,-12309,232.0,-205,119,,37068.0,2015年01月01日至2015年03月31日,165488,430435,264947,162351,-264.0,467052,467680,,,-159892,-159893,162351,,49595,218666,268261,297,,26,305329,-4810,430435,-542,,17792.0,,4384,
2015-08-06,2,2015,0,,-16677,1027,,,-478,263,-14,-81963,,,0,1948,1512,0.0,0.0,40.0,59134,10653,-5902,94174,5007,,-81626,93745,-24873,446.0,-277,478,10119.0,71077.0,2015年01月01日至2015年06月30日,165488,459804,294316,351078,-634.0,511336,558484,,,-136892,-135380,351078,,-17288,153617,136329,297,0.0,26,207406,-4354,459804,-57468,,-5725.0,,-374,
2015-10-28,3,2015,2578,,13867,-7444,,-14655.0,-632,497,248,-114079,,-28422.0,-160,3337,1589,,,-65.0,240773,-27085,10098,27624,16081,,-142019,137623,-43576,671.0,-509,632,10119.0,85459.0,2015年01月01日至2015年09月30日,165488,390993,225505,542690,-1010.0,816579,910622,-390000.0,,-60892,-449303,542690,,-6075,288548,282473,707,,-384,367932,-2386,390993,-104285,,,11514.0,441,
2016-03-02,4,2015,2972,,33808,2415,0.0,-14645.0,-1149,541,168,-139603,0.0,-28422.0,-160,-1458,0,-832.0,-62.0,0.0,275363,-19058,-2427,150983,11512,,-166684,184489,-62101,931.0,-556,1149,54626.0,108340.0,2015年度,165488,710796,545308,743915,-1797.0,1262548,1318969,-390000.0,0.0,-159892,-550724,743915,,7922,458792,466714,1563,,-1240,575054,-558,710796,-111640,0.0,18519.0,,-2046,0.0
2016-04-26,1,2016,125,,-37420,-2412,,,-670,9,-67,-15843,,,-49,-308,0,-1.0,0.0,34.0,9222,-15713,-9670,-23625,19366,,-15858,47778,-9588,275.0,-9,670,,47626.0,2016年01月01日至2016年03月31日,710796,711098,302,203134,-162219.0,16228,15935,,,0,-1,203134,,-223869,-10956,-234825,0,0.0,5,-187199,-4458,711098,-368,10000.0,-13507.0,,5611,
2016-08-09,2,2016,125,,-34816,2596,,,-1481,18,-175,-39002,,,-49,-8,0,-1.0,-30.0,0.0,-11764,-39127,3598,-54395,14313,,-39081,95468,-19100,532.0,-18,1481,11666.0,85559.0,2016年01月01日至2016年06月30日,710796,850208,139412,455541,-162156.0,178669,231962,,,0,-1,455541,,-234871,-74267,-309138,0,0.0,5,-223579,-4279,850208,-66422,10000.0,-25017.0,,1909,
2016-10-21,3,2016,125,,7902,-3407,400.0,0.0,-2266,312,-579,-78981,,-10000.0,-49,108,0,-2.0,,-364.0,-1348,43589,3780,-63004,4411,,-89394,142877,-29495,714.0,-308,2266,25028.0,109018.0,2016年01月01日至2016年09月30日,710796,859973,149177,691572,-162113.0,547152,617786,-450000.0,142000.0,0,-308002,691572,-13362.0,-107573,-75231,-182804,0,,5,-73786,-4366,859973,-97620,10000.0,,-12283.0,3635,
