date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,存出保證金增加,存出保證金減少,存貨（增加）減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,372003.0,0,-479798,-23124,674,2620,1221,2003.0,-52292.0,,-4541,42897,193570,-8937,-4.0,,3390,-7946,-40.0,-61233,333637,-60687,5785,,2013年01月01日至2013年03月31日,5527841,5896793,368952,483185,,804406,798621,,0.0,,-567791,483185,-75780,19213,-56567,0.0,,10,,,315436,5896793,,-27306,17925,-53290
2013-08-13,2,2013,752077.0,0,-1093018,9758,1092,-264911,4435,2003.0,-94146.0,,-11965,84615,231339,-393091,-43.0,,-54518,-80804,150.0,-487280,679417,-92230,12899,,2013年01月01日至2013年06月30日,5527841,4890658,-637183,997731,,997685,1292283,,0.0,,-1378927,997731,-86859,-370666,-457525,0.0,,10,,,294552,4890658,-307497.0,-193679,23129,-97859
2013-11-11,3,2013,1132741.0,236328,-1565036,-55040,-3382,-112260,3663,2003.0,-4960.0,,-14224,122160,142507,-554810,-38.0,,-4430,10174,459.0,47686,1022275,-144358,15745,,2013年01月01日至2013年09月30日,5527841,4513625,-1014216,1325270,,1984248,2276000,-710380.0,-114000.0,,-3188657,1088942,-117375,-64636,-182011,0.0,,10,607494.0,2520.0,950730,4513625,-307497.0,-654883,36214,-59412
2014-03-28,4,2013,1497236.0,236321,-2002055,-31155,-1165,-110942,7965,2003.0,-21728.0,,-18630,157614,195915,-667659,-45.0,,-44574,-154345,534.0,-82756,1355726,-172913,19254,,2013年01月01日至2013年12月31日,5527841,4633022,-894819,1775897,,2675095,2963351,-710380.0,-64000.0,,-3683073,1539576,-40860,-268922,-309782,0.0,0.0,10,606676.0,2516.0,1187454,4633022,-307510.0,-733725,30971,-9074
2014-05-14,1,2014,370525.0,0,-479908,10127,3163,-17459,-7762,0.0,3411.0,,-2606,32789,142407,-381071,-23.0,,29530,-5389,75.0,-377683,340342,-43992,1844,,2014年01月01日至2014年03月31日,4633022,4638209,5187,437452,,708389,706545,,0.0,,-467926,437452,-43371,-58061,-101432,,,0,0.0,0.0,269093,4638209,,55974,-56981,-56736
2014-08-13,2,2014,733956.0,0,-847191,38776,101,8301,-9252,0.0,,28830.0,-5515,64099,-65394,-412133,,5.0,-35954,109481,389.0,-383298,675372,-68841,4826,,2014年01月01日至2014年06月30日,4633022,4567235,-65787,801176,,1381543,1566247,,,-50000.0,-998638,801176,-30851,61966,31115,,,0,,,765071,4567235,-189530.0,-32606,-10610,-70117
2014-11-13,3,2014,1025548.0,102037,-942955,60155,-719,-94113,-11038,0.0,,121894.0,-8922,94553,-319483,-1097042,-33.0,,-55033,110903,246.0,314384,988637,-104493,8243,,2014年01月01日至2014年09月30日,4633022,5297160,664138,1090953,,1936007,2117294,-625135.0,,-50000.0,-1266770,988916,44411,-43618,793,569457.0,,0,1289565.0,-48720.0,1026341,5297160,-189530.0,-113644,5663,-15271
2015-03-27,4,2014,1385230.0,155982,-1854122,30352,-2668,-212589,5044,0.0,-31585.0,,-14117,128822,377458,-1746418,-56.0,,-75896,83970,328.0,-480790,1319462,-130038,12255,,2014年度,4633022,5306344,673322,1422056,,2365283,2542568,-625135.0,10000.0,,-1588629,1266074,-49323,-215395,-264718,1145718.0,,73,1297269.0,-49010.0,1120512,5306344,-189540.0,-135052,-15924,-77335
2015-05-14,1,2015,,40490,-681016,-69637,34,146365,-8853,,,32860.0,-4948,33955,-92303,-23808,10.0,,24655,50801,,711318,330988,-43818,5545,306566.0,2015年01月01日至2015年03月31日,5306344,6038273,731929,410872,46.0,896060,890515,0.0,,0.0,-783146,370382,-46852,219929,173077,0.0,,0,702256.0,-53429.0,479643,6038273,0.0,-58312,6961,22705
2015-08-13,2,2015,,40132,-1125003,-52195,2037,75155,-19418,,,9246.0,-9090,66400,-207394,-84652,,13.0,34005,-1175,,619288,657218,-68887,10692,661710.0,2015年01月01日至2015年06月30日,5306344,5820965,514621,785056,170.0,1409178,1507489,,,0.0,-1306451,744924,-52866,113589,60723,,,34,694681.0,-52852.0,722433,5820965,-109003.0,-112561,25022,-2878
