date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動
2013-11-13,3,2013,342446,163756,-12626,-28545,-33154,1759,-6329,,-4062,8095,21584,-217122,,0,15998,,-3531,-10936,,-2030,120419,-109999,-250518,0,,-191497,334087,-3234,11925,-9225,4062,,,2013年01月01日至2013年09月30日,782429,1095242,312813,279432,441770,458245,0,,40956,40956,279432,253600,-417233,-163633,33726,-20363,,0,178813,1095242,-11312,
2014-03-21,4,2013,445350,235625,-20307,3925,-91602,22439,-6341,,-6074,10872,38486,-314086,,-987,11610,,-3661,33417,,-264922,161058,-62896,32338,0,,-241332,441133,-5352,16705,-12042,6074,2049,,2013年01月01日至2013年12月31日,782429,1842706,1060277,391214,842295,863200,675780,,-254952,420828,391214,135686,-109050,26636,59255,-23544,,0,471986,1842706,-14937,
2014-05-09,1,2014,102767,91023,4697,-9362,-21808,-4086,-346,,-1357,2041,44056,-84668,,,-5588,,-766,-240510,,138107,-148455,-465559,719299,,,-89866,104408,-1764,4824,-2110,1357,,,2014年01月01日至2014年03月31日,1842706,2069721,227015,105671,271527,275870,,,1298,1298,105671,71313,-3881,67432,0,203,,,170199,2069721,-3590,
2014-08-13,2,2014,215614,-17339,23464,-20723,-67543,-16815,-885,,-4035,4786,30918,-261395,,,0,,-1023,-280476,,505865,-76041,-750883,549167,,,-273254,207898,-3126,9585,-3790,4035,2987,,2014年01月01日至2014年06月30日,1842706,2113349,270643,250310,330192,331415,,,182787,182787,250310,391762,-526271,-134509,3877,506,,,81105,2113349,-1468,
2014-11-04,3,2014,332584,51722,19702,-1622,-49362,-26673,-885,2056,-7270,6617,43644,-477575,,-1031,0,-639,,-290716,,848781,-136652,-666383,-52915,,,-498991,317532,-4651,11901,-6804,7270,2987,,2014年01月01日至2014年09月30日,1842706,1599450,-243256,429660,465632,484799,,-257898,25139,-253541,429660,762229,-1039674,-277445,4825,6399,,,55139,1599450,-19633,-20782
2015-03-19,4,2014,427809,47322,7199,41845,-73110,-23388,-1434,2759,-10111,8095,120570,-656695,,-2844,-16186,,-2083,-276284,,578523,40708,-524173,-26065,,,-676503,428822,-9680,15016,-8296,10111,2987,,2014年度,1842706,1990764,148058,578313,784477,822087,0,-257898,198194,-80486,578313,708398,-892433,-184035,6954,9094,,,243774,1990764,-39425,-20782
2015-05-05,1,2015,,-239569,13671,37767,78174,-3142,-115,718,-5514,1620,15330,-129025,,-1071,10288,,1165,153028,,-357035,-232493,144025,529028,,-633,-132158,123694,-3915,3066,-1509,5514,,131977,2015年01月01日至2015年03月31日,1990764,2114124,123360,73676,324456,331616,,,-84268,-84268,73676,-791330,917293,125963,30,2020,,,257940,2114124,-11165,
2015-08-10,2,2015,,-166906,16652,-68267,44744,-2566,-4537,,-9194,3287,-7588,-232950,,-1555,417,,2205,17887,,-412052,-161265,290866,411634,,-562,-235153,240358,-8150,7182,-3287,9194,0,233755,2015年01月01日至2015年06月30日,1990764,1952758,-38006,150626,341658,357112,,,-136923,-136923,150626,-808490,781221,-27269,4250,-145,,,206486,1952758,-21361,
2016-03-17,4,2015,,-39768,20778,-41674,25365,2217,-4546,,-14852,6568,27706,-369180,,-3692,-617,,6823,-252173,-226672,150329,-125445,70320,352364,-1558,,-225383,493385,-11695,13077,-6568,14852,0,478759,2015年度,1990764,2010561,19797,320955,941196,958252,,-451322,-45728,-723722,320955,-56558,215096,158538,5158,13807,137837,-20914,637297,2010561,-25340,0
2016-05-10,1,2016,,-80005,-2177,-2522,44239,713,0,,-1347,1568,-12600,-28252,,-213,19,,-12769,-83325,,-284526,-172259,-358381,519036,-605,,-40519,123966,0,2611,-1568,1347,,129035,2016年01月01日至2016年03月31日,2010561,1734521,-276040,87847,-213321,-203643,,,-9600,-9600,87847,-539312,118787,-420525,2,2218,,,-291490,1734521,-9457,
