date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少
2013-11-04,3,2013,0,26372,-12980,-49379,,,3231,-591,,,,,-1983,0,24303,-21004,,,-2904,-92950,,1634,154,-8234,,-193650,,6187,,44643,-125092,5438,,2173,,1928,,2013年01月01日至2013年09月30日,496636,603959,2179,107323,347862,167972,166044,39986,,,0,,,40140,347862,3164,-3562,-204628,-208190,0,0,,,,-181818,603959,,,13767,-5651
2014-03-18,4,2013,106,32234,40769,-4506,,,2754,50,,,,,-2733,0,49325,-31339,,,-2939,-96547,,21,2303,-19092,,-108156,,12348,,28768,-149917,8970,,2908,,2821,,2013年01月01日至2013年12月31日,496636,2005608,2768,1508972,530325,538550,535753,1068711,,,0,,,1071014,530325,4335,55871,-82677,-26806,0,4,,,,5428,2005608,-24,,15855,1167
2014-05-12,1,2014,,18000,-14007,-11226,,,-3597,0,,,-99056,,-1825,,55470,-1910,,,0,-251159,,253,,-2660,,-47672,,28313,,-5975,-354785,3098,,89,,772,,2014年01月01日至2014年03月31日,2005608,1772761,1104,-232847,114667,66468,74999,0,,,,,,0,114667,888,10709,-68377,-57668,,,,,,-39668,1772761,-9303,,14393,-3504
2014-08-12,2,2014,,40752,-37147,-13456,,,-10931,0,,,,,-5829,,1713,-9662,-98561,,0,-598652,,1180,9931,11496,,-95708,-302637,70964,,-77918,-998016,6379,,3093,,2547,,2014年01月01日至2014年06月30日,2005608,1221086,1187,-784522,343998,201850,213037,0,,,,,,9931,343998,3106,22886,-194599,-171713,,,,,,-130961,1221086,-13734,,31636,-7517
2014-11-07,3,2014,,59823,-26099,-5512,,,-9642,0,,,,,-8854,,48331,-35167,-98897,-71508,-61,-617557,,2315,9931,10607,,-156085,-302637,91342,,-131865,-1115220,10048,227,6127,,6336,,2014年01月01日至2014年09月30日,2005608,1135907,-316,-869701,557419,346202,363747,0,-158945,,,,,-149014,557419,3793,55601,-309096,-253495,,,,,,-193672,1135907,-23881,,46483,-15634
2015-03-30,4,2014,0,95498,15288,-12928,-20000,,-9504,0,,,,,-13384,,165396,-38035,-98897,-71685,-9797,-508115,,2090,11480,9815,,-257502,-302637,109634,,-83362,-1019351,13863,10494,9467,,10046,,2014年度,2005608,1621755,26,-383853,787349,621219,601270,0,-162597,,,,,-151117,787349,9679,115418,-396995,-281577,,18,,,,-186079,1621755,9903,,63245,-23203
2015-05-11,1,2015,,,10228,-17952,,,15687,,-43,,-469500,,-3136,,-37050,-3738,,,-85,,138167,-402,2268,0,295,-20893,-86512,-33221,-2105,-23920,-421323,4738,12,4573,,3485,29515,2015年01月01日至2015年03月31日,1621755,1265298,-10,-356457,207447,136281,132830,,-21633,,,,-15000,-34365,207447,16285,-9411,-94721,-104132,50,379,-2072,,,-74617,1265298,-34,,9148,-31913
2015-08-12,2,2015,,,-16123,-9046,,,238,,-100,,-462900,-51184,-7423,,-81408,-4975,-35335,,-117,,0,850,6506,-6013,,-113632,-86512,98582,-2105,-120576,-500056,9538,12,9365,,4743,64474,2015年01月01日至2015年06月30日,1621755,1428437,16,-193318,513993,421220,419919,,-24580,,,,-15000,-33074,513993,33737,80592,-239140,-158548,48,376,-2072,,146932,-94074,1428437,-3442,,20075,4214
2015-11-10,3,2015,,,650,6551,,,9399,,-148,,-328700,-113621,-11569,,86087,-12272,-35335,0,-117,,-102247,2492,9517,-3954,,-373320,-86512,64396,-2103,-93761,-681040,14136,12,14560,,8607,115334,2015年01月01日至2015年09月30日,1621755,1207137,-429,-414618,807641,507446,512844,,-321628,,,,-15000,-327111,807641,67376,72342,-482473,-410131,1718,77,-2072,,,-294797,1207137,-14005,,30751,-21795
2016-03-18,4,2015,,,74814,-9769,0,,2512,,-180,,-36108,-111162,-16095,,63601,-30831,-56030,-373442,-117,,-96230,1272,10023,-4533,,-547368,-86512,128811,-2105,-66569,-793246,18987,12,19834,,9843,20305,2015年度,1621755,1420685,-501,-201070,1261637,855180,871489,,-321628,,,,-15000,-326605,1261637,125534,204032,-614485,-410453,1719,171,-2239,-312747,,-390148,1420685,-26152,,186077,9401
