date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-08-12,2,2013,60502,,-3227,7314,9644,-294,,2042,-78,-174,,,0,-1132,6824,13718,-55142,,458,4516,27405,-1276,482,75,-130188,3946,-971,-44,-18,-55142,53750,602,-6668,1132,,2013年01月01日至2013年06月30日,213648,309178,95530,67311,,47698,46347,,,,99151,,89256,67311,45668,-127134,-81466,,0,0,-20964,309178,219,,0,-3847
2013-11-08,3,2013,91282,,,7040,1501,-216,,1755,-373,13821,,,,-1768,10251,8025,-86029,0,627,22875,-7760,-1256,-811,32,-58262,3961,-2752,-74,-12,-86029,81297,875,-10255,1768,,2013年01月01日至2013年09月30日,213648,267964,54316,102001,,163494,168290,,-60900,,-13046,,-31174,102001,489,-25482,-24993,53027,0,0,66289,267964,-6564,,0,-4462
2014-03-19,4,2013,120015,,,8465,-5109,424,,1144,265,30190,,,0,-2478,13612,-3453,-107364,-114,-407,-11817,6533,-1176,187,91,-3678,5686,-30375,-71,-178,-107478,107981,1307,-13561,2478,,2013年01月01日至2013年12月31日,213648,302334,88686,145495,,256899,262809,,-60900,,-24409,,-57282,145495,9957,-12658,-2701,41588,,,117314,302334,-8388,,0,-3282
2014-05-07,1,2014,33941,,-34515,-890,-23157,-3818,-3000,615,-107,-1116,,,,-871,3348,1314,-7965,,3290,-48201,13743,-84,-626,-79,-95414,0,19101,71,0,-10769,27990,318,-3050,871,,2014年01月01日至2014年03月31日,302334,358861,56527,55812,,-59121,-53280,213000,,,-50332,,125103,55812,-10478,-132555,-143033,,196,-134,-109092,358861,-6712,,,-3071
2014-07-30,2,2014,62115,,-34415,10582,-15542,-13372,-3000,1759,-149,3264,,,,-2080,6017,-13702,-57622,-400,2493,5449,6771,-88,421,7328,-120023,0,-4542,71,2,-60827,55180,638,-5932,2080,,2014年01月01日至2014年06月30日,302334,308008,5674,133047,,49208,77788,213000,,,-141658,,30995,133047,11233,-128607,-117374,,195,-133,-55259,308008,-30660,,,695
2014-11-03,3,2014,97013,,-184315,991,-24193,-3139,-3000,2923,-87499,1351,,,,-3775,9894,1697,-74768,-562,5489,-68299,-10719,-72,352,3665,-129458,-1575,-19695,71,3,-77924,85155,861,-8813,3775,,2014年01月01日至2014年09月30日,302334,710579,408245,202305,,-87357,-43018,213000,-102000,720000,-66043,,571829,202305,-27050,-315286,-342336,0,406,-179,-245323,710579,-48114,-432,,-7043
2015-04-27,1,2015,,0,-49900,-9048,1308,-1015,0,-1116,8784,-2879,,,,-3838,5251,-8637,-38384,0,-244,-24856,31019,323,701,891,34364,-415,-10737,-332,,-38384,31569,231,-1413,3838,32969,2015年01月01日至2015年03月31日,699460,700517,1057,50169,0,105186,108122,0,0,0,-5795,,-57108,50169,24078,906,24984,0,0,0,57953,700517,-6774,0,,-2008
2015-08-04,2,2015,,0,-49800,-3780,-1481,-2003,0,-647,11201,,-3339,0,,-7583,10370,-17903,-102139,0,-1084,5709,24174,-20,485,792,58009,-133,-14723,-344,,-105478,63561,463,-2624,7845,67960,2015年01月01日至2015年06月30日,699460,730613,31153,97196,0,214729,241949,0,,0,,-7771,-60195,97196,19523,57270,76793,0,0,0,144753,730613,-35065,2233,,-446
2015-11-03,3,2015,,0,-99700,-10787,1413,-305,0,-287,12714,,-5134,0,,-10035,15363,9104,-170854,0,-1920,-4823,25671,397,1089,1291,36398,-161,-19192,-256,,-175988,96041,653,-3731,10439,104494,2015年01月01日至2015年09月30日,699460,574569,-124891,184388,0,286018,327467,0,-102000,0,,-38594,-244025,184388,18787,19798,38585,0,0,0,143079,574569,-51888,4392,,-4577
2016-03-22,4,2015,,,-99600,19276,20447,-3049,0,-3882,24813,,-32680,,,-11323,20089,-6545,-271475,-75,-3005,72227,15829,478,404,714,141044,-1204,-21025,0,,-304230,128689,829,-4550,11696,142552,2015年度,699460,713568,14108,210172,0,567619,619535,0,-102000,0,,-36586,-242736,210172,53266,213545,266811,,0,0,409363,713568,-63612,7273,,739
