date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,0.0,14036.0,0.0,,-11314,0.0,792,0.0,-133,2078,-2794.0,0.0,,0.0,0.0,3000.0,-954,3018,-31138,-43,0,,158,-3,,1155,-531,0.0,0.0,-26051.0,0.0,0.0,0.0,0.0,11954,0.0,0.0,0.0,0.0,0.0,11045,3096,0.0,0.0,,0.0,971,-3325.0,72,,2013年01月01日至2013年03月31日,28927,36527,2767,0.0,7600,7557,-4537,-4406,,0.0,,35558,32230,7557,0.0,0.0,-40292,14293,-25999,,9086.0,775.0,,0.0,-2147.0,0.0,0.0,-774.0,0.0,0.0,,,-11963,0.0,0.0,36527,-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.0,0.0,0.0,0.0,0.0
2013-08-12,2,2013,,21935.0,,,-18023,,5555,,-3130,3127,,,0.0,,,1916.0,-1593,5856,-42251,-210,-5705,,-111,939,,1035,4524,,,-7178.0,,,,,15551,,,,,,5873,6136,,,,,5110,-6595.0,26,,2013年01月01日至2013年06月30日,28927,21891,2679,,-7036,-4616,17638,17745,,,,17360,11704,-4616,,,-28331,28757,426,,9083.0,1644.0,,,-2148.0,,,4090.0,,,,,22361,,,21891,-107,,,,,,,,,,,,,,
2013-11-12,3,2013,,18167.0,,,-22578,,11834,,1821,6516,,,,,,1627.0,-2334,9268,-28962,-247,0,,-229,1728,,1146,-10105,,,-2032.0,,,,,26510,,,,,,11930,9145,,,0.0,0.0,516,-9958.0,74,,2013年01月01日至2013年09月30日,28927,35116,-1577,,6189,-43458,-13349,-13325,,,,44800,36570,-43458,,,-22789,34755,11966,,9313.0,1644.0,,,-2202.0,,,3953.0,,,,,30133,,,35116,-24,,,,,,,,,,,,,,
2014-03-20,4,2013,,25348.0,,,-30181,,2261,,-2,7353,,,,,,4670.0,-3003,12803,-47581,-309,0,,-678,1415,,6395,12009,,,-15903.0,,,,,22001,,,,,,34003,11888,,,0.0,0.0,630,-13499.0,2800,,2013年01月01日至2013年12月31日,28927,41149,1111,,12222,-35810,-15849,-12924,,,,53733,41649,-35810,,,-46086,43624,-2462,,8766.0,16351.0,0.0,,-2073.0,,,0.0,,,,,22886,,,41149,-2925,,,,,,,,,,,,,,
2014-05-12,1,2014,,11376.0,,,-800,,-254,,-213,-1145,,,,,-10340.0,0.0,-684,3733,3885,-246,-31,,4764,355,,-80,4076,,,,,,,,-1188,,,,,,-351,2720,,,,,109,-3729.0,6,,2014年01月01日至2014年03月31日,41149,17327,734,,-23822,-28168,-26891,-26656,,,,2909,-465,-28168,,,-1013,-8851,-9864,,0.0,0.0,,,0.0,,,,,,,,1512,,,17327,-235,,,,,,,,,,,,,,
2014-08-11,2,2014,,17068.0,,,-154,,-767,,-711,-2318,,,0.0,,,0.0,-1385,7895,19179,-632,-31,,4764,-750,,-36,240,,,-2742.0,,,,,5866,,,,,,-677,5335,,,,,219,-7928.0,22,,2014年01月01日至2014年06月30日,41149,14905,240,,-26244,-66421,-50227,-49939,,,,-5841,5481,-66421,,,-3607,3021,-586,20000.0,0.0,0.0,,,0.0,,,0.0,,,,,16482,,,14905,-288,,,,,,,,,,,,,,
2014-11-11,3,2014,,23252.0,,,1071,,-936,,421,-9847,,,0.0,,,0.0,-1562,11887,-7574,-628,-31,,4761,-748,,-96,-2318,,,-3575.0,,,,,682,,,,,,51071,7808,,,,,334,-11878.0,1826,,2014年01月01日至2014年09月30日,41149,31021,24,,-10128,-57357,-49275,-48607,,,,-10039,-4350,-57357,,,-2083,-12419,-14502,18315.0,0.0,0.0,,,0.0,,,0.0,,,50000.0,,8750,,,31021,-668,,,,,,,,,,,,,,
2015-03-16,4,2014,,29218.0,,,-6618,,-553,,-820,-13074,,,,,,0.0,-1575,15973,-41830,-630,-31,,4790,0,-380.0,-250,-597,,,-8039.0,,,,,6292,,,,,,50928,10221,,,,0.0,446,-15916.0,1839,,2014年度,41149,10987,-637,,-30162,-38873,-33852,-33064,,,0.0,-5762,-5408,-38873,,,-15477,-7932,-23409,16650.0,0.0,0.0,,,0.0,,,,,,50000.0,,5809,,,10987,-788,,,,,,,,,,,,,,
2015-05-13,1,2015,,,,,-7542,,-170,,-360,-2895,,,,,,,-10,4365,9100,-525,0,-7623.0,19,-1117,,29,9568,,,-1658.0,,,,,-8099,,,,,,-8110,2337,,,,,112,-4367.0,9,7431.0,2015年01月01日至2015年03月31日,10987,12053,608,,1066,-25152,-29088,-28877,,,,28970,29164,-25152,,,-9560,-1596,-11156,5678.0,,,,,,,,,,,,,-3725,,,12053,-211,,,,,,,,,,,,,,
2015-08-10,2,2015,,,,,-12544,,276,,774,586,,,,,,-1260.0,-26,9078,24698,-559,0,-4458.0,19,-390,,70,7599,,,4801.0,,,,,-8944,,,,,,-4922,4635,,,,,224,-9089.0,25,12892.0,2015年01月01日至2015年06月30日,10987,16177,222,,5190,-62163,-57028,-56723,,,,48288,42442,-62163,,,-6969,-483,-7452,3633.0,,,,,,,,,,,,,5440,,,16177,-305,,,,,,,,,,,,,,
