date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-08-13,2,2013,74349,,-70589,,-1740,0,,-1651,,47360,,14170,-1508,186,852,-21368,,-440,0,0,433,,,7955,15900,,-3936,-139,-897,,,2658,62,-384,-1760,36292,37549,-127972,4003,-186,1645,,2013年01月01日至2013年06月30日,403803,331785,-72018,33837,,-118826,-116331,,,10700,,9664,33837,,-110197,-114320,-224517,2716,20377,,,,,69,-12,-150168,331785,-3954,-416,0,-1469,-2844,,-31225
2014-03-26,4,2013,108510,0,-96260,,561,-11030,,0,55205,,0,-944,-2908,546,925,-53857,-1475,-1165,0,0,,-8365,,10823,70761,0,-9231,-152,-6609,,-1769,11058,86,-687,-2769,15552,72109,-97947,8105,-546,3017,,2013年01月01日至2013年12月31日,403803,350563,-53240,103157,,58465,81358,,-181573,25000,,-128182,103157,,-125203,-5106,-130309,5576,34718,0,40000,0,0,70,-12,-21799,350563,-25364,-3104,,0,22092,-1100,-10182
2014-05-12,1,2014,17300,,-40468,,-286,11006,,0,-84929,,0,-410,-792,215,410,-2998,,-4376,-153,0,,-789,-43,,100956,0,58052,0,196,,-349,7015,0,-8,-113,13173,17883,600,1791,-215,689,,2014年01月01日至2014年03月31日,350563,581234,230671,41765,,240226,239810,,0,,-22000,-23138,41765,,54510,126235,180745,106,2590,105413,,0,-2946,0,0,198045,581234,-58,-878,,0,6952,,36843
2014-08-11,2,2014,31297,,-17262,,-789,11006,-138294,-922,,,0,-574,-2638,321,-1335,-13130,,-4376,-153,0,,-1711,-7508,,-63934,0,57533,0,8270,,,2942,-314,-215,-130,-57472,30578,-53495,3610,-321,2741,,2014年01月01日至2014年06月30日,350563,415231,64668,82264,,147186,151472,,0,,-22000,-23711,82264,,134200,-96289,37911,423,4584,105413,,0,-2946,0,0,69208,415231,-6706,-1485,,0,8510,,86711
2014-11-12,3,2014,46885,,8386,,-1840,11006,-80925,-1299,,,0,-914,-4184,411,1723,-20743,,-5446,-153,0,,-2330,-1429,,-76991,0,133346,0,1978,,,-924,-314,253,-151,-2707,42018,-53494,5302,-411,4287,,2014年01月01日至2014年09月30日,350563,754914,404351,113590,,274194,288553,246258,-90787,,-22000,131141,113590,4903,257527,-129449,128078,423,5668,105413,,0,-2946,0,0,174963,754914,-18235,-3220,,0,-7145,,115267
2015-03-25,4,2014,53480,,-17748,,-200,11006,-37661,,,,,-942,-7266,487,5547,-31545,0,-6088,-802,,,-8111,,3145,-93661,,-27235,0,-445,,-1865,21531,-314,397,-151,33687,52484,-103352,6575,-487,5981,,2014年度,350563,640177,289614,161353,,126885,139793,246258,-90787,,-22000,123495,161353,4903,74243,-149283,-75040,423,5679,105413,0,,-2946,0,0,-21560,640177,-18402,-4692,,,15310,0,119822
2015-05-07,1,2015,,,-31934,,-39,0,,,,56509,-2350,-451,-465,75,-1279,-5615,,0,0,,,-34,-308,,65487,,79013,,-26,,-221,-1552,,290,,48236,9133,-181250,1149,-75,1603,8055,2015年01月01日至2015年03月31日,640177,664026,23849,22861,-21,-22853,-24225,,,,0,-255,22861,,65348,-120489,-55141,0,0,0,,,0,,,-47086,664026,-156,-1386,,,-3425,,18316
2015-08-14,2,2015,,,-1173,,-41,0,,,-2350,105078,,-700,-2331,155,-2995,-28583,,0,0,,,-10,201,,80532,,45040,,-107,175,,238,0,290,,74346,18051,-370596,2291,-155,3551,15253,2015年01月01日至2015年06月30日,640177,547303,-92874,44953,-50,-164390,-156732,,,,0,165,44953,,76513,-293451,-216938,0,0,0,,,0,,,-201685,547303,-11054,-2213,,0,-3874,,32803
2015-11-10,3,2015,,,9938,,-81,0,,4287,,134646,-1150,0,-3943,224,1732,-50955,,-120,0,0,,-19,-4,,31673,0,125819,0,804,533,-205,-20260,0,290,,82417,27497,-207062,3383,-224,4809,28746,2015年01月01日至2015年09月30日,640177,645458,5281,62556,-65,36387,54313,0,-115564,,0,-115255,62556,0,165935,-202924,-36989,0,0,0,,0,0,0,0,-8243,645458,-22511,1585,,0,-7484,,25152
2016-03-22,4,2015,,,-14055,,-27830,0,,0,,134646,-4050,11274,-6360,218,60,-65457,,-1075,0,0,,-3753,433,,-8022,0,36170,0,-1258,557,,-13492,0,290,,64497,36517,-68360,4431,-218,7489,40637,2015年度,640177,644799,4622,116753,-269,58825,74339,0,-115564,,0,-118760,116753,0,37560,-120611,-83051,0,0,0,,0,0,0,0,-42414,644799,-22785,-5443,,0,-3197,,16972
2016-05-10,1,2016,,,-39106,,27362,0,,0,,0,-50,-3134,-2492,44,-1508,-41683,,-1030,0,0,,-74,131,,-48076,0,85297,0,-190,55,,0,0,14676,,-42632,10170,58867,714,-44,2535,2406,2016年01月01日至2016年03月31日,644799,738951,94152,17960,-173,138311,136078,0,0,,0,-19,17960,0,58966,56746,115712,0,0,0,,0,0,0,0,118118,738951,-258,-2896,,0,3917,,13138
2016-08-09,2,2016,,,-24885,,17959,0,,0,-51028,,0,-2654,-3831,76,-2722,-60722,,-1030,0,0,,-54,,1390,-98120,0,34788,0,1564,158,,8495,0,0,,-111390,20972,187469,1475,-76,3973,14417,2016年01月01日至2016年06月30日,644799,694816,50017,22423,-312,164025,175573,0,0,,0,104,22423,0,27933,110800,138733,0,264,0,,0,0,0,0,153150,694816,-15445,-1885,,0,-5003,,16778
2016-11-10,3,2016,,,-29308,723,25416,0,,-1382,-189914,0,-146,0,-4521,104,-5097,-96765,,-2027,0,0,26,0,0,1986,-93021,0,72383,0,2284,448,,7611,0,0,,-286866,32821,285176,2269,-104,4380,29987,2016年01月01日至2016年09月30日,644799,536225,-108574,3616,-455,282815,307570,0,-100200,,0,-99426,3616,0,69120,204847,273967,0,352,0,,0,0,0,0,303954,536225,-29031,-1038,,300,-20335,,24875
