date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-08-09,2,2013,142703,-19964,-3262,4964,5762,,,,,0,,-2314,,14042,-111993,,,-61926,,,1582,,727,0,80809,,-21159,-9080,-170849,107701,33850,0,2343,,2013年01月01日至2013年06月30日,622153,557153,4972,-65000,-73757,,,91807,91807,,0,,,0,-73757,83,-36159,59020,22861,0,,835,,,165564,557153,0,,,-4006,-15209,,
2014-03-31,4,2013,464880,14882,-5597,-4563,-8935,,,,,,85964,-6029,,16660,-351053,,,-156938,-47936,,7316,90,0,171,120852,,-89391,-71428,-513055,246045,99074,,6076,,2013年01月01日至2013年12月31日,587067,556552,-5408,-30515,152175,36390,,465790,466226,,0,,,90,152175,1212,-79072,-71757,-150829,235,,1063,,,314051,556552,-436,,42468,-6825,-106649,,
2014-05-26,1,2014,164628,-6197,-17843,197836,7589,,,,,,18585,-1006,,10216,-170444,,,-45285,-59376,,741,12334,-1037,175,-136509,,68186,78070,-274984,83155,37831,,983,,2014年01月01日至2014年03月31日,556552,542669,4879,-13883,62209,0,,238551,248555,,,,,12334,62209,86,259825,-238107,21718,,,17,,,186346,542669,-10004,,20340,,-169414,,
2014-08-01,2,2014,353317,76264,20385,112477,-1649,,,,,,37902,-2969,,-1959,-109857,,,-107663,-73718,,6502,21133,-1071,175,-187686,,175623,34411,-476447,200768,81590,,2959,,2014年01月01日至2014年06月30日,556552,704762,4889,148210,134974,,,605483,624315,,,,,21133,134974,106,364364,-228340,136024,1217,,-436,,47868,489341,704762,-18832,,,24965,-93801,-236357,
2014-10-27,3,2014,537703,58993,22681,232612,-1652,,,,,,57157,-5801,,8574,-388606,,,-128593,-184875,,4046,55439,-1069,273,-319902,,202177,-129931,-586578,323791,128127,,5786,,2014年01月01日至2014年09月30日,556552,597080,2576,40528,227096,109208,,567791,595575,,-4698,,,50741,227096,106,493782,-663006,-169224,1298,,-371,,,368479,597080,-27784,,28072,,-234202,,
2015-04-22,1,2015,,-26842,11566,-7990,9604,0,,,-315229,,22852,-2170,183,-13657,-2114,-31523,-326304,-35941,,-40618,-6,21436,-985,1912,-103092,-3942,26580,305473,-914201,127691,48738,,1471,230425,2015年01月01日至2015年03月31日,1356724,1143682,928,-213042,-52697,,,371018,376024,,,326304,,343798,-52697,0,-8252,206548,198296,,,0,,,428721,1143682,-5006,,32209,,-17003,-164870,
2015-07-31,2,2015,,-67062,8173,8799,-13460,,,,-249411,,44775,-14136,1541,-29194,-191527,-31179,-832693,-42631,,-35510,4462,21436,0,920,-160482,-113335,21615,-65192,-1361806,261651,89940,-1086,15548,426895,2015年01月01日至2015年06月30日,1356724,711163,-1014,-645561,-6551,,,173044,232197,,,664294,,572395,-6551,1106,-36648,-151499,-188147,4677,,-4677,,,238748,711163,-58067,,,43247,79462,0,
2015-11-06,3,2015,,-41147,6489,-38207,-19150,,,,-251532,,66649,-27293,3652,11122,-344678,-31444,-839773,-44936,,-11051,3939,21436,-577,,-180404,-113335,223660,-376858,-1499070,397354,128777,-3193,20204,636326,2015年01月01日至2015年09月30日,1356724,687891,11970,-668833,91025,,,283313,368455,,-39433,667134,,535802,91025,2648,144306,-503202,-358896,4717,,-4717,,,277430,687891,-81949,,53347,,66721,,
2016-03-04,4,2015,,-54527,7385,,-82,,0,-185,-253871,,88969,-40627,5913,22561,-502295,-32755,-847646,-90949,,0,22072,21436,-3952,0,-20676,-113335,-27035,-168636,-1440454,533176,163963,-5308,39880,804954,2015年度,1356724,958495,10926,-398229,168236,,116243,617297,705350,0,-39433,533699,,402367,168236,4219,-110833,-157007,-267840,4761,130130,-4712,1606,,537114,958495,-82745,,0,19449,25002,0,-29086
2016-05-06,1,2016,,-18999,-577,403,6546,,,,331424,,22654,-11743,1550,-21305,-130053,0,0,-62212,,0,-2288,0,0,1590,-104558,0,228264,33028,150756,161282,37455,-1792,11603,198789,2016年01月01日至2016年03月31日,958495,1078766,1196,120271,9169,,,329834,336380,,,0,-339014,-339014,9169,1954,167430,-39008,128422,,,,,,327211,1078766,-4754,,-13271,,26553,-1596,-42238
