date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-07,1,2013,20862.0,-1465,-2464,9551,2937,-16718,-782,295,,96.0,2134,-1196,1915,2601,-4668,,-174,-1829,,58958,-126284,962,-46687,3166,-29872,-260.0,-1801,19427,27990,293,-1581,1196,,,2013年01月01日至2013年03月31日,666249,562971,-103278,-3478,-104078,-102477,,0,,0,-2013,,-144065,24204,-119861,8,,118,,-98999,562971,-1216,,1880,404.0
2013-08-06,2,2013,33792.0,-1513,-10565,2986,661,-951,-124,-5107,,,-2068,-2641,3199,1525,-8076,,-860,-1937,0.0,-62993,-43332,-1973,-45270,5218,-2547,,-187,38758,41867,625,-4032,2641,,,2013年01月01日至2013年06月30日,666249,384719,-281530,5814,-80498,-77899,,0,-202370.0,-202370,7327,,-61928,-55577,-117505,8088,,-2144,,-83713,384719,-1208,,5286,
2013-11-12,3,2013,-15600.0,-1513,19991,9903,-1403,-689,-2199,-18139,,,-61267,-2746,3545,-2732,-19614,0.0,-2153,-1793,,-75676,191138,-819,-264348,10063,14610,,3379,58358,62747,1029,-3545,2746,4918.0,,2013年01月01日至2013年09月30日,666249,340157,-326092,42043,-33766,-36677,,0,-292973.0,-292973,43556,-4918.0,191482,-254602,-63120,17839,8710.0,-7808,,-78720,340157,-1208,,-9702,
2014-03-26,4,2013,-15640.0,-1513,43353,-2963,0,-2418,-1040,-23273,2937.0,,-84770,-2989,3608,2005,-31131,0.0,-3053,-1939,-3651.0,-92719,221909,828,-135423,12095,14610,,-14559,74157,94811,1467,-3608,2989,4918.0,,2013年01月01日至2013年12月31日,666249,551787,-114462,67880,191065,188006,,0,-292973.0,-292973,69393,-4918.0,240399,-104633,135766,11462,8877.0,-304,48.0,120126,551787,-1240,0.0,5996,
2014-05-13,1,2014,16755.0,0,-11689,-15822,0,104,-7027,-7424,0.0,,3083,-718,15,-1263,-3785,0.0,-834,0,0.0,-87835,146483,0,-196920,297,0,,-4619,13796,-21093,532,-15,718,0.0,,2014年01月01日至2014年03月31日,551787,382949,-168838,19868,-162956,-163659,,0,0.0,0,19868,0.0,127474,-327756,-200282,0,0.0,47,0.0,-183527,382949,0,0.0,644,
2014-08-05,2,2014,33700.0,0,6153,-51374,0,97,-3832,-15496,0.0,,7143,-1626,145,-7056,-61663,0.0,-3234,0,0.0,-514301,538493,-1647,-247196,-9197,0,,-64897,26895,8867,1143,-145,1626,0.0,,2014年01月01日至2014年06月30日,551787,272362,-279425,57590,-207472,-206044,,0,0.0,0,57590,0.0,527600,-824934,-297334,0,0.0,0,0.0,-263634,272362,-2909,0.0,-7901,
2014-11-06,3,2014,44853.0,0,16110,-37563,0,76,-2333,-15507,0.0,,9260,-1810,583,912,-76100,0.0,-3558,0,1650.0,-253930,241310,-3247,-541619,-1208,0,,-78008,41063,16852,1837,-583,1810,6080.0,,2014年01月01日至2014年09月30日,551787,251527,-300260,142564,-404554,-407127,,181390,0.0,181390,142564,-6080.0,238742,-833286,-594544,0,0.0,0,0.0,-549691,251527,-4734,0.0,-13485,
2015-03-27,4,2014,77020.0,0,76544,-54942,0,-538,3293,-14100,0.0,,25787,-1932,1551,10511,-103921,0.0,-3691,0,1649.0,-472053,428450,-1654,-352824,-3904,0,,-105963,55000,23280,2553,-1551,1932,6080.0,,2014年度,551787,394135,-157652,146658,-155674,-159239,,93474,0.0,93474,146658,-6080.0,488702,-871619,-382917,0,0.0,141,0.0,-305897,394135,-2896,0.0,-14469,
2015-05-06,1,2015,,0,-54400,6732,0,29,870,-11,0.0,,6629,-547,378,-3162,-34764,0.0,-88,0,0.0,164770,-23467,0,-30129,-25897,0,,-34852,14972,0,699,-378,169,,22132.0,2015年01月01日至2015年03月31日,394135,362040,-32095,36771,99393,101449,,0,-93474.0,-93474,36771,0.0,-77849,120395,42546,0,0.0,1,0.0,64678,362040,-1847,0.0,4049,
2015-08-05,2,2015,,0,-61774,1408,0,-129,730,-11,0.0,,11712,-1089,451,-9750,-41870,0.0,-516,0,0.0,382505,-565118,-1593,221346,-7896,0,,-42386,29550,0,1397,-451,1089,0.0,42021.0,2015年01月01日至2015年06月30日,394135,379584,-14551,37922,53909,57098,,-16324,0.0,-16324,37922,0.0,-628625,605780,-22845,0,0.0,0,0.0,19176,379584,-3827,0.0,7687,
