date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-14,1,2013,47559.0,,0.0,,-48859,128272,-3096.0,-7719,-2187,,,3819,-285,2700,-470,-5820,,,724,-752,74081,-39261,,120000.0,,-68332,-85281,,-3652,,-11859,35512,5993,-2763,,,2013年01月01日至2013年03月31日,101705,234943,133238,74669,,59384,62147,,35459.0,,86183,74669,-164171,104090,-60081,-70000,186,,-180,,-12522,,234943,0,,-2377.0,-7143.0
2013-08-13,2,2013,86309.0,-7270.0,0.0,,-51237,128053,-7166.0,-410,635,,,580,-908,4733,1550,-24165,,,-2117,-1054,120356,-56388,,-10000.0,,-52820,130201,,21162,,-38500,70805,12124,-4988,908.0,,2013年01月01日至2013年06月30日,101705,195204,93499,60560,,359602,370159,,-97036.0,,-229153,60560,-160855,384145,223290,-120000,1155,,-1025,,309599,,195204,-6477,,,-16262.0
2013-11-08,3,2013,193217.0,,0.0,,-90455,127584,-21964.0,18566,-5220,,-16188.0,62577,-1293,6367,-12724,-38148,,,6482,-634,117538,-45798,,,-10000.0,-24365,-4134,,16905,,-75145,104510,18865,-6600,1293.0,,2013年01月01日至2013年09月30日,101705,152763,51058,55990,,335299,357942,,,-72854.0,-196372,55990,-142052,250787,108735,-120000,1789,,2191,,301952,,152763,-17336,,,-1886.0
2014-03-12,4,2013,233535.0,,,,22232,126581,,8463,557,,-19893.0,60285,-1747,8003,-10413,-56261,-21964.0,,1881,-252,39738,7112,,,-40000.0,32492,-99388,,6102,116.0,-96355,136742,25976,-8263,1747.0,,2013年01月01日至2013年12月31日,101705,206502,104797,156418,,504512,529920,-75840.0,,-58988.0,-292947,156418,70415,69552,139967,-120000,2015,,4276,,373502,,206502,-18892,-4038.0,,
2014-05-12,1,2014,36611.0,,0.0,,-71311,-980,-8088.0,958,-2680,,,-4444,-572,1735,61,-79381,,,-1112,-485,56198,-48067,,90000.0,,-93204,33530,,-5257,,-83010,32342,7542,-1728,,,2014年01月01日至2014年03月31日,206502,185263,-21239,32404,,-61287,-59547,,54109.0,,122997,32404,-211624,83062,-128562,-20000,0,4944.0,8,,-91951,,185263,-12,,0.0,2251.0
2014-08-13,2,2014,-31275.0,,0.0,,-68912,604,,-11378,-2548,,-16564.0,-3367,-877,3348,-1049,-113263,0.0,,2773,79,23545,-55842,,60000.0,,-90564,182788,,13554,,26472,67133,15310,-3389,877.0,,2014年01月01日至2014年06月30日,206502,302553,96051,121090,,90787,96950,,-62932.0,,-20159,121090,-226696,233831,7135,-20000,151276,4944.0,-112822,,-24140,,302553,-3651,,,15888.0
2014-11-13,3,2014,11410.0,,0.0,,-65755,51,0.0,-1071,-3384,,-17836.0,-3490,-1948,4813,-897,-185622,,,11070,-522,74503,-74693,,,20000.0,-65594,119365,,2394,,-47760,101882,22946,-4150,1948.0,,2014年01月01日至2014年09月30日,206502,206512,10,134834,,125601,138750,-140846.0,,-67158.0,-76934,134834,-207113,199619,-7494,100000,151276,4944.0,-112793,,3916,,206512,-10947,,,6690.0
2015-03-11,4,2014,50332.0,,,,-29386,-4932,,139,-319,,-19914.0,-3478,-1887,6401,3581,-274579,0.0,,-1332,-2544,-18431,-9457,,,60000.0,-60393,100517,,5840,13.0,-139684,137006,29771,-5433,1887.0,,2014年度,206502,219165,12663,181932,,207578,222288,-140845.0,,-26635.0,-58812,181932,-99084,89108,-9976,50000,152409,4944.0,-113066,-4415.0,40356,,219165,-11164,6433.0,,
2015-05-11,1,2015,,,0.0,,-44279,4294,-1189.0,-6885,-5228,,,-3600,-327,1301,3582,-72886,,,12567,606,67621,-37991,,0.0,,-23326,-61509,,-31437,,-73021,34511,6143,-478,327.0,37580.0,2015年01月01日至2015年03月31日,219165,98348,-120817,87374,,-30622,-30440,,16677.0,,-20756,87374,-112724,-42670,-155394,-50000,448,0.0,-448,,-117814,-243.0,98348,-31,,0.0,-16411.0
2015-08-11,2,2015,,,0.0,,-50509,4446,,3060,-6157,,-2413.0,2405,-460,2038,-2442,-151367,0.0,,-2822,2305,64082,-48317,,-100000.0,,-28644,142102,,12345,,-151017,67972,12047,-413,460.0,83576.0,2015年01月01日至2015年06月30日,219165,125709,-93456,56777,,218251,224291,,-55426.0,,-158248,56777,-124410,208348,83938,0,458,0.0,-426,,167514,,125709,-6087,,,-8470.0
