date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失
2013-05-09,1,2013,51871.0,,-19170,,3738,-1454,-6905.0,,,,-5920,2190,23637,-9441,0.0,-1360,0.0,,7933,-59715,,53825,-178.0,-10801,44571,-7137,3341,7011,-1153,5130,,,2013年01月01日至2013年03月31日,1209706,1379150,169444,12247,,39032,35055,,117576.0,,117576,12247,,-75325,46262,-29063,,,169,,22808,1379150,0,509,,
2013-08-07,2,2013,101954.0,0.0,10703,,11481,-3094,,,-9877.0,0.0,-12808,4117,40964,-20464,0.0,-1856,0.0,,-3221,229496,,-255912,-358.0,-32197,90585,-107514,3611,14375,-2763,8798,2035.0,,2013年01月01日至2013年06月30日,1209706,1271055,61349,53848,,37942,37383,,14640.0,,14640,53848,-2035.0,251322,-369741,-118419,,,1250,,-16465,1271055,-7511,2859,,
2013-11-12,3,2013,134324.0,0.0,19135,,5267,-9001,,,-16429.0,0.0,-17469,5676,30432,-52380,0.0,-3496,0.0,,-30116,348223,,-320619,-528.0,-72305,137156,-44835,-1559,22430,-4167,13367,19838.0,,2013年01月01日至2013年09月30日,1209706,1390082,180376,180308,,295926,282158,-114350.0,40673.0,,-73677,180308,-16240.0,372097,-404571,-32474,,,1302,,101850,1390082,-15270,3028,,
2014-03-19,4,2013,183927.0,0.0,54700,,13943,-13919,,,-20450.0,0.0,-22932,7175,51214,-63553,0.0,-4573,0.0,-4.0,-187533,415007,,-139107,-694.0,-87240,184228,-171800,-7424,30280,-5497,23958,20281.0,,2013年01月01日至2013年12月31日,1209706,1429712,220006,273814,,447089,428338,-114350.0,-76707.0,,-191057,273814,-16682.0,482956,-512359,-29403,0.0,1340.0,3821,-424.0,154524,1429712,-19991,2295,3590.0,
2014-05-07,1,2014,46556.0,0.0,-39061,,-7473,-7748,,,-6731.0,0.0,-5520,1290,-15833,-9733,0.0,-625,0.0,,53642,-134160,,-12790,-174.0,-17089,48121,-21944,-5327,7658,-665,5315,431.0,,2014年01月01日至2014年03月31日,1429712,1402018,-27694,92630,,-25448,-30522,0.0,30676.0,,30676,92630,-431.0,-180868,11160,-169708,,,79,,-123152,1402018,-7,686,,
2014-08-08,2,2014,97268.0,,-10958,,-7451,-8,,,-28749.0,,-12119,2807,-29855,-34670,,-3590,0.0,-2350.0,71315,-173095,74668.0,-101940,-285.0,-69347,99033,49268,-9113,16572,-1576,11716,794.0,,2014年01月01日至2014年06月30日,1429712,1590813,161101,205037,,162331,203819,0.0,97972.0,,97972,205037,-794.0,-117121,18635,-98486,12.0,,432,,-1218,1590813,-52422,450,,
2014-11-05,3,2014,127103.0,0.0,-4347,20392.0,-7244,-8756,,,-37976.0,0.0,-18894,4720,2870,-52996,0.0,-3756,0.0,-560.0,133563,-178134,113282.0,-215449,0.0,-74884,135769,136595,-15004,25698,-1707,13501,28324.0,,2014年01月01日至2014年09月30日,1429712,1714445,284733,360393,,417205,457006,-152466.0,92008.0,,-60458,360393,-21125.0,-76443,45953,-30490,12.0,,7281,,96613,1714445,-79919,3424,,5234.0
2015-03-19,4,2014,206997.0,0.0,36736,20392.0,-7368,-9088,,,-44007.0,0.0,-27965,6367,25240,-79655,0.0,-4401,0.0,-425.0,30102,-250387,94028.0,56693,-293.0,-107974,184656,64623,-15452,34489,-4689,28751,28587.0,,2014年度,1429712,1713827,284115,404348,,577059,626391,-152466.0,-57744.0,,-210210,404348,-21388.0,-127284,142330,15046,122.0,0.0,19332,0.0,222043,1713827,-101981,3535,0.0,23423.0
2015-05-12,1,2015,,0.0,-32961,0.0,-2794,18329,,0.0,-15159.0,0.0,-8599,949,3184,-25985,0.0,-75,0.0,0.0,125566,-120860,-6469.0,71592,,-41219,43476,-17474,-1372,8552,-373,9999,285.0,40955.0,2015年01月01日至2015年03月31日,1713827,1790029,76202,92059,0.0,176552,167943,0.0,-62315.0,,-62315,92059,-285.0,-163084,198013,34929,0.0,,0,,75884,1790029,-1302,-1766,,
2015-08-11,2,2015,,0.0,6213,0.0,-3764,11123,,0.0,-6036.0,0.0,-15966,1516,-2011,-73415,0.0,-675,0.0,0.0,146033,-13120,10525.0,-91486,,-80126,86614,-80559,-4743,17237,-373,11362,567.0,83354.0,2015年01月01日至2015年06月30日,1713827,1813655,99828,211563,0.0,244280,279882,0.0,-62315.0,,-62315,211563,-567.0,-146,-14889,-15035,0.0,,0,,68319,1813655,-47158,-737,,
2015-11-09,3,2015,,,-8409,0.0,-4077,-8983,,,-10520.0,,-24064,9405,17419,-95238,,-1754,,0.0,190933,20571,9130.0,-130153,,-107512,132281,113177,-18091,24643,-374,17051,32410.0,109003.0,2015年01月01日至2015年09月30日,1713827,2005265,291438,427595,,685250,718787,-241404.0,0.0,-62315.0,-303719,427595,-20414.0,17215,164974,182189,0.0,,62,,291192,2005265,-82624,5181,,0.0
2016-03-22,4,2015,,0.0,9341,0.0,-6060,-14395,,,-16366.0,0.0,-31184,9275,-11881,-107515,0.0,-2977,0.0,0.0,143685,-250419,-24643.0,188561,,-126858,178971,36295,-19383,32606,-8119,30173,32693.0,156890.0,2015年度,1713827,1845275,131448,442282,-2.0,573906,681535,-241404.0,,-62315.0,-303719,442282,-20697.0,-271783,354146,82363,0.0,,62,,239253,1845275,-162376,7240,,0.0
2016-05-12,1,2016,,0,-57690,0,194,42274,,0,-32207,0,-6730,0,-13865,-9827,0,0,0,0,90940,-114902,-16412,68437,,-42034,44707,58404,-2152,7613,0,8858,259,43296,2016年01月01日至2016年03月31日,1845275,1936298,91023,24460,0,146922,139001,0,,0,0,24460,-259,-188810,260055,71245,0,,0,,114541,1936298,-1196,117,,
2016-08-10,2,2016,,0.0,-19548,0.0,-4899,27271,,0.0,-17145.0,0.0,-11658,0,-45218,-51519,0.0,-359,0.0,0.0,34948,134551,33808.0,-114435,,-69023,87549,-337290,-4626,14747,0,14025,259.0,86100.0,2016年01月01日至2016年06月30日,1845275,1680286,-164989,129944,0.0,-50748,-29550,0.0,,0.0,0,129944,-259.0,143912,-389506,-245594,0.0,,0,,-159494,1680286,-35482,347,,
2016-11-08,3,2016,,0.0,-35910,0.0,509,17399,,0.0,-18505.0,0.0,-16712,0,-86296,-66391,0.0,-1048,0.0,-193.0,52792,213707,47760.0,-302410,,-86137,130263,-328802,-15837,21059,0,16456,27455.0,113730.0,2016年01月01日至2016年09月30日,1845275,1506477,-338798,303847,0.0,62334,82622,-228699.0,,0.0,-228699,303847,-13060.0,226066,-561021,-334955,0.0,,0,,-221225,1506477,-64199,8017,,
