date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-08-14,2,2013,,44126,-111314,33719,,,,0,11154,-1265,,,,,,25,-10170,,469,-348,1448,13472,-26518,,-219,0,-1098,,-5367,80799,,,-36844,28713,,2302,-1653,357,,2013年01月01日至2013年06月30日,213175,449402,,236227,78706,,193088,207805,39396,,,,-56596,66511,78706,10323,39506,45467,84973,195000,63,1219,0,0,,129099,449402,-13421,,0,,,-32969
2013-11-12,3,2013,0,64610,-123719,19344,0,,,0,13961,-5228,,,,,,-932,-4056,,533,-590,2322,20467,-71153,,-1327,0,-6138,,-52065,94218,,,-73130,47102,,3307,-2632,537,,2013年01月01日至2013年09月30日,213175,245232,,32057,102372,,189074,207082,39396,-93000,,,-118304,-104354,102372,10323,-18760,58860,40100,192205,430,1613,2976,0,,104710,245232,-15913,,0,,,-23992
2014-03-25,4,2013,606,87975,-122061,18654,0,,,0,13637,-7897,,,,,,,4182,,590,-953,3111,10323,-95695,,-1484,180,-6884,,12895,-110683,,50,-89591,63429,,4298,-3557,961,,2013年01月01日至2013年12月31日,213175,359129,,145954,168546,,141829,160488,194396,-93000,,,-88147,83393,168546,13345,45236,-141269,-96033,192205,430,3369,2976,0,,-8058,359129,-16063,,0,,,-15805
2014-05-08,1,2014,,18003,-9903,-31397,,,,,-7168,-11397,,,,,,,-792,,0,-782,823,3220,-12563,,-597,120,-13418,,-96850,307333,-9014,14,-13947,16307,,1033,-587,737,,2014年01月01日至2014年03月31日,359129,542289,,183160,33303,,202128,201978,,,,1662,0,-8241,33303,,-135401,286073,150672,,5,502,,,,168675,542289,,,,,,12569
2014-08-11,2,2014,,39715,,-12295,,-23234,,,-11659,44627,-224,,,,,,-3651,,3909,-2468,1540,-7395,-30469,,-2881,,-33611,,-92000,224371,,,-60227,32062,,2162,-1590,2044,,2014年01月01日至2014年06月30日,359129,456508,,97379,91796,,258926,273940,0,,,,-74513,-93925,91796,0,-116178,258607,142429,-19412,8,2510,,,,182144,456508,-15468,,,,,23220
2014-11-10,3,2014,,73715,-29403,-2424,,-25671,,,-4622,23628,,-3457,,,,-2869,-1059,,2668,-3352,2134,6571,-52920,-43688,-3533,285,-18768,,-86588,193012,,,-126863,49475,9111,4351,-2157,2762,,2014年01月01日至2014年09月30日,359129,412210,,53081,135562,,326476,341649,0,-104625,,,-16206,-153103,135562,0,-93634,226006,132372,0,8,8940,0,,103,206087,412210,-15778,,,,,31591
2015-02-25,4,2014,,97872,-81241,8854,,-84,,,-11189,6922,,-574,,,,,4159,-11617,4332,-4751,2726,26876,-58336,-43688,-4084,287,-34143,,-59818,205996,,-2869,-113641,66683,13605,5391,-2625,4640,,2014年度,359129,494127,,134998,188017,,422286,441480,0,-104625,,,-14657,-200523,188017,0,-65022,220613,155591,0,9,9385,0,,,253463,494127,-21209,214,,,,42412
2015-05-06,1,2015,,,-10206,-28148,,0,,,1111,9629,,-5,,3136,,,-1773,,-634,-1712,1020,-5962,-11343,,-1282,0,8097,,-83297,153513,25,,-11262,17680,1534,1025,-584,1355,19238,2015年01月01日至2015年03月31日,494127,822610,,328483,19642,0,110919,110623,,,294850,-49856,,234788,19642,,-110334,182077,71743,,0,325,,,,90981,822610,-475,,,,,10818
2015-08-01,2,2015,,,-20191,-35484,,0,,,989,9843,0,-9956,,4089,,,-9040,,-220,-3191,2190,-13942,-25893,,-1739,-629,34881,,-119730,172322,84,,-32583,34320,6112,2012,-893,3136,41427,2015年01月01日至2015年06月30日,494127,776595,,282468,30758,,114190,136108,,,294850,-59856,,214803,30758,,-154225,218148,63923,,0,833,,,,105350,776595,-24161,0,,,,10974
2015-11-10,3,2015,,,-30694,879,,-34267,,,1413,8191,,-8887,,3977,,0,-10095,,370,-4445,3345,10846,-47576,0,-3917,-629,27766,-3891,-28846,107982,84,,-91849,50106,12819,2839,-1195,4524,65924,2015年01月01日至2015年09月30日,494127,709400,,215273,90067,,235367,272155,,-139500,294850,-59856,,60909,90067,276,-26554,142718,116164,,29,1170,,,73,182088,709400,-40117,0,,,,7582
