date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失
2013-05-10,1,2013,30242.0,,,21515,36783,-6787,-8261,-966010,,,-4971,,841,-31307,15397,28109,-4758,-6715,-435,,-18738,,-51269,,46709,,-982311,44254,6228,-13249,23198,,2013年01月01日至2013年03月31日,1560654,1788415,25885,227761,47497,107271,97691,,1074692.0,,1074692,47497,-36541,56493,19952,143,,-143,,,50194,1788415,-369,-30478,
2013-08-12,2,2013,60007.0,0.0,,55282,-36692,3283,-13165,-74833,,,-7086,,-5046,-67662,30825,46375,-24153,-13619,-1149,,278893,,-530316,,314343,118337.0,-113166,86077,12929,-28968,62879,,2013年01月01日至2013年06月30日,1560654,1511184,31655,-49470,110486,382464,360458,,-365143.0,,-365143,110486,-471751,661716,189965,6525,,-6387,,,249972,1511184,-11905,-21235,
2013-11-11,3,2013,82323.0,0.0,,67709,38699,11080,3872,470545,,,-34,,-4855,-101261,43106,33504,-46869,-18698,-1229,,337687,0.0,-895078,,670874,-242957.0,411623,128662,19663,-43071,93004,,2013年01月01日至2013年09月30日,1560654,1710730,17476,150076,96474,203714,170683,-147530.0,-351235.0,,-498765,96474,-816289,808175,-8114,6679,,-6399,,,74209,1710730,-16902,-12840,
2014-03-21,4,2013,109534.0,0.0,,51891,-3537,-3882,-21692,-176052,,,-677,0.0,0,-137880,57670,55491,-50987,-21385,-1774,,294904,0.0,-1021462,,802542,390320.0,-241839,169281,26561,-55509,129454,,2013年01月01日至2013年12月31日,1560654,1773585,25225,212931,125816,781015,724434,-147530.0,0.0,-234206.0,-381736,125816,-973453,1462537,489084,7262,,-6778,,,598618,1773585,-17364,-22771,
2014-05-13,1,2014,43395.0,,,-93425,14677,7121,9748,-44217,,,408,,0,-44462,18920,-5414,-18769,-4784,124,,152907,,-384582,,262028,,-67332,37366,6494,-16972,33077,,2014年01月01日至2014年03月31日,1773585,1731368,21928,-42217,-91360,-63386,-79491,,93915.0,,93915,-91360,-470886,439360,-31526,30,,-30,,,11869,1731368,0,3055,
2014-08-08,2,2014,47592.0,0.0,,-82375,20862,4677,18491,-1420939,,,919,,0,-89307,35696,-25399,-35213,-8418,11,,256362,,-557740,,198990,-63585.0,-1463621,74543,12201,-34444,69576,,2014年01月01日至2014年06月30日,1773585,1417388,1979,-356197,-175898,-304376,-332624,,1437199.0,,1437199,-175898,-635438,431120,-204318,30,,-30,,,-156726,1417388,-6884,12499,
2014-11-07,3,2014,63468.0,0.0,,-83471,19003,16043,10447,-947282,,1039.0,-46842,,0,-139793,56996,5672,-40094,-10976,115,,317372,0.0,-707353,1367.0,336384,-183787.0,-1045118,110837,18074,-49742,114139,,2014年01月01日至2014年09月30日,1773585,920816,20280,-852769,-190550,-343564,-401077,-107294.0,636496.0,,530241,-190550,-773414,499419,-273995,76,,157,,,-210527,920816,-6884,-3198,
2015-03-20,4,2014,86802.0,0.0,,-55022,14620,16312,23149,1247819,52.0,,-1803,0.0,846,-184227,73151,39895,-326261,-12080,346,,281116,0.0,-599872,,301432,-98757.0,927422,142923,23489,-73968,177774,,2014年度,1773585,2148354,60838,374769,-246816,-191476,-277036,-107294.0,0.0,-293830.0,-401072,-246816,-638582,521560,-117022,19747,,-13846,,,-30220,2148354,-18246,-16718,
2015-05-12,1,2015,,,,-42864,42662,16830,-344,-865984,,,363,,0,-36773,16029,-10883,-5034,-6755,-66,,-59706,,-27511,9572.0,-118693,-7562.0,-873437,39633,6086,-12975,37073,21089.0,2015年01月01日至2015年03月31日,2148354,1719603,-11541,-428751,-78509,-221553,-245036,,677122.0,,677122,-78509,-43973,-143643,-187616,0,3973.0,0,,1025.0,-166527,1719603,-615,6696,
2015-08-11,2,2015,,0.0,,-51747,8622,10095,-1314,-203168,,,758,,0,-68026,26743,-27202,-7763,-14280,-148,4727.0,85254,,-102524,8481.0,-113713,263750.0,-213811,69567,11733,-28987,73105,33539.0,2015年01月01日至2015年06月30日,2148354,1519797,-26050,-628557,-111749,73959,28694,,-461503.0,,-461503,-111749,-135695,242599,106904,1942,3973.0,-1755,,1025.0,140443,1519797,1147,20450,
2015-11-10,3,2015,,0.0,,-32729,42092,-17484,-11469,1129711,11.0,,61,,0,-91389,34282,18021,-14950,-16817,228,5540.0,22063,,-128390,,41356,-119665.0,1113704,93741,17372,-36578,110125,52677.0,2015年01月01日至2015年09月30日,2148354,1849582,40229,-298772,-104139,-182620,-255688,0.0,-1247888.0,,-1247877,-104139,-178603,-25623,-204226,6186,3973.0,-5575,,1025.0,-151549,1849582,-479,-37236,
2016-03-14,4,2015,,0.0,,-36928,29980,-4390,-8508,932258,0.0,,-895,0.0,-98,-104449,41931,-21576,-19359,-17933,220,,128627,,-345970,,211233,-64331.0,904248,117201,22398,-44098,117629,139794.0,2015年度,2148354,1799398,38745,-348956,-155019,-32543,-105512,0.0,0.0,-1199085.0,-1199085,-155019,-387288,297001,-90287,6204,3973.0,-5581,,1025.0,49507,1799398,-562,28402,
2016-05-06,1,2016,,,-1082383.0,-22179,9051,-242,2345,-460566,,,-22741,,-98,-12114,6258,-5101,-9234,-1422,-120,,22512,,-5343,0.0,23029,8676.0,1496210,18000,4525,-7925,14124,-351497.0,2016年01月01日至2016年03月31日,1799398,1430965,0,-368433,286173,-62371,-27475,,-714788.0,,-1797171,286173,-27764,65613,37849,1990173,0.0,-546061,,0.0,-313648,1430965,-41095,0,178113.0
2016-08-05,2,2016,,,-1082383.0,-29107,5319,24727,-1252,-338742,,,842,,0,-25414,9231,-32352,-358975,-4879,-103,-48099.0,6396,,7081,0.0,31251,15227.0,1240963,35530,8298,-10526,29383,-341089.0,2016年01月01日至2016年06月30日,1799398,1302233,0,-497165,239655,-64166,-41792,,-559227.0,,-1641610,239655,2701,56941,59642,1990816,0.0,-546539,,0.0,-281447,1302233,-41231,-205,178113.0
2016-11-14,3,2016,,,-1082383.0,-25228,-10276,3769,7154,438078,-13.0,,1586,,0,-35299,12348,-64607,-385211,-5610,-458,-47850.0,91643,,17509,,-89540,183811.0,2195005,52469,11702,-13973,44707,-330772.0,2016年01月01日至2016年09月30日,1799398,1735168,0,-64230,194190,31255,42260,0.0,,-1143487.0,-2225883,194190,-3950,182792,178842,1994012,0.0,-549647,200000.0,0.0,-151930,1735168,-41739,0,178113.0
