date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加（減少）,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,預收款項增加（減少）
2013-04-26,1,2013,32828.0,,-24729,2268,25046,17,11590,-2080,177,18411,-26116,-3460,,,24997,-126521,-14531,33259,5012,-839,-1080.0,-75574,34539,,,1177,-178,2069,,2013年01月01日至2013年03月31日,1264787,1199313,-65474,26704,,-6210,-5979,,4772,-6695,-2101,26704,-131317,65806,-65511,0.0,0,8,-45998.0,-32683,1199313,-2300,-993.0,,
2013-08-09,2,2013,66474.0,0.0,-18085,339,21969,25,6168,-5282,320,27111,-43461,-3475,,,76673,-36418,44800,-28247,-120352,-1550,-2137.0,-80087,69313,5.0,-4863.0,2123,-322,5436,,2013年01月01日至2013年06月30日,1264787,1257916,-6871,67193,,57297,71994,,37407,-48277,-11192,67193,-39718,-21955,-61673,0.0,404,0,-33555.0,4801,1257916,-20133,,0.0,
2013-11-08,3,2013,99961.0,0.0,-17589,4416,17050,20,9481,-7862,415,20482,-59896,-3497,,,121352,-10827,20223,-27140,-75631,-1205,-3219.0,-160878,103793,0.0,-3498.0,3830,-411,8119,,2013年01月01日至2013年09月30日,1264787,1112500,-152287,82518,,181239,215912,-160560.0,54869,-87028,-193130,82518,-34116,67549,33433,0.0,2268,-215,-99753.0,133394,1112500,-42792,,0.0,
2014-03-21,4,2013,132759.0,0.0,2694,33523,20475,29,4026,-10277,491,30128,-84887,-3650,,,51834,-29887,18523,-22816,20469,-194,-4314.0,-122615,137655,0.0,-6500.0,4939,-491,10637,,2013年01月01日至2013年12月31日,1264787,1310866,46079,131901,,316922,352522,-160560.0,77587,-94892,-178356,131901,-2248,90110,87862,0.0,2280,-49,-36358.0,220621,1310866,-46237,,0.0,
2014-04-24,1,2014,32513.0,0.0,-18538,6834,-21323,-3,2202,-3244,203,-1905,-16739,-835,53853.0,,37815,-31468,-39948,-1399,-44420,-964,-993.0,36279,34150,6292.0,4887.0,864,-189,3169,,2014年01月01日至2014年03月31日,1310866,1305568,-5298,20280,,-47837,-48233,0.0,38477,-30123,8165,20280,-79223,-21803,-101026,0.0,0,540,,-68513,1305568,-2773,,0.0,
2014-08-01,2,2014,63571.0,,-28396,8211,-7475,-12,4355,-5980,416,-13596,-28155,-834,3689.0,,90147,-3224,-50477,-3584,-71847,-2916,-1979.0,-24553,67015,5720.0,4876.0,1396,-413,5731,,2014年01月01日至2014年06月30日,1310866,1343077,32211,74694,,71920,81664,,44398,-45545,-1560,74694,-73741,17140,-56601,,747,724,,6970,1343077,-15475,,,
2014-11-07,3,2014,94172.0,,-23934,3406,14539,1,5780,-9010,498,-225,-46470,-849,-91978.0,,118292,-10738,-10076,-8240,-28186,2,-3120.0,-138552,99833,1965.0,4822.0,1928,-508,8618,,2014年01月01日至2014年09月30日,1310866,1241683,-69183,138048,,273549,296733,-178400.0,57081,-82128,-203955,138048,-50736,115249,64513,,745,923,,158685,1241683,-31802,,,
2015-02-06,4,2014,123610.0,,-17100,8786,6154,17,4364,-12775,567,17425,-60658,-1136,-77574.0,,119829,-25231,4913,-3105,-3736,71,-4281.0,-138618,132233,2005.0,4854.0,2476,-571,12318,,2014年度,1310866,1392808,81942,194514,,393640,415664,-178400.0,73921,-85455,-190505,194514,-33996,131536,97540,,750,1109,,221150,1392808,-34342,,,
2015-04-24,1,2015,,,-4150,-11392,2801,-507,2923,-3996,91,-5380,-4683,-606,,-42374.0,9906,-41686,-72836,-3545,65252,381,,-47649,27284,-2005.0,-13.0,516,-93,3316,27062.0,2015年01月01日至2015年03月31日,1392808,1366290,-26518,56067,-899.0,26591,27359,,15677,-15664,-80,56067,-137020,81250,-55770,,14,3167,,-28708,1366290,-4084,,,
2015-07-31,2,2015,,,5004,332,7867,-507,1257,-8497,135,-12982,-26447,-602,,-60628.0,-19010,-2968,-27551,-3222,-62901,432,,-86469,54115,-2005.0,-25.0,979,-144,7400,50114.0,2015年01月01日至2015年06月30日,1392808,1323649,-69159,120144,-1843.0,51322,65118,,19438,-40324,-21030,120144,-32760,-72380,-105140,,1208,3382,,-55026,1323649,-21196,,,
