stock,稅後純益,103年1-6月,增減,期末股本,稅後純益,103年1-6月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,103年1-6月,增減,公司,,營業收入,103年1-6月,增減,營業利益,103年1-6月,營業外,103年1-6月
01,8318049,11413699,-27.12,98564803,0.57,0.76,30.42,45.2606789344154,1.13772165362263,0.898563054515094,10958003,18208119,-39.82,01    ,水泥類,88302197,106970712,-17.45,6894143,14421681,4063860,3786438
1101,3051907,5028885,-39.31,36921759,0.83,1.36,29.69,36.556715739175,1.21141499669165,0.992798134925262,4712376,9837043,-52.1,1101  ,台泥,46434327,58589686,-20.75,4611139,9622541,101237,214502
1102,4356999,5174629,-15.8,33614472,1.39,1.65,41.62,49.2192108057381,0.854475603094473,0.694983530093339,5126208,6895906,-25.66,1102  ,亞泥,32252761,37450912,-13.88,2000717,4153807,3125491,2742099
1103,-79498,-3722,,7768285,-0.12,-0.01,23.85,49.1387108775701,3.82501867809986,2.72861014744472,-9609,30519,,1103  ,嘉泥,1408790,1909502,-26.22,-254153,-115946,244544,146465
1104,615988,687639,-10.42,6282891,0.98,1.09,25.36,78.1744552409329,1.29330565603966,1.12668633146498,671506,744679,-9.83,1104  ,環泥,2558276,2835547,-9.78,48689,88751,622817,655928
1108,315548,224575,40.51,4047380,0.78,0.55,11.48,55.7483311977736,2.35146373904958,0.656403884401933,394180,262959,49.9,1108  ,幸福,2636961,2495607,5.66,416509,235575,-22329,27384
1109,-3524,197217,,4210008,-0.01,0.47,13.84,64.4778967337348,2.8757885656127,1.86558103660389,5425,332909,-98.37,1109  ,信大,2052241,2685148,-23.57,14333,343449,-8908,-10540
1110,60629,104476,-41.97,5720008,0.11,0.18,15.41,91.7515491730167,4.65858842908363,2.69663949261961,57917,104104,-44.37,1110  ,東泥,958841,1004310,-4.53,56909,93504,1008,10600
02,12743472,12246363,4.06,121841924,0.67,0.83,17.22,31.9758021999536,1.07831661225626,0.659972854474442,22446035,20203837,11.1,02    ,食品類,329050038,340286569,-3.3,16431490,14772462,6014545,5431375
1201,-601833,428099,,5060629,-1.19,0.85,14.16,18.7114008811972,0.942715386053651,0.242924433402631,-787413,614983,,1201  ,味全,10243099,13996768,-26.82,-704651,756255,-82762,-141272
1203,202958,153284,32.41,2400000,0.85,0.64,17.62,50.5560854749607,2.28740930313621,1.00078231573319,413955,317132,30.53,1203  ,味王,3305337,3076899,7.42,353171,324045,60784,-6913
1210,255946,671010,-61.86,7363944,0.37,0.98,19.31,33.044122949342,1.30449264496506,0.602912814380912,434494,946175,-54.08,1210  ,大成,38795605,44414706,-12.65,462392,867308,-27898,78867
1213,11316,3517,221.75,514751,0.22,0.07,13.09,80.5449629727949,3.44479603935015,3.1823869644631,15147,6509,132.71,1213  ,大飲,346477,324209,6.87,12833,5424,2314,1085
1215,276717,382059,-27.57,2679910,1.14,1.57,20.51,55.0311913451411,1.24089509835851,0.547854746006073,383713,490764,-21.81,1215  ,卜蜂,7937950,8467621,-6.26,353081,464660,30632,26104
1216,8727337,7258373,20.24,56820154,1.6,1.33,16.66,22.1797151863801,0.919011842308432,0.610086377954271,17248460,13749607,25.45,1216  ,統一,209965307,211390111,-0.67,12532163,9987199,4716297,3762408
1217,-127131,-276179,,4872053,-0.26,-0.57,10.61,37.4949801090448,0.863791268253389,0.555370108035091,-133295,-301817,,1217  ,愛之味,2159610,1956775,10.37,-99685,-263107,-33610,-38710
1218,-22433,2577,,3533360,-0.07,0.01,9.78,41.0485949465408,1.23492621670201,0.740116515410498,-19026,4805,,1218  ,泰山,3892570,4438100,-12.29,-93037,-101547,74011,106352
1219,19932,53191,-62.53,3188256,0.06,0.17,11.97,56.9755861059584,2.40067438161453,1.38163395686927,21113,60614,-65.17,1219  ,福壽,4630944,5065899,-8.59,7815,39423,13298,21191
1220,29224,40301,-27.49,1770779,0.17,0.23,11.69,68.5617063601775,3.41669052619599,2.19788234080655,19333,46249,-58.2,1220  ,台榮,1601479,1560178,2.65,11414,40113,7919,6136
1225,42446,36347,16.78,2187030,0.19,0.18,11.93,42.6973743199208,1.69346762803117,0.870399389296257,58265,53381,9.15,1225  ,福懋油,5340279,6047932,-11.7,80889,75361,-22624,-21980
1227,1287007,865691,48.67,7926972,1.8,1.21,16.71,64.1877184979663,2.29735505812811,1.44911184682221,1616593,1055799,53.12,1227  ,佳格,12342587,9927834,24.32,1565980,1043347,50613,12452
1229,996448,1129532,-11.78,8887198,1.17,1.32,25.63,78.6396410602015,0.954279334341408,0.624464951928772,1021458,1184935,-13.8,1229  ,聯華,2562249,2577944,-0.61,96470,101639,924988,1083296
1231,129321,43834,195.02,1481131,0.87,0.29,17.46,40.5335151422537,1.3634546491794,0.663808485067953,162485,51334,216.53,1231  ,聯華食,3142068,2669995,17.68,136892,34318,25593,17016
1232,418666,436031,-3.98,1599749,2.62,2.73,19.73,65.0890851260162,2.73814578137354,1.55160502359507,521053,535964,-2.78,1232  ,大統益,8941200,10929840,-18.19,522166,508337,-1113,27627
1233,93627,132291,-29.23,905919,1.03,1.46,14.89,67.5519556409984,1.47970378065288,0.934605880316051,112658,160179,-29.67,1233  ,天仁,1063859,1070558,-0.63,102767,140605,9891,19574
1234,276123,118406,133.2,4018711,0.69,0.29,42.75,78.1864177193885,3.42911964426293,2.85640601099683,329055,154286,113.28,1234  ,黑松,2861930,2704498,5.82,10,-109102,329045,263388
1235,-32347,63680,,606623,-0.55,1.09,21.9,47.6897035097464,1.53703854223084,1.47694974533462,-32155,63548,,1235  ,興泰,48893,100909,-51.55,-9468,-6049,-22687,69597
1236,48034,117183,-59.01,1083425,0.44,1.08,14.89,57.4258310263603,1.1299591287844,0.585531472399713,56777,121090,-53.11,1236  ,宏亞,1118766,1132163,-1.18,51208,1496,5569,119594
1702,596026,479997,24.17,2941330,2.4,1.93,20.06,27.979819893318,1.34898445151068,1.05189053062929,863648,768375,12.4,1702  ,南僑,7381784,7159537,3.1,879193,781440,-15545,-13065
1737,116088,107139,8.35,2000000,0.58,0.54,28.68,82.7288929433109,3.92455882061676,3.27939050234701,139717,119925,16.5,1737  ,臺鹽,1368045,1274093,7.37,169887,81297,-30170,38628
03,55163291,44708366,23.38,305711951,1.05,0.95,34.78,56.3696999147905,2.1989862160197,1.69204803824707,69289925,50616070,36.89,03    ,塑膠類,574319887,643830043,-10.8,40301768,16991525,28988157,33624545
