date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,95238,-26752,2967,95238,-0.16,-0.16,,,-241,80939,2013年01月01日至2013年03月31日,-46377,48861,-47287,47951,-5031,-41346,1607061,1754262,147201,147201,152232,44161,,,27132,-46377,-46377,,17320,910,910
2013-08-09,2,2013,,-94974,50841,2127,-94974,0.22,0.22,,,18675,79903,2013年04月01日至2013年06月30日,70384,-24590,64247,-30727,14345,56039,1719708,1891488,171780,171780,157435,50169,,,27363,70384,70384,,15604,6137,6137
2013-11-12,3,2013,,18590,484,4332,18590,-0.01,-0.01,,,151,78084,2013年07月01日至2013年09月30日,11369,29959,-2239,16351,20969,-9600,1676380,1853107,176727,176727,155758,48929,,,28745,11369,11369,,14567,13608,13608
2014-03-24,4,2013,,8907,10562,12761,13203,0.02,0.02,,596.0,18453,312142,2013年01月01日至2013年12月31日,40214,53417,6204,19407,60784,-19974,6397432,7075900,678468,678468,617684,191788,,5176.0,113754,40214,40810,880.0,61750,34010,34010
2014-05-08,1,2014,,-25256,8410,3005,-25256,-0.01,-0.01,,0.0,37839,70773,2014年01月01日至2014年03月31日,8105,-17151,-1927,-27183,-28343,36448,1400838,1514317,113479,113479,141822,42410,,,28639,8105,8105,,12806,10032,10032
2014-08-11,2,2014,,1300,-4645,3981,1300,0.04,0.04,,2.0,-1756,72540,2014年第2季,33756,35056,11864,13164,48847,-15089,1767846,1956246,188400,188400,139553,38468,,,28545,33756,33758,,12669,21892,21892
2014-11-10,3,2014,,-16722,-17152,7778,-16722,-0.17,-0.17,,2417.0,586,70769,2014年第3季,-38191,-54913,-50188,-66910,-13762,-22012,1345715,1470818,125103,125103,138865,40238,,,27858,-38191,-35774,,13224,11997,11997
2015-03-17,4,2014,,-50118,-26704,19071,-50118,-0.29,-0.29,,2203.0,36792,282110,2014年度,-36079,-86197,-85976,-136094,-12944,-20932,5611345,6164727,553382,553382,566326,164655,,0.0,119561,-36079,-33876,0.0,50091,49897,49897
2015-05-13,1,2015,,32933,-1332,7603,32933,0.0,0.0,32933.0,0.0,14820,57202,2015年01月01日至2015年03月31日,2437,35370,741,33674,-10802,13239,863246,969708,106462,106462,117264,35770,,,24292,2437,2437,,7852,1696,1696
2015-08-11,2,2015,,-6205,-8382,4938,-6205,-0.15,-0.15,-6205.0,1894.0,20431,58438,2015年第2季,-47546,-53751,-42762,-48967,-53984,8332,743807,806228,62421,62421,116405,35636,,,22331,-47546,-45652,,8655,-4784,-4784
2015-11-12,3,2015,,-43867,908,1931,-43867,-0.06,-0.06,-43867.0,-1083.0,2624,62309,2015年第3季,-14758,-58625,-16586,-60453,-12950,-2891,1180310,1293920,113610,113610,126560,32476,,,31775,-14758,-15841,,8354,1828,1828
2016-03-17,4,2015,1117.0,-15925,-9527,10224,-14808,-0.27,-0.27,-15925.0,2151.0,37691,239227,2015年度,-76699,-91507,-78731,-94167,-79473,4925,3683663,4080867,397204,397204,476677,138844,1117.0,,98606,-76699,-74548,,33463,2032,2660
2016-05-10,1,2016,,94213,9593,1022,94213,0.03,0.03,94213.0,,3,51196,2016年01月01日至2016年03月31日,8050,102263,8731,102944,5737,2313,887997,1002010,114013,114013,108276,32254,,,24826,8050,8050,,8305,-681,-681
2016-08-10,2,2016,,-15829,-20759,1185,-15829,0.08,0.08,-15829.0,5218.0,42501,49391,2016年第2季,29439,13610,22407,6578,19689,14968,914341,1043160,128819,128819,109130,34653,,,25086,29439,34657,,7959,7032,7032
2016-11-09,3,2016,0.0,80736,-949,14779,80736,0.05,0.05,80736.0,49.0,0,52587,2016年第3季,17762,98498,15182,95918,11763,6048,752822,878764,125942,125942,114179,35076,0.0,,26516,17762,17811,,7782,2580,2580
