date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-9688.0,,,57699,18674,78100,87788,-0.52,,39669,,70584,2013年01月01日至2013年03月31日,-229568,-151468,-229568,-151468,-254007,64108,2337919,2314217,-23702,-23702,230305,70543,,,-0.52,89178,-229568,-189899,12265,2337919.0,,,,2314217,,0.0,0.0
2013-08-05,2,2013,,0.0,0.0,0.0,10080,39475,30990,30990,-0.46,,2827,0.0,69136,2013年04月01日至2013年06月30日,-203231,-172241,-203231,-172241,-232117,31713,2182311,2175521,-6790,-6790,225327,71078,,,-0.46,85113,-203231,-200404,17842,,6393.0,,2197541.0,2175521,15627.0,0.0,0.0
2013-10-30,3,2013,,0,0,0,-28398,55887,-26218,-26218,-0.31,,5511,-2819,78235,2013年07月01日至2013年09月30日,-136957,-163175,-136957,-163175,-146299,14853,2964594,3050780,86186,86186,232485,70321,,,,83929,-136957,-131446,9817,,5190,,3078563,3050780,22593,0,0
2014-03-06,4,2013,,-9688,0,0,94913,132978,138857,139766,-1.36,,43535,-6825,317174,2013年01月01日至2013年12月31日,-601513,-462656,-601513,-462656,-732692,174714,11240959,11444816,203857,203857,936549,279032,,8779,,340343,-601513,-557978,46352,,33469,,11533183,11444816,54898,0,0
2014-04-29,1,2014,,0.0,0.0,0.0,57629,24813,38150,38150,0.15,,10157,-1300.0,99589,2014年01月01日至2014年03月31日,67793,105943,67793,105943,8753,69197,3973588,4240406,266818,266818,258065,67189,,,0.15,91287,67793,77950,11945,,14164.0,,4270608.0,4240406,16038.0,0.0,0.0
2014-08-11,2,2014,,0.0,,,-56792,38833,-58467,-58467,-0.06,,1346,-700.0,95711,2014年第2季,-27699,-86166,-27699,-86166,7932,-34285,3033224,3295948,262724,262724,254792,65912,,,-0.06,93169,-27699,-26353,15626,,39639.0,,3345528.0,3295948,9941.0,,
2014-11-06,3,2014,,0.0,,,46093,36715,52845,52845,0.16,,1161,0.0,98033,2014年第3季,72724,125569,72724,125569,649,73236,3066374,3320388,254014,254014,253365,58614,,,,96718,72724,73885,9572,,13136.0,,3353065.0,3320388,19541.0,,
2015-03-20,4,2014,,0.0,,,170912,129599,160874,163578,0.2,,8589,-2000.0,381208,2014年度,86913,247787,86913,247787,-158655,254157,12398987,13254873,855886,855886,1014541,261207,,-2704.0,0.2,372126,86913,95502,44354,,86718.0,,13424492.0,13254873,82901.0,,
2015-04-28,1,2015,,,,,-26415,35563,-43564,-43564,-0.1,-43564.0,1832,0.0,73335,2015年01月01日至2015年03月31日,-44863,-88427,-44863,-88427,-45447,2416,2357925,2541583,183658,183658,229105,61219,,,-0.1,94551,-44863,-43031,6732,,14604.0,,2564642.0,2541583,8455.0,,
2015-08-04,2,2015,,,,,-41298,50918,-27331,-27331,0.11,-27331,669,0,91324,2015年第2季,46552,19221,46552,19221,44685,2536,2538435,2833006,294571,294571,249886,69581,,,0.11,88981,46552,47221,7084,,14473,2862834,2862834,2833006,15355,,
2015-10-30,3,2015,,,,,223955,27174,66669,66669,0.79,66669.0,506,0.0,114702,2015年第3季,346786,413455,346786,413455,103078,244214,2365998,2747953,381955,381955,278877,70263,,,0.79,93912,346786,347292,6915,,17134.0,2770558.0,2770558.0,2747953,5471.0,,
2016-03-17,4,2015,-13934.0,,,,170185,143380,-80719,-66785,1.01,-66785.0,7386,0.0,375105,2015年度,447237,366518,447237,366518,170728,283895,9617310,10839306,1221996,1221996,1051268,287206,-13934.0,,1.01,388957,447237,454623,29670,,58642.0,10916635.0,10916635.0,10839306,18687.0,,
2016-07-28,2,2016,,,,,-3589,49106,-60158,-60158,0.47,-60158.0,23571,,99219,2016年第2季,205877,145719,205877,145719,192628,36820,2410612,2856201,445589,445589,252961,72026,,,0.47,81716,205877,229448,8697,,5793.0,2870687.0,2870687.0,2856201,8693.0,,
2016-10-27,3,2016,,,,,-102214,69812,-91455,-91455,0.06,-91455.0,1980,,122460,2016年第3季,27769,-63686,27769,-63686,72459,-42710,2561996,2939816,377820,377820,305361,95232,,,0.06,87669,27769,29749,10308,,13852.0,2972557.0,2972557.0,2939816,18889.0,,
