date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,海運成本,海運收入（海陸運輸業適用）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,運輸成本（海陸運輸業、航空業適用）合計,運輸收入淨額,金融資產減損損失
2013-05-03,1,2013,,4718,-26974,123728,87713,11578,,0.0,104941,1194279,76135,67668.0,1576728,1587257,1229630,0.23,0.23,-313909,,2114,-8377.0,3718,3718,,2013年01月01日至2013年03月31日,197537,1391816,197537,1391816,1576728,1587257,,52160,147491,1576728,1692198,115470,115470,63310,,,0.23,0.23,197537,199651,,48292.0,,88619,67668,305444.0,0.0,1576728,1587257,
2013-08-12,2,2013,,-630,-7868,303085,76037,648,,0.0,26852,269426,75389,73774.0,1569801,1578032,277294,0.28,0.28,-37820,,33144,0.0,465,465,,2013年04月01日至2013年06月30日,240221,509647,240221,509647,1569801,1578032,,-32448,305813,1569801,1604884,35083,35083,67531,,,0.28,0.28,240221,273365,,151040.0,,71314,73774,117921.0,0.0,1569801,1578032,
2013-11-13,3,2013,,2484,155228,168458,240263,858,,0.0,119386,-523430,71657,77797.0,1668607,1736980,-678658,0.5,0.5,152691,,12805,0.0,445,445,,2013年07月01日至2013年09月30日,433114,-90316,433114,-90316,1668607,1736980,,114550,331369,1668607,1856366,187759,187759,73209,,,0.5,0.5,433114,445919,167748.0,180657.0,,33939,77797,0.0,196345.0,1668607,1736980,
2014-03-05,4,2013,,8123,516013,699638,467594,13325,,0.0,263373,1681530,278053,,6364360,7144575,1202040,1.83,1.83,-282704,,64886,-7046.0,11978,11978,,2013年01月01日至2013年12月31日,1566909,3248439,1566909,3248439,6364360,7144575,11831.0,752395,879400,6364360,7407948,1043588,1043588,291193,,-29477.0,1.82,1.82,1566909,1631795,176216.0,379487.0,,249147,299810,373662.0,0.0,6364360,7144575,11831.0
2014-05-02,1,2014,,401,-563472,36303,85877,23685,,0.0,15795,496900,62192,80432.0,1725797,2100566,1060372,0.42,0.42,-352986,,7423,0.0,9518,9518,,2014年01月01日至2014年03月31日,360392,857292,360392,857292,1725797,2100566,,316549,51266,1725797,2116361,390564,390564,74015,,,0.42,0.42,360392,367815,,34791.0,,88245,80432,266654.0,0.0,1725797,2100566,
2014-08-11,2,2014,,1473,-26358,511978,113970,17786,,0.0,32607,-1006054,96184,99503.0,1855942,2251852,-979696,0.72,0.72,208601,,248720,0.0,-5790,-5790,,2014年第2季,615500,-390554,615500,-390554,1855942,2251852,,343565,520655,1855942,2284459,428517,428517,84952,,,0.72,0.72,615500,864220,,478110.0,,179498,99503,0.0,352758.0,1855942,2251852,
2014-11-10,3,2014,,0,-170721,27744,425236,17859,,0.0,132513,728930,85633,95929.0,1886703,2276737,899651,0.91,0.91,-227345,,13819,0.0,-2109,-2109,,2014年第3季,784401,1513331,784401,1513331,1886703,2276737,,443278,354942,1886703,2409250,522547,522547,79269,,,0.91,0.91,784401,798220,321744.0,-868.0,,33048,95929,222909.0,0.0,1886703,2276737,
2015-03-18,4,2014,,13128,-590345,500273,743729,71226,,0.0,175521,2433821,334255,376477.0,7335071,8965430,2980188,2.43,2.43,-951790,,289154,2317.0,31990,31990,,2014年度,2083117,4516938,2083117,4516938,7335071,8965430,94925.0,1472756,899515,7335071,9140951,1805880,1805880,333124,,41661.0,2.43,2.43,2083117,2372271,338248.0,514813.0,,419414,376477,625889.0,,7335071,8965430,
2015-05-05,1,2015,,2846,135045,31124,142958,50126,,0.0,20341,-437583,92832,103339.0,1825063,1877626,-572628,0.07,0.07,248665,-437583.0,5637,,-1081,-1081,,2015年第1季,64282,-373301,64282,-373301,1825063,1877626,,257,69662,1825063,1897967,72904,72904,72647,,,0.07,0.07,64282,69919,,0.0,,105134,103339,0.0,319829.0,1825063,1877626,
2015-08-10,2,2015,,934,-183271,337475,138933,60950,,0.0,5609,-903338,77983,119044.0,1895010,1821716,-720067,0.14,0.14,142936,-903338.0,95843,,-12335,-12335,,2015年第2季,117857,-785481,117857,-785481,1895010,1821716,,-131329,345029,1895010,1827325,-67685,-67685,63644,,,0.14,0.14,117857,213700,,108893.0,,394894,119044,,308314.0,1895010,1821716,
