date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,0.0,8857,39225,19363,120230,111373,0.3,0.0,,95000,10001,73285,2013年01月01日至2013年03月31日,0.0,358499,478729,358393,478623,426642,26857,2552557,3381964,829407,829407,402765,99603,,,0.3,229877,358499,453499,41732,106,106
2013-08-02,2,2013,,0.0,-6600,51469,26348,71007,77607,0.48,0.0,,120000,-1446,69754,2013年04月01日至2013年06月30日,0.0,570493,641500,570161,641168,654525,35968,2682408,3775948,1093540,1093540,439015,115676,,,0.48,253585,570493,690493,40403,332,332
2013-11-06,3,2013,,0.0,-6039,17939,40494,-43000,-36961,0.43,0.0,,131441,-25826,57470,2013年07月01日至2013年09月30日,0.0,506809,463809,506374,463374,643963,-5713,2758238,3839638,1081400,1081400,437437,130738,,,0.42,249229,506809,638250,38320,435,435
2014-03-13,4,2013,,,-5202,102687,133227,204168,214202,1.53,,,502324,-43145,272741,2013年01月01日至2013年12月31日,,1817475,2021643,1816371,2021119,2285752,34047,10680063,14694477,4014414,4014414,1728662,478292,,-4832.0,1.51,977629,1817475,2319799,158722,1104,524
2014-05-09,1,2014,,,1073,6676,25972,58133,57060,0.36,0.0,,96639,19718,59469,2014年01月01日至2014年03月31日,0.0,431001,489134,430939,488917,512592,15048,2567743,3529556,961813,961813,449221,131481,,,0.36,258271,431001,527640,37318,62,217
2014-07-25,2,2014,,,2572,-6443,80686,-85816,-88388,0.66,0.0,,129418,43157,61160,2014年第2季,0.0,782749,696933,782442,696644,825404,86763,2819150,4126273,1307123,1307123,481719,150167,,,0.65,270392,782749,912167,30637,307,289
2014-10-21,3,2014,,,-5559,30426,41880,73285,78844,0.69,0.0,,148358,29628,66768,2014年第3季,0.0,818738,892023,818391,891925,895507,71589,2980779,4393956,1413177,1413177,517670,162521,,,0.68,288381,818738,967096,30345,347,98
2015-03-02,4,2014,,,-269,24492,188936,246059,250664,2.15,,,559629,112548,248398,2014年度,,2559731,2805790,2559056,2805437,2932231,187129,11396039,16277769,4881730,4881730,1949499,605451,,-4336.0,2.13,1095650,2559731,3119360,138847,675,353
2015-04-28,1,2015,,,-3770,55980,45019,-72278,-68508,0.5,,-72278.0,116606,25084,64337,2015年01月01日至2015年03月31日,,599422,527144,599371,527157,630935,85093,2915957,4073532,1157575,1157575,526640,176894,,,0.5,285409,599422,716028,40990,51,-13
2015-07-28,2,2015,,,-4147,48055,54655,-47917,-43770,0.57,,-47917.0,174788,13138,63394,2015年第2季,,680032,632115,679820,632026,773918,80902,3048401,4345477,1297076,1297076,523158,172142,,,0.56,287622,680032,854820,34946,212,89
2015-10-29,3,2015,,,-4633,26926,20126,108755,113388,0.46,,108755.0,144080,5622,67803,2015年第3季,,540264,649019,539882,648271,673788,10556,3217949,4416546,1198597,1198597,524809,172489,,,0.45,284517,540264,684344,42118,382,748
2016-03-02,4,2015,-59715.0,,-6195,118212,139176,-161565,-95655,1.93,,-101850.0,566328,59621,269328,2015年度,,2282273,2120708,2281546,2119822,2703360,145241,12334553,17128536,4793983,4793983,2090623,679573,-59715.0,,1.91,1141722,2282273,2848601,171768,727,886
2016-05-09,1,2016,,,5475,82525,32091,-67916,-73391,0.52,,-67916.0,127207,11176,76280,2016年01月01日至2016年03月31日,,603073,535157,602909,534748,652302,77978,3171070,4358356,1187286,1187286,534984,170510,,,0.51,288194,603073,730280,47814,164,409
2016-07-28,2,2016,,,-1357,48522,16693,-102079,-100722,0.73,,-102079.0,180159,-896,75038,2016年第2季,,847094,745015,846786,744173,1001077,26176,3508122,5057393,1549271,1549271,548194,174778,,,0.73,298378,847094,1027253,38143,308,842
2016-10-26,3,2016,,,8142,-28992,34386,-157259,-165401,0.75,,-157259.0,175355,-48481,73736,2016年第3季,,877038,719779,876855,719662,1144280,-91887,3727537,5431374,1703837,1703837,559557,183377,,,0.73,302444,877038,1052393,48800,183,117
