date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-14,1,2013,,2591,16573,214,2651,72,-2.45,-2.45,,-6095,-147,22682,2013年01月01日至2013年03月31日,-163962,-161311,-163962,-161311,-180485,10428,333253,237697,-95556,-95556,84929,34653,,,-2.45,-2.45,27594,-163962,-170057,,12.0,,6212
2013-08-13,2,2013,,0,7282,143,37,45,0.03,0.03,,4942,-106,30374,2013年04月01日至2013年06月30日,2120,2157,2120,2157,6200,862,666183,778550,112367,112367,106167,46305,,,0.03,0.03,29488,2120,7062,,8.0,,6457
2013-11-13,3,2013,,-2840,-7563,6300,-2864,-29,0.63,0.63,,-2760,-188,28070,2013年07月01日至2013年09月30日,44443,41579,44443,41579,50505,-8822,553772,718052,164280,164280,113775,57247,,,0.58,0.58,28458,44443,41683,,-5.0,,7371
2014-03-27,4,2013,,99040,32908,10652,97983,130,-0.97,-0.97,,11013,-387,110046,2013年01月01日至2013年12月31日,-69401,28582,-69401,28582,-75046,16658,2134318,2473633,339315,339315,414361,194284,,-1403.0,-0.97,-0.97,110031,-69401,-58388,,-216.0,,26515
2014-05-13,1,2014,,-293,19656,3203,-303,-12,0.66,0.66,,11348,82,32964,2014年01月01日至2014年03月31日,55809,55506,55809,55506,48648,18509,462198,608785,146587,146587,97939,39470,,,0.65,0.65,25505,55809,67157,,-2.0,,4432
2014-08-14,2,2014,,11472,-13118,-2403,11439,-40,0.7,0.7,,12447,-100,32665,2014年第2季,58757,70196,58757,70196,92449,-21245,584948,785958,201010,201010,108561,45621,,,0.68,0.68,30275,58757,71204,,-7.0,,5624
2014-11-13,3,2014,,66689,12061,4307,66731,51,1.06,1.06,,17749,-3,38511,2014年第3季,89286,156017,89286,156017,97047,9988,363575,575940,212365,212365,115318,46325,,,1.03,1.03,30482,89286,107035,,9.0,,6377
2015-03-26,4,2014,,222684,48465,11650,221905,63,3.11,3.11,,47349,-159,118005,2014年度,262495,484400,262495,484400,273947,35897,1809538,2496224,686686,686686,412739,179557,,-1001.0,2.98,2.98,115177,262495,309844,,-159.0,,24059
2015-05-12,1,2015,,-61507,-11846,446,-61523,-19,0.49,0.49,-61523.0,8488,-161,31973,2015年01月01日至2015年03月31日,41560,-19963,41560,-19963,69068,-19020,345170,528131,182961,182961,113893,47393,,,0.47,0.47,34527,41560,50048,,,-3.0,7459
2015-08-12,2,2015,,-26730,-13040,3509,-26752,-26,0.2,0.2,-26752.0,7974,-117,25108,2015年第2季,16629,-10123,16629,-10123,41727,-17124,335219,485082,149863,149863,108136,54589,,,0.19,0.19,28439,16629,24603,,,-4.0,7476
2015-11-10,3,2015,,13800,58660,1818,13861,72,1.34,1.34,13861,21797,-113,38590,2015年第3季,113710,127571,113710,127571,84229,51278,514817,712904,198087,198087,113858,41578,,,1.24,1.24,33690,113710,135507,,,11,9087
2016-03-10,4,2015,3298.0,167950,36362,15261,171218,-36,3.32,3.32,167920.0,61440,-341,139746,2015年度,282392,453610,282392,453610,325574,18258,1790732,2596722,805990,805990,480416,208975,3973.0,,3.1,3.1,131695,282392,343832,675.0,,-6.0,33024
2016-05-12,1,2016,,134888,-21570,1046,134881,-8,1.19,1.19,134881.0,22117,58,40337,2016年01月01日至2016年03月31日,104184,239065,104184,239065,155833,-29532,439759,744047,304288,304288,148455,70984,,,1.13,1.13,37134,104184,126301,,,-1.0,9066
2016-08-11,2,2016,,328,6843,1328,292,-43,1.67,1.67,292.0,45217,1,45077,2016年第2季,145963,146255,145963,146255,191723,-543,551196,897051,345855,345855,154132,68790,,,1.58,1.58,40265,145963,191180,,,-7.0,8715
2016-11-10,3,2016,,52796,-32794,432,52761,-43,1.09,1.09,52761.0,28537,84,41918,2016年第3季,96277,149038,96277,149038,165179,-40365,460048,768051,308003,308003,142824,64520,,,1.05,1.05,36386,96277,124814,,,-8.0,8087
