date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,1800,23658,25336,-1696,-56420.0,277263,331883,0.23,,157441,153123,2013年01月01日至2013年03月31日,278790,556053,278790,556053,454249,-18018,5848418,6698618,850200,850200,394255,57285,,,0.23,183847,278790,436231,,,,67012,0.0,0.0
2013-08-09,2,2013,,5740,-33930,30197,8815,-35784.0,180453,210497,0.28,,174567,209944,2013年04月01日至2013年06月30日,335116,515569,335116,515569,577011,-67328,5907056,6925710,1018654,1018654,450458,58734,,,0.28,181780,335116,509683,,,,63595,,
2013-11-08,3,2013,,1400,-88662,68739,-20880,21668.0,-104394,-127462,0.47,,223152,184157,2013年07月01日至2013年09月30日,561969,457575,561969,457575,865035,-79914,7175866,8498643,1322777,1322777,436862,63505,,,0.47,189200,561969,785121,,,,59991,,
2014-03-14,4,2013,,5740,-89626,207410,-20100,,560000,682576,1.56,,779120,729007,2013年01月01日至2013年12月31日,1854169,2414169,1854169,2414169,2767139,-133850,26331041,30897875,4566834,4566834,1779595,244964,,-14792.0,1.55,805624,1854169,2633289,,113524.0,,251634,,
2014-05-09,1,2014,,1800,-68345,53001,1720,1324.0,-4665,-7789,0.28,,100463,168507,2014年01月01日至2014年03月31日,334339,329674,334339,329674,510829,-76027,6231872,7191633,959761,959761,450652,62244,,,0.28,219901,334339,434802,,,,60683,0.0,0.0
2014-08-08,2,2014,,20800,-117948,47027,22709,41784.0,-183206,-245790,0.24,,153466,183455,2014年第2季,283370,100164,283370,100164,568622,-131786,6666783,7677448,1010665,1010665,464752,66872,,,0.24,214425,283370,436836,,,,60865,,
2014-11-07,3,2014,,9900,19998,48263,-5570,-55202.0,279414,324716,0.49,,191473,212073,2014年第3季,581153,860567,581153,860567,764566,8060,7696095,8993805,1297710,1297710,527574,73346,,,0.49,242155,581153,772626,,,,60201,,
2015-03-13,4,2014,,40100,-131599,217067,16407,,463576,535753,1.67,,697208,803592,2014年度,1986648,2450224,1986648,2450224,2850705,-166849,29029879,33849513,4819634,4819634,1985336,282421,,-25541.0,1.66,899323,1986648,2683856,,86736.0,,252317,,
2015-05-08,1,2015,,-12400,-128555,43686,-2437,,-127956,-139225,0.38,-127956.0,131297,216225,2015年01月01日至2015年03月31日,453333,325377,453333,325377,744043,-159413,7416058,8677255,1261197,1261197,514717,72616,,,0.38,225876,453333,584630,,,-23669.0,74544,0.0,0.0
2015-08-06,2,2015,,-18700,-121858,47817,-877,,-175435,-188837,0.40,-175435,294365,200277,2015年第2季,477919,302484,477919,302484,918155,-145871,7982562,9422746,1440184,1440184,521152,73854,,,0.40,247021,477919,772284,,,-32102,71830,,
2015-11-05,3,2015,,-1600,-12631,78516,-5267,,394233,476908,0.8,394233.0,292480,243482,2015年第3季,954350,1348583,954350,1348583,1257926,-11096,10637746,12543166,1905420,1905420,642227,77853,,,0.8,320892,954350,1246830,,,81075.0,76981,,
2016-03-17,4,2015,-70699.0,-46240,-559307,262745,-2636,,-246171,-155701,2.41,-175472.0,1008254,933327,2015年度,2867168,2620997,2867168,2620997,4473457,-598035,37742791,44382978,6640187,6640187,2164094,261739,-85180.0,,2.4,969028,2867168,3875422,-14481.0,,-26469.0,301473,,
2016-05-06,1,2016,,0,-233871,43733,3991,,-177949,-214396,0.22,-177949.0,50760,213982,2016年01月01日至2016年03月31日,262006,84057,262006,84057,583525,-270759,8297812,9389380,1091568,1091568,512034,71685,,,0.22,226367,262006,312766,,,-36447.0,80621,0.0,0.0
2016-08-05,2,2016,,0,-405596,79899,-1742,,-287022,-345810,0.02,-287022.0,115750,232800,2016年第2季,23629,-263393,23629,-263393,545506,-406127,8216684,9319849,1103165,1103165,555917,69629,,,0.02,253488,23629,139379,,,-58788.0,80430,,
2016-11-04,3,2016,,0,-287187,54767,-3784,,-388889,-468541,0.4,-388889.0,226709,247974,2016年第3季,472508,83619,472508,83619,1009196,-309979,11005450,12591206,1585756,1585756,572776,73846,,,0.39,250956,472508,699217,,,-79652.0,77559,,
