date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,8452,4959,93141,111944,-0.11,-0.11,,16034,19871,2013年01月01日至2013年03月31日,-9656,83485,-9656,83485,1711,4667,247326,343925,96599,96599,94888,227.0,8697,,,-0.11,-0.11,66320,-9656,6378,,19030.0,,8744,0,0
2013-08-05,2,2013,,,188910,1051,86705,104223,1.6,1.6,,1465,28460,2013年04月01日至2013年06月30日,134515,221220,134515,221220,-50598,186578,263973,347940,83967,83967,134565,200.0,11005,,,1.59,1.59,95100,134515,135980,,17718.0,,3383,0,0
2013-11-04,3,2013,,,21446,3618,-34959,-43116,-0.34,-0.34,,13921,23196,2013年07月01日至2013年09月30日,-29326,-64285,-29326,-64285,-36418,21013,281842,347066,65224,65224,101642,828.0,8258,,,-0.34,-0.34,70188,-29326,-15405,,-7329.0,,4051,0,0
2014-03-17,4,2013,,,205618,36886,204130,239147,1.12,1.12,,24510,105279,2013年01月01日至2013年12月31日,94977,299107,94977,299107,-102151,221638,1082843,1446741,363898,363898,466049,1255.0,32191,,5281.0,1.11,1.11,328579,94977,119487,,41553.0,,20866,0,0
2014-05-05,1,2014,,706.0,-15515,7966,-10189,-13127,-0.84,-0.84,,9507,23752,2014年01月01日至2014年03月31日,-71429,-81618,-71429,-81618,-50010,-11912,253401,295993,42592,42592,92602,0.0,10145,,,-0.84,-0.84,58705,-71429,-61922,,-2232.0,,4363,0,0
2014-08-11,2,2014,,3060.0,-28942,7131,-50650,-64710,-0.9,-0.9,,4756,37572,2014年第2季,-76427,-127077,-76427,-127077,-45024,-26647,287413,336815,49402,49402,94426,0.0,9512,,,-0.9,-0.9,47342,-76427,-71671,,-11000.0,,4836,0,0
2014-11-10,3,2014,,3170.0,-9482,5739,75372,86990,-0.79,-0.79,,1162,15876,2014年第3季,-67272,8100,-67272,8100,-58310,-7800,232604,282564,49960,49960,108270,0.0,6403,,,-0.79,-0.79,85991,-67272,-66110,,14788.0,,4057,0,0
2015-03-25,4,2014,,10792.0,-55862,28686,108023,117834,-2.92,-2.92,,27286,67002,2014年度,-248207,-140184,-248207,-140184,-176075,-44846,1041723,1265410,223687,223687,399762,0.0,36339,,-688.0,-2.92,-2.92,296421,-248207,-220921,,19915.0,,17670,0,0
2015-05-06,1,2015,,-9672.0,16779,8169,-36634,-32484,0.17,0.17,-36634.0,11175,20051,2015年01月01日至2015年03月31日,14026,-22608,14026,-22608,3834,21367,220614,316619,96005,96005,92171,,7969,,,0.16,0.16,64151,14026,25201,,,-5522.0,3581,0,0
2015-08-13,2,2015,,402.0,5121,12352,-39672,-48282,0.04,0.04,-39672.0,1571,12650,2015年第2季,3862,-35810,3862,-35810,-9650,15083,222051,296439,74388,74388,84038,,9260,,,0.04,0.04,62128,3862,5433,,,-8208.0,2390,0,0
2015-11-09,3,2016,,0.0,-13566,5111,-73733,-88835,-0.93,-0.93,-73733.0,8229,22184,2016年第3季,-74762,-148495,-74762,-148495,-55451,-11082,179005,217296,38291,38291,93742,,21563,,,-0.93,-0.93,49995,-74762,-66533,,,-15102.0,2627,0,0
2015-11-12,3,2015,,506.0,967,10127,113968,136701,-0.51,-0.51,113968.0,7013,17971,2015年第3季,-44118,69850,-44118,69850,-47195,10090,228126,272912,44786,44786,91981,,5909,,,-0.51,-0.51,68101,-44118,-37105,,,23239.0,1004,0,0
2016-02-23,4,2015,-5244.0,-10792.0,-8044,38918,-68652,-63393,-1.98,-1.98,-63408.0,33628,129922,2015年度,-169462,-238114,-169462,-238114,-158463,22629,908346,1181782,273436,273436,431899,,30185,-6318.0,,-1.98,-1.98,271792,-169462,-135834,-1074.0,,-10777.0,8245,0,0
2016-05-11,1,2016,,0.0,1067,11859,-11352,-13677,-0.67,-0.67,-11352.0,6356,25792,2016年01月01日至2016年03月31日,-56968,-68320,-56968,-68320,-60648,10036,170938,203803,32865,32865,93513,,5597,,,-0.67,-0.67,62124,-56968,-50612,,,-2325.0,2890,0,0
2016-08-11,2,2016,,0.0,-67607,15598,-62519,-75324,-1.79,-1.79,-62519.0,10167,34039,2016年第2季,-147948,-210467,-147948,-210467,-84121,-53660,168902,208751,39849,39849,123970,,6030,,,-1.79,-1.79,83901,-147948,-137781,,,-12805.0,1651,0,0
