date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-602,8130,,87,87,-0.11,,-104,,,,,842,,95028,2013年01月01日至2013年03月31日,,-34655,-34568,-33147,-33080,-40339,5580,2243553,2342164,98611,98611,138950,-104.0,6322,,,37600,-34655,-34759,,,,2790,2342164,-1508,-1488
2013-08-12,3,2013,,,-1627,10446,,207,239,0.02,,368,,,,,5796,,97426,2013年07月01日至2013年09月30日,,5515,5722,6745,6896,-4531,10414,2577707,2722035,144328,144328,148859,368.0,13185,,,38248,5515,5883,,32.0,,4201,2722035,-1230,-1174
2013-08-12,2,2013,,,2006,6709,,-134,-142,-0.04,,-3096,,,,,4864,,93576,2013年04月01日至2013年06月30日,,-14262,-14396,-11633,-11734,-26757,9399,2548339,2663652,115313,115313,142070,,4607,,,43887,-14262,-17358,,-8.0,,4180,2663652,-2629,-2662
2014-03-25,4,2013,,,1304,35996,,-1251,2,0.09,,-3597,,789.0,789.0,,17856,,389288,2013年01月01日至2013年12月31日,,23887,22636,28143,26892,-17933,38223,9976824,10510873,534049,534049,551982,-3597.0,21894,,-2460.0,140800,23887,20290,,-418.0,,16933,10510873,-4256,-4256
2014-05-13,1,2014,,,469,11641,,62,71,0.14,,7748,,,,,3602,,101024,2014年01月01日至2014年03月31日,,43045,43107,43389,43434,37897,12896,2269817,2459447,189630,189630,151733,7748.0,6396,,,44313,43045,50793,,9.0,,2816,2459447,-344,-327
2014-08-12,2,2014,,,2085,6415,,-1600,-1622,0.03,,891,,,,,5518,,111308,2014年第2季,,8198,6598,9070,8958,794,8295,2450276,2606452,156176,156176,155382,891.0,5937,,,38137,8198,9089,,-22.0,,5723,2606452,-872,-2360
2014-11-13,3,2014,,,3195,9751,,1995,2329,0.0,,-435,,,,,894,,107820,2014年第3季,,558,2553,1435,3068,-8423,8546,2587830,2737717,149887,149887,158310,-435.0,5920,,,44570,558,123,,334.0,,5294,2737717,-877,-515
2015-03-24,4,2014,,,5415,38014,,-11196,3790,0.43,,20929,,-1511.0,,-1511.0,26963,,432197,2014年度,,124799,113603,134453,123899,91812,53916,9809054,10543589,734535,734535,642723,20929.0,25957,,-15327.0,184569,124799,145728,,-1852.0,,16476,10543589,-9654,-10296
2015-05-13,1,2015,,,-549,7669,,-752,-878,0.07,-752.0,7393,,,,,1146,,112442,2015年01月01日至2015年03月31日,7393.0,18988,18236,22504,21888,21954,4427,2139275,2325248,185973,185973,164019,,6293,,,45284,18988,26381,,,-126.0,3839,2325248,-3516,-3652
2015-08-12,2,2015,,0.0,7670,8559,,-1072,-1252,-0.01,-1072.0,1854,,,,,-3097,,105870,2015年第2季,1854.0,-7122,-8194,-2572,-3449,-14139,8871,2142079,2305696,163617,163617,177756,,7263,,,64623,-7122,-5268,,,-180.0,4261,2305696,-4550,-4745
2015-11-12,3,2015,,,-12040,7312,,2900,3387,0.08,2900.0,6755,,,,,8438,,127374,2015年第3季,6755.0,14699,17599,25305,27679,24134,-2680,2270840,2497043,226203,226203,202069,,7445,,,67250,14699,21454,,,487.0,6390,2497043,-10606,-10080
2016-03-23,4,2015,-19859.0,,-11818,37630,1716.0,-21726,-2187,0.31,-1867.0,30968,-1903.0,,,,23922,-1903.0,476432,2015年度,30968.0,62419,40693,97627,76207,61905,31482,8914882,9732986,818104,818104,757915,,29913,-21634.0,,251570,62419,93387,-3678.0,,-320.0,18252,9732986,-35208,-35514
2016-05-13,1,2016,,,5937,5588,0.0,225,270,0.13,225.0,15650,,,,,6007,,125696,2016年01月01日至2016年03月31日,15650.0,26721,26946,40650,40869,32432,9939,2399895,2633013,233118,233118,200686,,7706,,,67284,26721,42371,,,45.0,7593,2633013,-13929,-13923
2016-08-10,2,2016,,,-935,3750,,-1547,-1808,0.14,-1547.0,14806,,,,,4473,,126942,2016年第2季,14806.0,19693,18146,43606,42331,40818,-6319,2418719,2680385,261666,261666,220848,,9810,,,84096,19693,34499,,,-261.0,13607,2680385,-23913,-24185
2016-11-10,3,2016,,,7660,4408,,-1956,-2292,0.12,-1956.0,7105,,,,,5752,,155852,2016年第3季,7105.0,6134,4178,37182,35545,6722,6517,2436107,2665231,229124,229124,222402,,7348,,,59202,6134,13239,,,-336.0,11303,2665231,-31048,-31367
