date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-07,1,2013,,-1465.0,,8963,8122,12903,12285,4001,-0.04,-0.03,,587,,2013年01月01日至2013年03月31日,-4065,8220,-4065,8220,-21123,19110,520325,560771,40446,40446,61569,,,,-0.04,-0.03,,-2600,-2013,,679.0,,1915
2013-08-06,2,2013,,-48.0,0.0,20259,5973,2993,30321,12123,0.07,0.07,,2003,17873.0,2013年04月01日至2013年06月30日,7289,37610,7289,37610,1658,7682,460520,526815,66295,66295,64637,21694.0,,,,,25070.0,7337,9340,,2061.0,,1284
2013-11-12,3,2013,,0.0,0.0,5974,-9527,20407,2619,-6501,0.27,0.27,,5796,35599.0,2013年07月01日至2013年09月30日,30433,33052,30433,33052,25695,10534,651397,759309,107912,107912,82217,15320.0,,2460.0,,,31298.0,30433,36229,,-686.0,,346
2014-03-26,4,2013,,-1513.0,-0.02,56682,-7003,49286,71894,19773,0.5,0.52,,11864,113514.0,2013年01月01日至2013年12月31日,56016,127910,56016,127910,30718,38675,2245746,2572379,326633,326633,295915,71725.0,,-1445.0,,,110676.0,57529,69393,,3116.0,,3608
2014-05-13,1,2014,,0.0,0.0,1229,8493,6742,-990,-2601,0.16,0.16,,2181,53000.0,2014年01月01日至2014年03月31日,17687,16697,17687,16697,4648,15220,752197,847346,95149,95149,90501,19358.0,,,,,18143.0,17687,19868,,-382.0,,15
2014-08-05,2,2014,,0.0,0.0,9979,893,6551,-468,-12659,0.31,0.31,,3586,69641.0,2014年第2季,34136,33668,34136,33668,30408,7314,862980,1000648,137668,137668,107260,17265.0,,0.0,,,20354.0,34136,37722,,-2212.0,,130
2014-11-06,3,2014,,0.0,,-20958,6280,21745,-6578,17325,0.74,0.74,,2623,73908.0,2014年第3季,82351,75773,82351,75773,57387,27587,1090666,1264351,173685,173685,116298,20113.0,,0.0,0.74,0.74,22277.0,82351,84974,,2945.0,,438
2015-03-27,4,2014,,0.0,,-14173,29185,39574,2588,23222,1.28,1.28,,4302,296066.0,2014年度,142356,144944,142356,144944,79450,67208,3772088,4307917,535829,535829,456379,81030.0,,-3028.0,1.28,1.28,79283.0,142356,146658,,3433.0,,1551
2015-05-06,1,2015,,,,-2525,994,7844,-8211,-6851,0.3,0.3,-8211.0,3113,74253.0,2015年01月01日至2015年03月31日,33658,25447,33658,25447,28311,8460,1065340,1211695,146355,146355,118044,20327.0,,,0.3,0.3,23464.0,33658,36771,,,-1165.0,378
2015-08-05,2,2015,,,,-30720,-763,8792,-40363,-11618,0.03,0.03,-40363.0,-1879,61574.0,2015年第2季,3030,-37333,3030,-37333,-6805,7956,749371,842193,92822,92822,99627,20958.0,,,0.03,0.03,17095.0,3030,1151,,,-1975.0,73
2015-11-11,3,2015,,,,5112,33642,23887,30735,30871,0.15,0.15,30735.0,5872,58807.0,2015年第3季,17023,47758,17023,47758,-34267,57162,735370,806619,71249,71249,105516,21743.0,,,0.15,0.15,24966.0,17023,22895,,,5248.0,367
2016-03-22,4,2015,-1662.0,,,-20510,42303,49075,-33578,-13741,0.32,0.32,-31916.0,4799,250905.0,2015年度,35355,1777,35355,1777,-50386,90540,3265883,3636049,370166,370166,420552,90623.0,-2003.0,,0.32,0.32,79024.0,35355,40154,-341.0,,-2335.0,838
2016-05-06,1,2016,,,,3544,-9836,5963,330,-3872,0.09,0.09,330.0,792,50833.0,2016年01月01日至2016年03月31日,10286,10616,10286,10616,14957,-3879,715499,824845,109346,109346,94389,23775.0,,,0.09,0.09,19781.0,10286,11078,,,-658.0,6
2016-08-05,2,2016,,,,-735,12397,5869,-14847,-17003,0.21,0.21,-14847.0,-1461,40916.0,2016年第2季,23061,8214,23061,8214,3351,18249,583554,670319,86765,86765,83414,23093.0,,,0.21,0.21,19405.0,23061,21600,,,-2891.0,17
2016-11-09,3,2016,,,,-2855,-8589,20508,-26572,-28574,0.2,0.2,-26572.0,4899,46728.0,2016年第3季,22670,-3902,22670,-3902,15707,11862,696967,800592,103625,103625,87918,20840.0,,,0.2,0.2,20350.0,22670,27569,,,-4857.0,57
