date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,其他費損,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,496,-695,35155,21661,-714,20259,,2433,155,186590,792209,17946,2.12,2.12,,1038.0,,105485,,2313.0,2313.0,,31925,,,,1016766,2013年01月01日至2013年03月31日,545717,565976,545717,565976,584972,66230,9384029,11104614,1720585,1720585,1134899,,,11061,2.1,2.1,118133,545717,651202,,,,,155,923,84,9197439,169511,10534370,10312405,52454,,
2013-08-06,2,2013,,2462,-478,42831,29310,-1443,13498,,2634,788,205269,672790,12514,1.19,1.19,1999.0,,,86592,,984.0,984.0,,45507,,,,1044924,2013年04月01日至2013年06月30日,306845,320343,306845,320343,306365,87072,8910140,10376750,1466610,1466610,1158802,,,10887,1.18,1.18,113878,306845,393437,,,,,788,21,36,8704871,187997,9912260,9703960,20303,,
2013-10-22,3,2013,,1497,858,46927,34446,-1156,-10779,,1740,3680,209359,703432,-9771,1.21,1.21,3487.0,0.0,,53420,,-1008.0,-1008.0,,49779,,,,1197551,2013年07月01日至2013年09月30日,310908,300129,310908,300129,270444,93884,9201594,10784571,1582977,1582977,1311377,,,9745,1.2,1.2,113826,310908,364328,996.0,,,,3680,0,1132,8992235,184862,10395990,10081139,129989,,
2014-02-20,4,2013,,5509,13123,132057,78946,-4350,41529,4350.0,9150,9308,806539,2882524,36414,5.55,5.55,3116.0,,,295483,,2161.0,4014.0,-1853.0,175237,,,,4464008,2013年01月01日至2013年12月31日,1429966,1471495,1429966,1471495,1414340,311109,36368280,42711163,6342883,6342883,4924193,,3558.0,42965,5.51,5.51,460185,1429966,1725449,996.0,,604.0,15425.0,9308,337,246,35561741,791747,40965209,39828639,344823,,
2014-04-30,1,2014,,839,3917,33506,20862,-2872,-7138,2872.0,1775,1467,199298,753254,-8610,0.71,0.71,5469.0,0.0,,28805,,1472.0,1472.0,,43305,,,,1193684,2014年01月01日至2014年03月31日,182929,175791,182929,175791,132473,79261,9118471,10555843,1437372,1437372,1302027,,,10869,0.7,0.7,108343,182929,211734,,,,,1467,58,771,8919173,214612,10137660,9802589,120459,,
2014-08-05,2,2014,,5063,-3597,46643,31800,-5121,-17170,5121.0,3908,3597,165689,655811,-16031,0.4,0.4,1209.0,,,32434,,-1139.0,-1139.0,,56540,,,,1142453,2014年第2季,104353,87183,104353,87183,40798,95989,9624585,10926719,1302134,1302134,1256215,,,10935,0.4,0.4,113762,104353,136787,,,,,3597,315,58,9458896,194830,10574516,10270908,108778,,
2014-10-28,3,2014,,3985,-5961,44880,30641,-2546,25167,2546.0,2659,4410,176531,591431,23916,0.02,0.02,0.0,6262.0,,-10290,,1251.0,1251.0,,54575,,,,1151743,2014年第3季,4222,29389,4222,29389,-95152,89084,7997328,9149974,1152646,1152646,1245252,,,10920,0.02,0.02,93509,4222,-6068,660.0,,,,4410,4286,0,7820797,146002,8738807,8558543,34262,,
2015-02-12,4,2014,,24409,-18463,186147,129952,-39489,29300,39489.0,11706,13766,707750,2623866,28629,2.13,2.13,4804.0,,,92136,,5194.0,4454.0,740.0,212891,,,,4530621,2014年度,549963,579263,549963,579263,275290,366809,36098076,41351759,5253683,5253683,4938904,,-5448.0,43829,2.12,2.12,408283,549963,642099,660.0,,-925.0,0.0,13766,1163,21,35390326,678318,39709871,38727893,303660,,
2015-04-29,1,2015,,8850,-7048,39990,26857,-24449,-8804,24449.0,3680,2679,140820,461254,-7666,0.51,0.51,2090.0,,-8804.0,21693,,,,,64505,-1138.0,-1138.0,,1002660,2015年第1季,130503,121699,130503,121699,57428,94768,7939674,9114262,1174588,1174588,1092711,,,9453,0.5,0.5,90051,130503,152196,,,,,2679,193,481,7798854,141666,8868921,8653008,74247,,
2015-07-27,2,2015,,51073,-51810,35293,17990,-8157,-9296,8157.0,6290,1138,160244,669880,-8317,0.92,0.92,0.0,1912.0,-9296.0,47358,,,,,67093,-979.0,-979.0,,879122,2015年第2季,236503,227207,236503,227207,234423,49438,7863579,9070308,1206729,1206729,964149,,,11013,0.91,0.91,85027,236503,283861,,,,,1138,1175,0,7703335,145829,8613410,8400428,67153,,
2015-11-06,3,2015,,4747,-1074,29731,17598,-24907,34529,24907.0,5071,2359,163941,458801,29672,0.42,0.42,0.0,1966.0,34529.0,10607,,,,,86205,4857.0,4857.0,,856981,2015年第3季,107474,142003,107412,141941,5578,112503,7127189,8101845,974656,974656,944171,,,7002,0.42,0.42,87190,107474,118081,60.0,,,,2359,5639,0,6963248,114048,7837306,7643044,80214,62.0,62.0
