date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,處分投資損失,財務成本淨額
2013-05-09,1,2013,,,30338,4652,2284,1457,,240,30338,827,0.24,0.24,,6523,,-1203,,2013年01月01日至2013年03月31日,35847,66185,35847,66185,36637,5733,644061,715437,71376,71376,34979,,,0.24,0.24,35847,42370,,,,,,
2013-08-08,2,2013,,,5785,6231,2647,,,0,5785,,0.4,0.4,,12059,,-976,,2013年04月01日至2013年06月30日,61203,66988,61203,66988,65360,7902,522940,626357,103417,103417,38057,,,0.4,0.4,61203,73262,,,,,,0.0
2013-11-14,3,2013,,,-2121,8659,19146,,,1367,-2121,,0.32,0.32,,5142,,-560,,2013年07月01日至2013年09月30日,51734,49613,51734,49613,29631,27245,430088,496186,66098,66098,37834,,,0.32,0.32,51734,56876,,,,,,0.0
2014-03-20,4,2013,,0.0,31434,24031,23773,1512.0,,4887,31889,4494.0,1.34,1.34,,36797,-131.0,-3603,,2013年01月01日至2013年12月31日,215052,246941,215052,246941,207769,44080,2199877,2562940,363063,363063,160181,,706.0,1.34,1.34,215052,251849,17767.0,,120.0,24031.0,,121.0
2014-05-08,1,2014,,,-12505,1788,1479,,,1155,-12449,,0.47,0.47,,15295,56.0,-756,,2014年01月01日至2014年03月31日,75626,63177,75626,63177,88410,2511,724266,848161,123895,123895,36640,,,0.47,0.47,75626,90921,,,,,,
2014-08-07,2,2014,,0.0,12569,365,4388,373.0,,2236,12803,3515.0,0.51,0.51,,16184,234.0,21,,2014年第2季,81871,94674,81871,94674,93281,4774,538668,669114,130446,130446,39401,,,0.51,0.51,81871,98055,500.0,,,365.0,,
2014-11-13,3,2014,,0.0,9486,-6953,18435,1187.0,,1065,9058,1473.0,0.36,0.36,,10417,-428.0,446,,2014年第3季,59787,68845,59787,68845,58276,11928,432527,533207,100680,100680,43469,,,0.36,0.36,59787,70204,15775.0,,,-6953.0,,
2015-03-19,4,2014,,20.0,-11013,-12185,27146,2515.0,,3727,-8029,7789.0,1.6,1.6,,53558,84.0,642,,2014年度,266260,258231,266260,258231,304422,15396,2298621,2768619,469998,469998,169303,,3494.0,1.59,1.59,266260,319818,16842.0,,594.0,-12165.0,,207.0
2015-05-05,1,2015,,30.0,19827,991,12901,397.0,1009.0,1009,20342,1782.0,0.52,0.52,20342.0,15354,,-257,515.0,2015年01月01日至2015年03月31日,86354,106696,86354,106696,88073,13635,574459,701953,127494,127494,40430,,,0.52,0.52,86354,101708,10722.0,,,1021.0,,
2015-08-13,2,2015,,13.0,-8373,2882,5880,498.0,1065.0,1065,-8476,3982.0,0.48,0.48,-8476.0,16281,,46,-103.0,2015年第2季,80327,71851,80327,71851,87800,8808,409363,537265,127902,127902,41167,,,0.48,0.48,80327,96608,1400.0,,,2895.0,,
2015-11-10,3,2015,,0.0,-37869,0,21055,1155.0,1511.0,1511,-38166,1901.0,0.49,0.49,-38166.0,13515,,775,-297.0,2015年第3季,84296,46130,84296,46130,75981,21830,339543,465027,125484,125484,51014,,,0.49,0.49,84296,97811,17999.0,,,0.0,0.0,
2016-03-24,4,2015,469,52,-6817,3839,43025,3685,,1887,-6310,9219,1.84,1.84,-6779,59572,,607,38,2015年度,319397,313087,319397,313087,331704,47265,1735432,2234660,499228,499228,169411,565,,1.84,1.84,319397,378969,30121,96,,3891,,206
2016-05-05,1,2016,,2.0,-30891,-2,1705,499.0,1003.0,1003,-31143,1206.0,0.48,0.48,-31143.0,18769,,-302,-252.0,2016年01月01日至2016年03月31日,83382,52239,83382,52239,100751,1400,469529,610127,140598,140598,40850,,,0.48,0.48,83382,102151,0.0,,,0.0,,1.0
2016-08-11,2,2016,,72.0,14921,-72,4602,591.0,,879,15130,3311.0,0.43,0.43,15130.0,18588,,-840,209.0,2016年第2季,73762,88892,73762,88892,88660,3690,333344,459117,125773,125773,37992,,,0.42,0.42,73762,92350,700.0,,,0.0,,0.0
2016-11-10,3,2016,,5.0,-1431,-5,24273,907.0,681.0,681,-1372,808.0,0.49,0.49,-1372.0,13027,,104,59.0,2016年第3季,87514,86142,87514,86142,76169,24372,295359,412837,117478,117478,41990,,,0.49,0.49,87514,100541,22558.0,,,0.0,,0.0
