date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-13,1,2013,,230,101,1541,1857,0.04,0.04,,970,51418,2013年01月01日至2013年03月31日,1557,3098,1557,3098,2197,330,95553,158422,62869,62869,60672,778,,,8476,1557,2527,,316.0,,1
2013-08-09,2,2013,,446,146,-61,-74,-0.05,-0.05,,-17,49995,2013年04月01日至2013年06月30日,-2127,-2188,-2127,-2188,-2735,591,90035,146012,55977,55977,58712,984,,,7733,-2127,-2144,,-13.0,,1
2013-11-12,3,2013,,296,163,-891,-1073,-0.09,-0.09,,-391,52747,2013年07月01日至2013年09月30日,-3940,-4831,-3940,-4831,-4789,458,74283,130141,55858,55858,60647,759,,,7141,-3940,-4331,,-182.0,,1
2014-03-27,4,2013,,2100,542,2318,1794,-0.21,-0.21,,-229,204759,2013年01月01日至2013年12月31日,-8997,-6679,-8997,-6679,-11863,2637,347199,576695,229496,229496,241359,3351,,999.0,33249,-8997,-9226,,475.0,,5
2014-05-13,1,2014,,322,102,1293,1558,0.09,0.09,,1427,42129,2014年01月01日至2014年03月31日,3778,5071,3778,5071,4784,421,85475,141971,56496,56496,51712,924,,,8659,3778,5205,,265.0,,3
2014-08-12,2,2014,,360,159,-1530,-1844,-0.05,-0.05,,-59,49019,2014年第2季,-2299,-3829,-2299,-3829,-2874,516,92297,148870,56573,56573,59447,774,,,9654,-2299,-2358,,-314.0,,3
2014-11-13,3,2014,,240,146,1242,1490,-0.11,-0.11,,-1507,46977,2014年第3季,-4831,-3589,-4831,-3589,-6721,383,81407,131850,50443,50443,57164,758,,,9429,-4831,-6338,,248.0,,3
2015-03-26,4,2014,,836,548,3830,3866,-0.24,-0.24,,-1259,200970,2014年度,-10238,-6408,-10238,-6408,-12870,1373,351240,579208,227968,227968,240838,3374,,748.0,36494,-10238,-11497,,784.0,,11
2015-05-13,1,2015,,484,150,-868,-1045,-0.02,-0.02,-868.0,-337,53643,2015年01月01日至2015年03月31日,-789,-1657,-789,-1657,-1759,633,92583,155212,62629,62629,64388,884,,,9861,-789,-1126,,,-177.0,1
2015-08-13,2,2015,,211,187,-1329,-1602,-0.11,-0.11,-1329.0,-649,58376,2015年第2季,-4488,-5817,-4488,-5817,-5535,398,89140,153466,64326,64326,69861,755,,,10730,-4488,-5137,,,-273.0,0
2015-11-12,3,2015,,834,257,2837,3418,0.01,0.01,2837.0,686,45021,2015年第3季,560,3397,560,3397,156,1090,80055,138166,58111,58111,57955,798,,,12136,560,1246,,,581.0,1
2016-03-24,4,2015,-2060.0,1149,969,-1666,475,-0.2,-0.2,394.0,-127,214368,2015年度,-8293,-9959,-8293,-9959,-10535,2115,348332,597418,249086,249086,259621,3182,-2482.0,,42071,-8293,-8420,-422.0,,81.0,3
2016-05-11,1,2016,,-2321,219,-2419,-2914,-0.01,-0.01,-2419.0,630,41034,2016年01月01日至2016年03月31日,-580,-2999,-580,-2999,2152,-2102,76039,130550,54511,54511,52359,887,,,10438,-580,50,,,-495.0,0
2016-08-11,2,2016,0.0,110,169,198,238,-0.15,-0.15,198.0,-555,54439,2016年第2季,-6168,-5970,-6168,-5970,-7001,278,81533,139643,58110,58110,65111,945,0.0,,9727,-6168,-6723,0.0,,40.0,1
2016-11-10,3,2016,,-909,283,-2354,-2836,-0.13,-0.13,-2354.0,-330,50462,2016年第3季,-5543,-7897,-5543,-7897,-5246,-627,81823,135236,53413,53413,58659,900,,,7297,-5543,-5873,,,-482.0,1
