date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,6943,16400,4396,6943,0.06,0.06,,3146,142940,2013年01月01日至2013年03月31日,19290,26233,18707,25650,2452,19984,962280,1146522,184242,184242,181790,11555,,,,27295,19290,22436,,812,,,583,583
2013-08-08,2,2013,,0.0,-2575,792,12543,-2575,0.22,0.22,,7824,143242,2013年04月01日至2013年06月30日,69060,66485,67756,65181,64417,12467,1319110,1563414,244304,244304,179887,12527,,,,24118,69060,76884,,868,,,1304,1304
2013-11-08,3,2013,,,7775,2611,16201,7775,0.22,,,12706,141920,2013年07月01日至2013年09月30日,66560,74335,63869,71644,61363,17903,1190387,1428946,238559,238559,177196,11515,,0.22,,23761,66560,79266,,909,,,2691,2691
2014-03-19,4,2013,,0.0,18805,20014,44857,18805,0.84,,,40877,558940,2013年01月01日至2013年12月31日,246216,265021,240926,259730,225745,61348,4270770,5194534,923764,923764,698019,47611,,0.84,,91468,246216,287093,,3523,4270770.0,5194534.0,5290,5291
2014-05-07,1,2014,,,-6048,-6520,3490,-6048,0.02,0.02,,617,117170,2014年01月01日至2014年03月31日,6916,868,6222,174,11444,-3911,873016,1038262,165246,165246,153802,11849,,,,24783,6916,7533,,881,,,694,694
2014-08-08,2,2014,,,3427,-1214,7239,3427,0.32,0.32,,16061,128362,2014年第2季,84089,87516,82839,86268,95101,5049,1182488,1443891,261403,261403,166302,12106,,,,25834,84089,100150,,976,,,1250,1248
2014-11-11,3,2014,,,-9153,-25812,12847,-9153,0.31,0.31,,20233,147553,2014年第3季,81912,72759,80498,71345,116048,-13903,1445423,1752573,307150,307150,191102,13325,,,,30224,81912,102145,,938,,,1414,1414
2015-03-25,4,2014,,0.0,-7231,-54084,18584,-7231,0.87,,,50763,512756,2014年度,224765,217534,226402,219325,314836,-39308,4307388,5290251,982863,982863,668027,50933,,0.87,,104338,224765,275528,,3808,4307388.0,5290251.0,-1637,-1791
2015-05-08,1,2015,,,4492,3251,5372,4492,0.03,0.03,4492.0,3582,120251,2015年01月01日至2015年03月31日,8093,12585,7401,11893,4824,6851,917382,1080798,163416,163416,158592,13095,,0.03,0.03,25246,8093,11675,,1772,,,692,692
2015-08-11,2,2015,,,-5822,-13028,10899,-5822,0.42,0.42,-5822.0,23713,134097,2015年第2季,109293,103471,109721,103899,136911,-3905,1324490,1633416,308926,308926,172015,15106,,0.42,0.42,22812,109293,133006,,1776,,,-428,-428
2015-11-11,3,2015,,,-22470,-2463,8981,-22470,0.32,0.32,-22470.0,13688,137981,2015年第3季,82830,60360,81993,59523,91760,4758,1127010,1393906,266896,266896,175136,13890,,0.32,0.32,23265,82830,96518,,1760,,,837,837
2016-03-18,4,2015,-13601.0,,-18034,-13013,21469,-31635,0.99,0.99,-18034.0,52357,539411,2015年度,257877,226242,256086,224451,308845,1389,4222800,5226639,1003839,1003839,694994,55889,-16386.0,0.99,0.99,99694,257877,310234,-2785.0,7067,,,1791,1791
2016-05-10,1,2016,,,7287,-2027,2559,7287,0.27,0.27,7287.0,15353,139119,2016年01月01日至2016年03月31日,71624,78911,70891,78178,88169,-1192,1211831,1484711,272880,272880,184711,13555,,0.27,0.27,32037,71624,86977,,1724,,,733,733
2016-08-10,2,2016,,,1879,-464,3716,1879,0.52,0.52,1879.0,18324,142483,2016年第2季,134842,136721,134110,135989,151587,1579,1288759,1627157,338398,338398,186811,14098,,0.52,0.52,30230,134842,153166,,1673,,,732,732
2016-11-09,3,2016,,,-2091,699,6833,-2091,0.35,0.35,-2091.0,20144,133088,2016年第3季,90410,88319,90522,88431,104629,5925,1025237,1305977,280740,280740,176111,14869,,0.35,0.35,28154,90410,110554,,1607,,,-112,-112
