date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,2085,34385,26606,33021,30936,0.54,0.54,,33066,196151,2013年01月01日至2013年03月31日,114950,147971,114952,147973,101660,46356,6860475,7216942,356467,356467,254807,4467.0,,,0.54,0.54,54189,114950,148016,,,14635,-2.0,-2.0
2013-08-14,2,2013,,65484,62256,7189,80040,14556,0.49,0.49,,26755,192002,2013年04月01日至2013年06月30日,103820,183860,103782,183822,74375,56200,6559659,6900392,340733,340733,266358,4861.0,,,0.48,0.48,69495,103820,130575,,,13245,38.0,38.0
2013-11-12,3,2013,,130154,10703,22080,112706,-17448,0.39,0.39,,13068,216320,2013年07月01日至2013年09月30日,82986,195692,82866,195572,77950,18104,7224764,7581464,356700,356700,278750,5283.0,,,0.39,0.39,57147,82986,96054,,,14679,120.0,120.0
2014-03-24,4,2013,,194779,138617,66644,237606,42242,1.08,1.08,,42119,793601,2013年01月01日至2013年12月31日,229744,467350,229600,467206,126292,145571,28931754,30126801,1195047,1195047,1068755,18907.0,,705.0,1.07,1.07,256247,229744,271863,,120.0,59690,144.0,144.0
2014-05-07,1,2014,,95113,19233,4370,111973,16860,0.45,0.45,,17374,184323,2014年01月01日至2014年03月31日,97116,209089,97107,209080,112755,1735,6590581,6943002,352421,352421,239666,,,,0.45,0.45,55343,97116,114490,,,21868,9.0,9.0
2014-08-13,2,2014,,203331,33289,14234,176914,-26417,0.37,0.37,,2553,202853,2014年第2季,79812,256726,79659,256573,52315,30050,6880762,7207812,327050,327050,274735,,,,0.37,0.37,71882,79812,82365,,,17473,153.0,153.0
2014-11-07,3,2014,,-3511,-5695,29043,24343,27854,0.42,0.42,,14615,237850,2014年第3季,88902,113245,88915,113258,101000,2517,7053610,7448917,395307,395307,294307,,,,0.42,0.42,56457,88902,103517,,,20831,-13.0,-13.0
2015-03-23,4,2014,,296655,68313,61848,364022,69289,1.71,1.71,,49508,839428,2014年度,365042,729064,365042,729064,365472,49078,26462399,27931198,1468799,1468799,1103327,,,-2316.0,1.71,1.71,263899,365042,414550,,-394.0,81083,0.0,0.0
2015-05-11,1,2015,,66283,4851,9455,51677,-14606,0.48,0.48,51677.0,33095,182384,2015年01月01日至2015年03月31日,101917,153594,101917,153594,137860,-2848,4989523,5382345,392822,392822,254962,,,,0.48,0.48,72578,101917,135012,,,17154,0.0,0.0
2015-08-14,2,2015,,279980,-8278,14534,259325,-20655,0.27,0.27,259325.0,5191,190608,2015年第2季,56809,316134,56809,316134,70695,-8695,5890555,6207705,317150,317150,246455,,,,0.27,0.27,55847,56809,62000,,,14951,0.0,0.0
2015-11-12,3,2015,,-55911,-52955,42533,28125,84036,0.41,0.41,28125.0,22331,228560,2015年第3季,87857,115982,87857,115982,139837,-29649,5899736,6338135,438399,438399,298562,,,,0.41,0.41,70002,87857,110188,,,19227,0.0,0.0
2016-03-22,4,2015,-1084.0,96099,-52420,76787,124768,29753,1.58,1.58,125852.0,85105,805531,2015年度,337934,462702,337934,462702,466922,-43883,22103809,23643551,1539742,1539742,1072820,,-1306.0,,1.58,1.58,267289,337934,423039,-222.0,,68250,,
2016-05-11,1,2016,,-32986,31346,8017,-59019,-26033,0.52,0.52,-59019.0,17621,176291,2016年01月01日至2016年03月31日,112006,52987,112006,52987,106803,22824,4859586,5219799,360213,360213,253410,,,,0.52,0.52,77119,112006,129627,,,16539,,
2016-08-11,2,2016,,-89163,-13093,12975,-98521,-9358,0.23,0.23,-98521.0,19151,181408,2016年第2季,49265,-49256,49265,-49256,81245,-12829,5171277,5484632,313355,313355,232110,,,,0.23,0.23,50702,49265,68416,,,12711,,
2016-11-10,3,2016,,-38207,-6449,42721,-89864,-51657,0.28,0.28,-89864.0,12104,186317,2016年第3季,59449,-30415,59449,-30415,52561,18992,5587511,5884204,296693,296693,244132,,,,0.28,0.28,57815,59449,71553,,,17280,,
