date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-482,-13356,18928,13433,13915,3.33,3.33,,55310,54539,2013年01月01日至2013年03月31日,315791,329224,322097,335307,371460,-359,844177,1448158,603981,603981,232521,,,3.33,3.33,177982,315791,371101,,,5931,-6306,-6083
2013-08-07,2,2013,,-643,7124,6873,-17190,-16547,2.52,2.52,,56267,52803,2013年04月01日至2013年06月30日,236340,219150,243167,225861,284930,7677,838071,1369730,531659,531659,246729,,,2.52,2.52,193926,236340,292607,,,6320,-6827,-6711
2013-11-07,3,2013,,-321,1730,30690,-30505,-30184,2.04,2.04,,51638,59319,2013年07月01日至2013年09月30日,216047,185542,216420,185973,245685,22000,851532,1334861,483329,483329,237644,,,2.02,2.02,178325,216047,267685,,,10420,-373,-431
2014-03-17,4,2013,,-1688,15187,139150,-56274,-55039,10.66,10.66,,234857,245846,2013年01月01日至2013年12月31日,1121433,1065159,1133238,1078101,1233691,122599,3507390,5735580,2228190,2228190,994499,,476.0,10.57,10.57,748653,1121433,1356290,,23.0,31738,-11805,-12942
2014-05-07,1,2014,,-1446,-1506,20448,54094,55540,2.79,2.79,,63558,56744,2014年01月01日至2014年03月31日,296152,350246,296720,350822,350082,9628,901552,1496614,595062,595062,244980,,,2.74,2.74,188236,296152,359710,,,9314,-568,-576
2014-07-31,2,2014,,321,-3052,5179,-31037,-31358,2.1,2.1,,60604,57674,2014年第2季,228082,197045,223452,192466,296175,-7489,1002445,1529162,526717,526717,230542,,,2.07,2.07,172868,228082,288686,,,9616,4630,4579
2014-11-05,3,2014,,-80,-3668,5043,15856,15936,1.91,1.91,,53585,60283,2014年第3季,226952,242808,222829,238627,287474,-6937,997812,1553823,556011,556011,268537,,,1.89,1.89,208254,226952,280537,,,8312,4123,4181
2015-03-25,4,2014,,5706,-5606,96572,88264,88875,9.6,9.6,,234827,236138,2014年度,1137894,1226158,1122816,1211281,1323092,49629,3944457,6332393,2387936,2387936,1064844,,-6372.0,9.44,9.44,828706,1137894,1372721,,-55.0,41337,15078,14877
2015-04-29,1,2015,,-2739,-29198,11287,2405,5144,2.56,2.56,2405.0,62401,54259,2015年01月01日至2015年03月31日,301200,303605,299282,301702,391173,-27572,1076634,1734080,657446,657446,266273,,,2.51,2.51,212014,301200,363601,,,9661,1918,1903
2015-08-06,2,2015,0.0,0,-3743,7679,-46791,-46791,2.46,2.46,-46791.0,59023,53048,2015年第2季,292929,246138,287229,240450,357656,-5704,1038632,1638984,600352,600352,242696,0.0,,2.41,2.41,189648,292929,351952,0.0,,9640,5700,5688
2015-11-06,3,2015,0.0,0,-19490,5683,137757,137757,1.68,1.68,137757.0,42841,55804,2015年第3季,222216,359973,213052,350830,289373,-24316,991701,1546089,554388,554388,265015,0.0,,1.66,1.66,209211,222216,265057,0.0,,10509,9164,9143
2016-03-23,4,2015,-9115.0,-2739,-49963,48815,87891,99745,8.96,8.96,97006.0,174110,222017,2015年度,1183670,1271561,1135062,1222715,1389471,-31691,4240119,6675694,2435575,2435575,1046104,-9568.0,,8.78,8.78,824087,1183670,1357780,-453.0,,30543,48608,48846
2016-05-12,1,2016,0.0,0,-3566,4246,-18371,-18371,2.02,2.02,-18371.0,57431,54357,2016年01月01日至2016年03月31日,252509,234138,255993,237589,316738,-6798,1146884,1724561,577677,577677,260939,0.0,,1.98,1.98,206582,252509,309940,0.0,,7478,-3484,-3451
2016-08-11,2,2016,0.0,0,-29696,3127,60138,60138,1.55,1.55,60138.0,45206,53895,2016年第2季,200971,261109,196704,256782,283303,-37126,1092619,1630479,537860,537860,254557,0.0,,1.53,1.53,200662,200971,246177,0.0,,10557,4267,4327
2016-11-09,3,2016,0.0,0,-50675,3180,-51529,-51529,1.55,1.55,-51529.0,41183,55539,2016年第3季,203061,151532,196467,144862,298528,-54284,1093578,1656340,562762,562762,264234,0.0,,1.5,1.5,208695,203061,244244,0.0,,6789,6594,6670
