date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,-267500,190636,37846,,0.0,0.0,-40917.0,-47330,218725,209446,261087,0.13,0.13,,-25835,,526,,8876,2013年01月01日至2013年03月31日,59637,12307,82329,28882,,,-149811,183613,786094,741189,-44905,-44905,104906,,,47862,91595,0.13,0.13,96030,59637,33802,,,45395,519507,440148,-22692,-16575
2013-08-14,2,2013,,-591730,-64130,142843,,0.0,0.0,-14381.0,-509233,247554,249631,96878,-0.05,-0.05,,-3310,,-2099,,11403,2013年04月01日至2013年06月30日,-45095,-554328,-33186,-537402,,,-79501,31096,1034363,1051146,16783,16783,96284,,,52611,95089,-0.05,-0.05,84881,-45095,-48405,,,45518,734198,706426,-11909,-16926
2013-11-12,3,2013,,1589534,129177,232074,,0.0,0.0,16151.0,1504967,238264,241873,-100718,0.29,0.29,,23287,,-20,,12219,2013年07月01日至2013年09月30日,178440,1683407,187936,1637719,,,-119874,321601,956710,945725,-10985,-10985,108889,,,65919,99114,0.29,0.29,96670,178440,201727,,,39630,652527,604738,-9496,45688
2014-03-26,4,2013,,3562008,604890,488267,654569.0,0.0,0.0,-79472.0,3889029,924090,975713,395422,1.97,1.97,,48877,5466.0,956,,46056,2013年01月01日至2013年12月31日,1289927,5178956,1272068,4994028,133100.0,218346.0,416023,922781,4033360,4268305,234945,234945,473491,,5605.0,204637,355357,1.97,1.97,427435,1289927,1338804,,,171332,2771533,2718889,17859,184928
2014-05-06,1,2014,,331277,23990,28221,,,,-38065.0,530985,232260,236060,237773,-0.06,-0.06,,-7585,,-7882,,9622,2014年01月01日至2014年03月31日,-34204,496781,-39384,469716,13003.0,21636.0,-42587,798,961066,1019429,58363,58363,100950,,,51588,92300,-0.06,-0.06,91328,-34204,-41789,,,43531,664215,669433,5180,27065
2014-08-13,2,2014,,-1708649,-143516,334821,,,,39439.0,-1908583,236984,281772,-239373,0.06,0.06,,26516,,-2100,,7604,2014年第2季,45792,-1862791,35662,-1806340,0.0,0.0,-73359,145667,816776,890073,73297,73297,146656,,,53373,94354,0.06,0.06,139052,45792,72308,,,43538,526419,513947,10130,-56451
2014-11-13,3,2014,,-80371,63195,271941,,,,-24274.0,44348,228805,252710,148993,0.24,0.24,,12564,,-232,,12267,2014年第3季,179848,224196,153838,195830,0.0,0.0,-91135,283547,886856,908502,21646,21646,112781,,,53188,103624,0.24,0.24,100514,179848,192412,,,51357,604863,552168,26010,28366
2015-03-25,4,2014,,-1515104,-248417,727550,0.0,,,-128336.0,-1045280,923088,1025600,610930,0.03,0.03,,-44487,-4579.0,-17916,,45915,2014年度,53788,-991492,16343,-988148,13003.0,21636.0,-258849,268150,3718300,3937686,219386,219386,478235,,-8191.0,212599,397504,0.03,0.03,432320,53788,9301,,,193067,2569610,2492946,37445,-3344
2015-05-06,1,2015,,-247954,-2986,36706,,,,,-450076,158683,164009,-242379,-0.29,-0.29,-450076.0,-26257,,-5220,,17640,2015年01月01日至2015年03月31日,-183290,-633366,-187780,-622310,0.0,0.0,-185767,-23780,747020,671355,-75665,-75665,110102,,,51743,109133,-0.29,-0.29,92462,-183290,-209547,,-40257.0,52280,536594,398213,4490,-11056
2015-08-12,2,2015,,-1207176,-11575,341477,39907.0,,,,-1261037,156702,171175,-64441,0.17,0.17,-1261037.0,84254,,-9849,,12189,2015年第2季,115684,-1145353,108282,-1101107,0.0,0.0,-68386,268324,745119,737435,-7684,-7684,100609,,,54640,110376,0.17,0.17,88420,115684,199938,,-10580.0,51729,533777,455884,7402,-44246
