date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-1285,44744,,0.2,,0.0,-2940,0,931650,2013年01月01日至2013年03月31日,0.0,661563,661563,661563,661563,620834,37789,3440967,5461381,2020414,2020414,1399580,,,0.2,,467930,661563,658623,,,5670,3440967.0,5461381.0,,
2013-08-09,2,2013,,,-249897,299740,,0.19,,0.0,3024,0,862918,2013年04月01日至2013年06月30日,0.0,608476,608476,608476,608476,561764,49736,3517427,5275416,1757989,1757989,1196225,,,0.19,,333307,608476,611500,,,107,3517427.0,5275416.0,,
2013-11-08,3,2013,,,-16415,25218,,0.11,,0.0,5097,0,941445,2013年07月01日至2013年09月30日,0.0,367842,367842,367842,367842,364139,8800,3225189,4894156,1668967,1668967,1304828,,,0.11,,363383,367842,372939,,,3,3225189.0,4894156.0,,
2014-03-14,4,2013,,0.0,-412298,405014,1933.0,0.56,,,12686,0,3656342,2013年01月01日至2013年12月31日,,1842776,1844709,1842776,1844709,1868626,-13164,13152463,20125362,6972899,6972899,5104273,,2329.0,0.56,,1447931,1842776,1855462,,396.0,5880,,,,
2014-05-09,1,2014,,,-6145,57854,,0.1,,,60025,-2770,772314,2014年01月01日至2014年03月31日,,317827,317827,317827,317827,328915,48937,2716660,4173034,1456374,1456374,1127459,,,0.1,,355145,317827,377852,,,2,,,,
2014-08-08,2,2014,,,-7698,23836,,0.02,,,12709,-2159,890559,2014年第2季,,69644,69644,69644,69644,68375,13978,2834032,4157244,1323212,1323212,1254837,,,0.02,,364278,69644,82353,,,1,,,,
2014-11-07,3,2014,,,-10614,44063,,0.01,,,-6143,-2340,750472,2014年第3季,,40468,40468,40468,40468,3217,31108,2893024,4032683,1139659,1139659,1136442,,,0.01,,385970,40468,34325,,,1,,,,
2015-05-07,1,2015,,,-12655,46525,,-0.08,-0.08,,-70057,-2384,901286,2015年01月01日至2015年03月31日,,-324249,-324249,-324249,-324249,-425791,31485,2997159,3776975,779816,779816,1205607,,,-0.08,-0.08,304321,-324249,-394306,,,1,,,,
2015-08-04,2,2015,,,-12939,44121,,-0.2,-0.2,,-163657,-2080,1094933,2015年第2季,,-799352,-799352,-792874,-792874,-992108,29099,3425486,3840770,415284,415284,1407392,,,-0.2,-0.2,312459,-799352,-963009,,,3,,,-6478.0,-6478.0
2015-11-05,3,2015,,,-4031,48947,,-0.24,-0.24,,-190585,-2097,1009466,2015年第3季,,-908763,-908763,-913857,-913857,-1142166,42818,3367728,3533545,165817,165817,1307983,,,-0.24,-0.24,298517,-908763,-1099348,,,1,,,5094.0,5094.0
2016-03-17,4,2015,-24953.0,,-239955,2514044,-24953.0,-0.41,-0.41,,-173988,-7129,4081081,2015年度,,-1600913,-1625866,-1600935,-1625888,-4041854,2266953,13555135,14848518,1293383,1293383,5335237,-30064.0,,-0.41,-0.41,1254156,-1600913,-1774901,-5111.0,,7,,,22.0,22.0
2016-05-10,1,2016,,,-237245,906945,,-0.20,-0.20,,-172910,-2326,1149437,2016年01月01日至2016年03月31日,,-862287,-862287,-861198,-861198,-1702570,667373,3546829,3348954,-197875,-197875,1504695,,,-0.20,-0.20,355258,-862287,-1035197,,,1,,,-1089,-1089
2016-08-11,2,2016,,,-4344,59057,,-0.34,-0.34,,-314196,-2601,1179841,2016年第2季,,-1442560,-1442560,-1444658,-1444658,-1808865,52109,3721569,3474761,-246808,-246808,1562057,,,-0.34,-0.34,382216,-1442560,-1756756,,,3,,,2098.0,2098.0
2016-11-10,3,2016,,,-2916,49414,,-0.31,-0.31,,-277487,-3007,1212456,2016年第3季,,-1345869,-1345869,-1349809,-1349809,-1666845,43489,3522364,3425561,-96803,-96803,1570042,,,-0.31,-0.31,357586,-1345869,-1623356,,,2,,,3940.0,3940.0
