date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,24586,15463,64402,87436,-0.30,,,-437,170187,2013年01月01日至2013年03月31日,,-88109,-23707,-86890,-22488,-99777,11231,2232401,2420881,188480,188480,288257,,30166,,,-0.30,,87904,-88109,-88546,14427,,-8607,28818,,-1219,-1219
2013-08-13,2,2013,,2274,40739,44808,53986,-0.1,,,437,175702,2013年04月01日至2013年06月30日,,-28636,16172,-28612,16196,-42587,14388,2177385,2437594,260209,260209,302796,,33920,,,-0.1,,93174,-28636,-28199,9178.0,,0.0,28625,,-24,-24
2013-11-07,3,2013,,-29895,64829,-29265,-35259,-0.12,,,0,179834,2013年07月01日至2013年09月30日,,-35272,-64537,-34008,-63273,-45257,9985,2390356,2682688,292332,292332,337589,,42077,,,-0.12,,115678,-35272,-35272,-5994.0,,0.0,24949,,-1264,-1264
2014-03-26,4,2013,,10241,149114,147804,169662,-0.9,,,0,700283,2013年01月01日至2013年12月31日,,-258140,-110336,-255383,-107579,-312519,54379,9182872,10140523,957651,957651,1270170,,149505,,15155.0,-0.9,,420382,-258140,-258140,28406.0,,-8607.0,104976,,-2757,-2757
2014-05-07,1,2014,,28336,9301,-24016,-28935,0.12,,,7415,162559,2014年01月01日至2014年03月31日,,33398,9382,34769,10753,24849,15964,2042646,2385043,342397,342397,317548,7415.0,63272,,,0.12,,91717,33398,40813,-4919.0,,0.0,21673,,-1371,-1371
2014-08-12,2,2014,,-25054,6005,-48428,-58347,0.35,0.35,,24904,183499,2014年第2季,,98947,50519,100236,51808,160827,-36976,2273273,2772361,499088,499088,338261,,58985,,,,,95777,98947,123851,-9919.0,,0.0,17927,,-1289,-1289
2014-11-10,3,2014,,5457,13412,84399,101686,0.33,0.33,,19630,191229,2014年第3季,,95466,179865,95290,179689,112808,2288,2347860,2814564,466704,466704,353896,,55021,,,0.33,0.33,107646,95466,115096,17287.0,,0.0,16581,2814564.0,176,176
2015-03-03,4,2014,,41328,38739,155705,181885,0.85,,,55430,756661,2014年度,,239200,394905,243927,399632,286222,8408,9038710,10755314,1716604,1716604,1430382,,271389,,4741.0,0.85,,402332,239200,294630,30921.0,,0.0,71659,,-4727,-4727
2015-05-12,1,2015,,4609,23294,-55161,-66459,-0.21,,-55161.0,0,177545,2015年01月01日至2015年03月31日,0.0,-59406,-114567,-59477,-114638,-72804,13398,2249046,2530068,281022,281022,353826,,88530,,,-0.21,,87751,-59406,-59406,,-11298.0,,14505,,71,71
2015-08-10,2,2015,,-14102,5396,-31440,-37880,-0.3,-0.3,-31440.0,0,192782,2015年第2季,,-84973,-116413,-85696,-117136,-62753,-22220,2258733,2598318,339585,339585,402338,,113974,,,,,95582,-84973,-84973,,-6440.0,,13514,,723,723
2015-10-30,3,2015,,48036,13323,85404,102896,0.17,0.17,85404.0,0,222207,2015年第3季,,51751,137155,49517,134921,4906,46845,2523600,2952045,428445,428445,423539,,102093,,,0.17,0.17,99239,51751,51751,,17492.0,0.0,14514,2952045.0,2234,2234
2016-02-25,4,2015,-5193.0,31354,91734,-81314,-91713,-0.33,,-76121.0,1,826695,2015年度,,-92971,-174285,-93866,-175180,-160129,67159,9705359,11150214,1444855,1444855,1604984,,409578,-5193.0,,-0.33,,368711,-92971,-92970,,-15592.0,,55929,,895,895
2016-04-28,1,2016,,-8831,15438,-52086,-62754,0.01,,-52086.0,0,116840,2016年01月01日至2016年03月31日,0.0,5608,-46478,3480,-48606,10584,-4976,2477412,2768738,291326,291326,280742,,56248,,,0.01,,107654,5608,5608,,-10668.0,,11583,,2128,2128
2016-07-29,2,2016,,-1531,27100,-81079,-97685,0.02,,-81079.0,38107,179278,2016年第2季,,6748,-74331,6748,-74331,28499,16356,2640840,2963090,322250,322250,293751,,8184,,,0.02,,106289,6748,44855,,-16606.0,,9213,,0,0
2016-10-27,3,2016,,-18216,17515,-125549,-151264,-0.15,-0.15,-125549.0,832,166573,2016年第3季,,-42966,-168515,-42966,-168515,-31255,-10879,2762317,3044225,281908,281908,313163,,26244,,,-0.15,-0.15,120346,-42966,-42134,,-25715.0,,10178,3044225.0,0,0
