date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,23743,6185,38984,,46963.0,0.45,,21733,59006,2013年01月01日至2013年03月31日,96676,135660,80897,119881,103666,14743,1843255,2110056,266801,266801,163135,42168,,,,61961,96676,118409,,7979.0,,15185,1843255,2110056.0,15779,15779
2013-08-13,2,2013,,,15751,8625,27942,,33665.0,0.72,,44313,62997,2013年04月01日至2013年06月30日,153198,181140,130792,158734,189684,7827,2113760,2493427,379667,379667,189983,52757,,,0.72,74229,153198,197511,,5723.0,,16549,2113760,,22406,22406
2013-11-12,3,2013,,,-3490,11249,-13223,,-15931.0,0.87,,43755,65999,2013年07月01日至2013年09月30日,176684,163461,156410,143187,227142,-6703,1922264,2329856,407592,407592,180450,53359,,,0.87,61092,176684,220439,,-2708.0,,14462,1922264,,20274,20274
2014-03-18,4,2013,,,50671,35123,76472,,92405.0,2.69,,139521,252230,2013年01月01日至2013年12月31日,550827,627299,484244,560689,663292,27056,7688721,9058548,1369827,1369827,706535,203917,,-275.0,2.69,250388,550827,690348,,15658.0,,58738,7688721,,66583,66610
2014-05-13,1,2014,,,24221,3470,18805,,22657.0,0.73,,31747,63129,2014年01月01日至2014年03月31日,142745,161550,131479,150284,159390,15102,1899152,2243114,343962,343962,184572,50520,,,,70923,142745,174492,,3852.0,,12589,1899152,2243114.0,11266,11266
2014-08-12,2,2014,,,-14132,4632,-29303,,-35305.0,0.84,,64121,69112,2014年第2季,173258,143955,152170,122867,259354,-21975,2037859,2492176,454317,454317,194963,58840,,,0.84,67011,173258,237379,,-6002.0,,12475,2037859,,21088,21088
2014-11-12,3,2014,,,20081,5814,27370,,32976.0,1.26,,58062,69397,2014年第3季,246501,273871,225998,253368,290889,13674,2151474,2652070,500596,500596,209707,60157,,,1.26,80153,246501,304563,,5606.0,,12221,2151474,,20503,20503
2015-03-18,4,2014,,,83505,19329,86887,,104083.0,3.95,,207846,286649,2014年度,780861,867748,711747,798296,935360,53347,8050347,9797857,1747510,1747510,812150,237170,,600.0,3.94,288331,780861,988707,,17796.0,,49487,8050347,,69114,69452
2015-05-08,1,2015,-28466.0,-28466.0,3974,3206,-23627,,,0.81,4839.0,35376,62499,2015年01月01日至2015年03月31日,155993,132366,148104,124477,195580,-4211,1824856,2218803,393947,393947,198367,60751,,,,75117,155993,191369,,,-4839.0,11391,1824856,2218803.0,7889,7889
2015-08-11,2,2015,-17950.0,-17950.0,-13383,5370,-14898,,,0.66,3052.0,72340,67884,2015年第2季,137868,122970,120977,106079,230578,-20370,1932318,2353218,420900,420900,190322,50070,,,0.66,72368,137868,210208,,,-3052.0,12357,1932318,,16891,16891
2015-11-10,3,2015,45113.0,45113.0,67335,6734,37444,,,1.09,-7669.0,34497,62321,2015年第3季,215222,252666,198886,236330,188131,61588,1788804,2155871,367067,367067,178936,48086,,,1.09,68529,215222,249719,,,7669.0,12481,1788804,,16336,16336
2016-03-22,4,2015,,-16245.0,63160,19196,-52329,,-43475.0,3.16,-36084.0,161690,261794,2015年度,630281,577952,574805,523158,758962,33009,7294975,8793202,1498227,1498227,739265,208066,-19573.0,,3.15,269405,630281,791971,-3328.0,,-7391.0,49347,7294975,,55476,54794
2016-05-11,1,2016,,,-3822,7011,-23320,,-28096.0,0.85,-23320.0,39003,64352,2016年01月01日至2016年03月31日,167187,143867,154540,131220,213565,-7375,1661587,2061215,399628,399628,186063,49983,,,0.85,71728,167187,206190,,,-4776.0,10564,1661587,2061215.0,12647,12647
2016-08-09,2,2016,-43656.0,-43656.0,-5823,1214,-36234,,,0.98,7422.0,65574,66799,2016年第2季,196704,160470,178162,141928,277095,-14817,1731230,2194508,463278,463278,186183,47605,,,0.98,71779,196704,262278,,,-7422.0,10208,1731230,,18542,18542
2016-11-08,3,2016,,,-64664,20775,-55311,-66639.0,,1.05,-55311.0,41598,70561,2016年第3季,215659,160348,191823,136512,310791,-53534,1800076,2305901,505825,505825,195034,50649,,,1.05,73824,215659,257257,,,-11328.0,9645,1800076,,23836,23836
