date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,119775,85888,19362,119724,-51.0,0.61,0.61,,4367,,,1299,,47909,2013年01月01日至2013年03月31日,155029,274753,155908,275632,52918,106478,1248459,1517987,269528,269528,216610,115768,,,0.6,0.6,52933,155029,159396,71,-879,-879
2013-08-12,2,2013,,64132,128778,12531,64154,22.0,1.02,1.02,,11299,,,13415,,54982,2013年04月01日至2013年06月30日,258895,323049,259992,324146,115794,154400,1283564,1644158,360594,360594,244800,138306,,,0.99,0.99,51512,258895,270194,324,-1097,-1097
2013-11-11,3,2013,,-82760,-18466,27989,-82817,-57.0,0.55,0.55,,16399,,,801,,55394,2013年07月01日至2013年09月30日,145467,62650,140846,58029,151732,10134,1370878,1767181,396303,396303,244571,135662,,,0.53,0.53,53515,145467,161866,190,4621,4621
2014-03-28,4,2013,,86316,245548,63804,86228,,2.62,2.62,,51248,,-88.0,-5057,,216673,2013年01月01日至2013年12月31日,671848,758076,670151,756379,419595,303501,5392909,6802908,1409999,1409999,990404,564667,,0.0,2.51,2.51,209064,671848,723096,794,1697,1697
2014-05-13,1,2014,,-13520,91135,11992,-13393,,1.0,1.0,,35339,,127.0,-1135,,54792,2014年01月01日至2014年03月31日,254352,240959,256436,243043,187864,101827,1580044,2020015,439971,439971,252107,141407,,,0.95,0.95,55908,254352,289691,165,-2084,-2084
2014-08-12,2,2014,,-46521,33737,14711,-46667,0.0,0.92,0.92,,62926,,-146.0,-5753,,53942,2014年第2季,233229,186562,236552,189885,253636,42519,1871141,2412306,541165,541165,287529,177124,,,0.87,0.87,56463,233229,296155,176,-3323,-3323
2014-11-11,3,2014,,-51342,87413,52153,-51203,0.0,1.23,1.23,,33385,,139.0,-3502,,66631,2014年第3季,330300,279097,315992,264789,228013,135672,2228509,2793344,564835,564835,336822,206406,,0.0,1.18,1.18,63785,330300,363685,392,14308,14308
2015-03-30,4,2014,,-116902,315165,91330,-116112,,4.34,4.34,,191047,,790.0,-12116,,242969,2014年度,1131123,1015011,1123829,1007717,928892,393278,7666278,9793761,2127483,2127483,1198591,716526,,,4.16,4.16,239096,1131123,1322170,1101,7294,7294
2015-05-11,1,2015,,77037,-29185,14777,76967,,0.87,0.87,76967.0,19110,,,5227,-70.0,58857,2015年01月01日至2015年03月31日,223847,300814,229702,306669,252379,-9422,1754308,2306687,552379,552379,300000,185248,,,0.83,0.83,55895,223847,242957,241,-5855,-5855
2015-08-10,2,2015,,253557,-29968,11887,253528,,0.15,0.15,253528.0,24427,,,17691,-29.0,53907,2015年第2季,34582,288110,40019,293547,59928,-919,1911656,2217530,305874,305874,245946,143461,,,0.15,0.15,48578,34582,59009,529,-5437,-5437
2015-11-10,3,2015,,-134908,88262,50231,-134048,,0.59,0.59,-134048.0,-26357,,,6567,860.0,62612,2015年第3季,170088,36040,156786,22738,-819,144550,2044083,2328359,284276,284276,285095,165386,,,0.59,0.59,57097,170088,143731,510,13302,13302
2016-03-11,4,2015,-5266.0,342905,34996,86451,338032,,1.85,1.85,343298.0,4328,-451.0,,25512,393.0,235743,2015年度,484981,823013,490506,828538,344324,144985,7822422,9266149,1443727,1443727,1099403,658305,-4815.0,,1.81,1.81,205355,484981,489309,1974,-5525,-5525
2016-05-09,1,2016,,-9083,57058,9412,-9151,,0.53,0.53,-9151.0,12670,,,2080,-68.0,56351,2016年01月01日至2016年03月31日,134273,125122,142639,133488,78735,68208,1702251,2051215,348964,348964,270229,163680,,,0.53,0.53,50198,134273,146943,342,-8366,-8366
2016-08-10,2,2016,-166.0,-164698,141877,8267,-164835,,0.58,0.58,-164669.0,36416,-166.0,,683,29.0,55110,2016年第2季,152369,-12466,157487,-7348,38205,150580,1767830,2076288,308458,308458,270253,159544,,,0.58,0.58,55599,152369,188785,247,-5118,-5118
2016-11-10,3,2016,0.0,-78848,20818,28935,-78848,,0.3,0.3,-78848.0,45910,0.0,,10894,0.0,62325,2016年第3季,85720,6872,81742,2894,71448,60182,2112530,2454106,341576,341576,270128,157586,,,0.29,0.29,50217,85720,131630,465,3978,3978
