date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-09-27,2,2013,,,-81,5548,4372,4372,-10570,50971,62133,1.59,1.59,0,,51763,,,31072,2013年01月01日至2013年06月30日,0,103661,154632,,103661,154632,150339,5085,861521,1165768,304247,304247,153908,6270,,-511,1.59,1.59,116566,103661,155424,,,4835,,470,1168085,1165768,1847,0,0
2014-03-28,4,2013,,,1189,12923,6604,6604,-12548,61603,73280,2.80,,,,95371,,,66402,2013年01月01日至2013年12月31日,,191025,252628,,191025,252628,273424,12972,1785648,2381783,596135,596135,322711,13305,,-318,,,243004,191025,286396,,,6555,,19297,2425204,2381783,24124,,
2014-08-04,2,2014,,,-3288,10241,2184,2184,2710,-16512,-15940,2.28,2.28,,,86178,,,37846,2014年上半年度,,170879,154367,,170879,154367,248372,8685,962771,1356190,393419,393419,145047,6539,,6,2.28,2.28,100662,170879,257057,,,3740,,14495,1379413,1356190,8728,,
2015-03-27,4,2014,,,-12476,27810,5968,5968,-16818,69757,98930,4.27,4.27,,,127883,,,84444,2014年度,,319887,389644,,319887,389644,421956,25814,2078434,2794909,716475,716475,294519,19166,,121,4.25,4.25,190909,319887,447770,,,7964,,28444,2854461,2794909,31108,,
2015-05-13,1,2015,0,0,0,-16558,11669,11669,,-23857,-23857,0.65,0.65,,-23857,18615,0,0,21681,2015年01月01日至2015年03月31日,,48991,25134,0,48991,25134,74931,-7325,622945,770738,147793,147793,72862,4804,0,,0.65,0.65,46377,48991,67606,0,0,2436,0,9315,788143,770738,8090,,
2015-11-12,3,2015,,0,189,-596,2229,2229,,29511,29322,1.08,1.08,,29511,14507,,,18457,2015年第3季,,85908,115419,,85908,115419,101890,-1475,549191,720238,171047,171047,69157,7582,0,,1.07,1.07,43118,85908,100415,,,3108,,3524,733793,720238,10031,,
2016-03-26,4,2015,,-1315,360,-40901,27057,27057,,-47589,-46634,3.74,3.74,,-46274,86522,,,77351,2015年度,,291548,243959,,291548,243959,403547,-25477,2364927,3066201,701274,701274,297727,34178,-1315,,3.72,3.72,186198,291548,378070,,,11633,,25014,3132990,3066201,41775,,
2016-05-09,1,2016,,,19,-11584,8392,8392,,-23503,-23522,1.27,1.27,,-23503,49741,,,21797,2016年01月01日至2016年03月31日,,103805,80302,,103805,80302,160146,-6600,601123,844662,243539,243539,83393,10603,,,1.26,1.26,50993,103805,153546,,,3408,,9575,859681,844662,5444,,
2016-08-12,2,2016,,,-76,-21251,2527,2527,,-42870,-42794,1.38,1.38,,-42870,47821,,,20525,2016年第2季,,112970,70100,,112970,70100,183618,-22827,614823,879974,265151,265151,81533,16805,,,1.38,1.38,44203,112970,160791,,,4103,,5742,889565,879974,3849,,
2016-11-14,3,2016,,,-146,-28619,2091,2091,,-59027,-58881,1.25,1.25,,-59027,39477,,,18064,2016年第3季,,102697,43670,,102697,43670,173376,-31202,632490,870632,238142,238142,64766,20740,,,1.25,1.25,25962,102697,142174,,,4674,,6080,882105,870632,5393,,
