date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,643,859,859.0,25640,25640,0.8,0.8,,7979,,,,10267,2013年01月01日至2013年03月31日,26340,51980,,26340,51980,33118,1201,330036,420642,90606,90606,57488,10668,,0.8,0.8,36553,26340,34319,,,301,,330036.0,420650,420642,8,0.0,0.0
2013-08-12,2,2013,,,214,997,,12070,12070,0.68,0.68,,11158,,,,10716,2013年04月01日至2013年06月30日,22260,34330,,22260,34330,32734,684,359994,459201,99207,99207,66473,13031,,0.68,0.68,42726,22260,33418,,,527,,,459201,459201,0,,
2013-11-11,3,2013,,,-7136,3365,,-9740,-9740,1.81,1.81,,6725,,,1899.0,11643,2013年07月01日至2013年09月30日,59376,49636,,59376,49636,69056,-2955,494019,639526,145507,145507,76451,16219,,1.8,1.8,48589,59376,66101,,,1083,,,639527,639526,1,,
2014-03-28,4,2013,,,-12123,9764,,43283,43283,4.0,4.0,,37818,,,3523.0,49607,2013年01月01日至2013年12月31日,131234,174517,,131234,174517,171669,-2617,1643440,2114891,471451,471451,299782,56916,,3.99,3.99,193259,131234,169052,,,3781,,,2114975,2114891,84,,
2014-05-13,1,2014,,,613,2272,2272.0,-3304,-3304,0.87,0.87,,3453,,,-340.0,17435,2014年01月01日至2014年03月31日,28535,25231,,28535,25231,31299,689,495238,616858,121620,121620,90321,16586,,0.87,0.87,56300,28535,31988,,,1856,,495238.0,616962,616858,104,0.0,0.0
2014-08-12,2,2014,,,2787,1546,,-17984,-17984,1.62,1.62,,17916,,,-382,11930,2014年第2季,53172,35188,,53172,35188,73932,-2844,533655,689635,155980,155980,82048,14453,,1.62,1.62,55665,53172,71088,,,6795,,,689920,689635,285,,
2015-03-18,4,2014,,,-41619,13208,,41265,41265,6.73,6.73,,70949,,,1367.0,90523,2014年度,221406,262671,,221406,262671,343068,-50713,2349800,3068330,718530,718530,375462,59512,,6.29,6.29,225427,221406,292355,,,23669,,,3069098,3068330,768,,
2015-05-14,1,2015,0.0,0.0,-15198,1908,1908.0,-10943,-10943,1.54,1.54,-10943.0,19328,0.0,0.0,2285.0,32257,2015年01月01日至2015年03月31日,51711,40768,0.0,51711,40768,89292,-18253,607545,812701,205156,205156,115864,23404,0.0,1.44,1.44,60203,51711,71039,0.0,0.0,7248,0.0,607545.0,814093,812701,1392,0.0,0.0
2015-08-11,2,2015,,,-26091,1948,,-18094,-18094,0.23,0.23,-18094.0,9273,,,-2619.0,18786,2015年第2季,8891,-9203,,8891,-9203,49095,-30931,399930,541137,141207,141207,92112,21568,,0.23,0.23,51758,8891,18164,,,4169,,,542776,541137,1639,,
2015-11-11,3,2015,,0.0,23163,2026,,54624,54624,2.06,2.06,54624.0,15237,,,-1120.0,21982,2015年第3季,81734,136358,,81734,136358,74106,22865,544444,732736,188292,188292,114186,28071,,2.06,2.06,64133,81734,96971,0.0,,1204,,,734323,732736,1587,,
2016-03-24,4,2015,-20918.0,-20918.0,-40251,19559,,-17535,3383,5.19,5.19,3383.0,59098,,,-5515.0,89993,2015年度,202316,184781,,196320,178462,301927,-40513,2203625,2927364,723739,723739,421812,103471,,5.18,5.18,228348,202316,261414,,,14306,,,2932861,2927364,5497,5996.0,6319.0
2016-05-13,1,2016,-16851.0,-16851.0,12380,6369,6369.0,-13524,3327,-1.29,-1.29,3327.0,109018,,,-458.0,17416,2016年01月01日至2016年03月31日,-46221,-59745,,-51134,-64653,47965,14832,488770,632428,143658,143658,95693,23900,,-1.29,-1.29,54377,-46221,62797,,,3459,,488770.0,635203,632428,2775,4913.0,4908.0
2016-08-12,2,2016,-20542.0,-20542.0,-20838,3257,,-15671,4871,1.13,1.13,4871.0,25338,,,-559.0,18496,2016年第2季,54993,39322,,44723,30646,100713,-20382,622006,820586,198580,198580,97867,20672,,1.13,1.13,58699,54993,80331,,,2242,,,826943,820586,6357,10270.0,8676.0
2016-11-10,3,2016,-46490.0,-46490.0,-3490,2561,,-43713,2777,1.53,1.53,2777.0,17298,,,-724.0,19784,2016年第3季,68959,25246,,60376,18811,90787,-4530,639516,842458,202942,202942,112155,27298,,1.53,1.53,65073,68959,86257,,,2877,,,845058,842458,2600,8583.0,6435.0
