date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,19183,3471,-11745,-13580,0.15,,,9456,,,962,,32283,2013年01月01日至2013年03月31日,,22683,10938,,23105,12261,13078,19061,447584,546818,99234,99234,86156,12093,,,0.15,41780,22683,32139,,-1835.0,,4555,,-422,-1323
2013-08-09,2,2013,,6328,3607,-8542,-9721,0.28,-1080.0,,13135,,,-426,,25181,2013年04月01日至2013年06月30日,,42974,34432,,44982,37013,50986,5123,486107,622544,136437,135357,84371,18746,,,0.28,40444,42974,56109,,-1179.0,,4386,,-2008,-2581
2013-11-08,3,2013,,11087,9049,5153,5794,0.27,1080.0,,13375,,,550,,40401,2013年07月01日至2013年09月30日,,36246,41399,,42953,47580,33649,15972,528659,657059,128400,129480,95831,21499,,,0.27,33931,36246,49621,,641.0,,4714,,-6707,-6181
2014-03-14,4,2013,,68009,18439,-45365,-35275,0.88,-448.0,,42100,,586.0,1958,,136494,2013年01月01日至2013年12月31日,,138308,92943,,138414,93616,108608,71800,2033529,2484183,450654,450206,341598,54473,,-19420.0,,150631,138308,180408,,-8744.0,,16606,,-106,-673
2014-05-08,1,2014,,8603,8111,9200,10984,0.25,,,13629,,-22.0,4155,,23928,2014年01月01日至2014年03月31日,-667.0,36867,46067,,40125,49198,35416,15080,469494,582665,113171,113838,78422,13673,,,0.25,40821,36867,50496,,1762.0,,5789,,-3258,-3131
2014-08-06,2,2014,,-16302,3987,236,133,0.52,0.0,,-27587,,,4730,,25574,2014年第2季,0.0,79270,79506,-129.0,82277,82221,61584,-9901,487108,630983,143875,143875,82291,14481,,,0.52,42236,79270,51683,,-232.0,,2316,,-3007,-2715
2014-11-07,3,2014,,7886,2994,-15781,-18602,0.48,0.0,,18254,,83.0,5126,,30052,2014年第3季,,74036,58255,,76155,60888,79776,12514,616483,780130,163647,163647,83871,14765,,,0.48,39054,74036,92290,,-2738.0,,3492,780130.0,-2119,-2633
2015-03-11,4,2014,,51465,20927,-16637,-18547,1.83,0.0,,31493,,3872.0,18353,,108264,2014年度,,293197,276560,,288945,272200,245922,78768,2154749,2728475,573726,573726,327804,58479,,-5472.0,1.82,161061,293197,324690,,-3510.0,,11977,,4252,4360
2015-05-08,1,2015,,-7880,2464,-4278,-3609,0.32,,-4278.0,12656,,,11084,-1648.0,31196,2015年01月01日至2015年03月31日,0.0,49795,45517,,51050,46716,59922,2529,562193,705447,143254,143254,83332,16250,,,0.32,35886,49795,62451,,,-979.0,3139,,-1255,-1199
2015-08-07,2,2015,,-5883,5819,-7611,-7233,0.36,,-7611.0,8918,,,8677,-1911.0,24984,2015年第2季,0.0,57931,50320,,57804,50219,61283,5566,514530,654607,140077,140077,78794,15424,,,0.36,38386,57931,66849,,,-1533.0,3047,,127,101
2015-11-03,3,2015,,57526,6054,24637,22586,0.66,,24637.0,24933,,,14407,7230.0,27450,2015年第3季,,99142,123779,,104419,129144,49152,74923,616504,760418,143914,143914,94762,21948,,,0.65,45364,99142,124075,,,5179.0,3064,,-5277,-5365
2016-03-11,4,2015,-3451.0,24077,18897,4638,10796,1.67,,8089.0,76043,-85.0,,41707,-1096.0,113725,2015年度,,255972,260610,,266192,270783,259608,72407,2188205,2793696,605491,605491,345883,77297,-4055.0,,1.66,154861,255972,332015,-689.0,,1611.0,12274,,-10220,-10173
2016-05-05,1,2016,,-33021,2082,7440,13623,0.07,,7440.0,15108,,,8344,-4795.0,29059,2016年01月01日至2016年03月31日,,9780,17220,,10490,17790,50484,-25596,575747,708687,132940,132940,82456,16524,,,0.07,36873,9780,24888,,,1388.0,3001,,-710,-570
2016-08-05,2,2016,,-4940,10415,18064,28286,0.51,,18064.0,13869,,,12835,-6453.0,25300,2016年第2季,,88822,106886,,81495,99641,87022,15669,550094,722936,172842,172842,85820,17535,,,0.51,42985,88822,102691,,,3769.0,2641,,7327,7245
2016-11-04,3,2016,,-37974,5748,-9358,-3284,0.27,,-9358.0,11765,,,14537,-8088.0,30701,2016年第3季,,42526,33168,,42628,33158,73842,-19551,626886,785383,158497,158497,84655,16834,,,0.27,37120,42526,54291,,,-2014.0,1862,,-102,10
