date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-08-14,2,2013,,-4043,8822,24451,,24451,1.10,,12495,,,89349,2013年01月01日至2013年06月30日,66211,90662,66211,90662,75375,3331,1053285,1335600,282315,282315,206940,12495,48217,,,1.10,69374,66211,78706,,0,,1448,1053285,1053285,,1371076,1335600,35476
2013-11-12,3,2013,,-6098,3583,-6806,,-6806,0.35,,1941,,,40828,2013年07月01日至2013年09月30日,21725,14919,21725,14919,27055,-3389,535145,660604,125459,125459,98404,,25043,,,0.35,32533,21725,23666,,0,,874,,,,,,
2014-03-25,4,2013,,-15372,13954,27599,,27632,2.34,,24893,,,166284,2013年01月01日至2013年12月31日,143653,171252,143653,171252,173075,-4529,2215288,2801685,586397,586397,413322,,106753,,-33,2.33,140285,143653,168546,,0,,3111,,,,,,
2014-05-08,1,2014,,10848,7007,-533,,-533,0.44,,2574,,,37690,2014年01月01日至2014年03月31日,30729,30196,30729,30196,16271,17032,453424,564083,110659,110659,94388,,26360,,,0.44,30338,30729,33303,,0,,823,,,,,,
2014-08-11,2,2014,,-14388,8521,-11961,717,-11961,0.67,,11982,,,44908,2014年第2季,46511,34550,46511,34550,65077,-6584,522665,697641,174976,174976,109899,,30247,,,0.66,34744,46511,58493,,0,,717,,,,,697641,
2014-11-10,3,2014,,-468,2653,16613,,16613,0.61,,1483,,-9111,46171,2014年第3季,42283,58896,42283,58896,51286,-7520,517247,685713,168466,168466,117180,,34110,,,0.61,36899,42283,43766,,0,,594,,,,,685713,
2015-02-25,4,2014,,3609,23073,28501,,28170,2.38,,22034,,-13605,173756,2014年度,165983,194484,165983,194484,177666,10351,2019385,2630352,610967,610967,433301,,125079,,331,2.37,134466,165983,188017,,0,,2726,,,,,2630352,
2015-05-06,1,2015,,-2767,7782,-7160,,-7160,0.24,-7160,2710,,-1534,43238,2015年01月01日至2015年03月31日,16932,9772,16932,9772,17181,2461,434895,558940,124045,124045,106864,,32068,,,0.22,31558,16932,19642,,,0,1020,,,,,558940,
2015-08-01,2,2015,,-3899,4197,-9945,,-9945,0.14,-9945,1603,,-4578,41308,2015年第2季,9513,-432,9513,-432,16566,-5450,469250,590733,121483,121483,104917,,33365,,,0.13,30244,9513,11116,,,0,1170,,,628706,628706,590733,37973
2015-11-10,3,2015,,29069,2405,28828,,28828,0.70,28828,10147,,-6707,45386,2015年第3季,49162,77990,49162,77990,35697,23612,513112,667487,154375,154375,118678,,38283,,,0.64,35009,49162,59309,,,0,1155,,,710277,710277,667487,42790
2016-03-15,4,2015,12,34140,17614,-12388,,-12400,1.90,-12400,31587,18948,-18948,172595,2015年度,132365,119977,132365,119977,135641,28311,1964328,2555830,591502,591502,455861,,152784,12,,1.72,130482,132365,163952,0,,0,4495,,,,,,
2016-05-11,1,2016,,-13355,4545,-3666,,-3666,0.24,-3666,3995,,610,46274,2016年01月01日至2016年03月31日,16931,13265,16931,13265,30272,-9346,463685,606198,142513,142513,112241,,35506,,,0.23,30461,16931,20926,,,0,1146,,,646300,646300,606198,40102
2016-08-10,2,2016,,9317,5387,-18103,,-18103,0.47,-18103,7540,,-3689,49066,2016年第2季,32583,14480,32583,14480,30077,10046,509197,658407,149210,149210,119133,,36857,,,0.43,33210,32583,40123,,,0,969,,,,,,
2016-11-11,3,2016,,-11871,5778,-24951,,-24951,0.89,-24951,6410,,357,63666,2016年第3季,61900,36949,61900,36949,74919,-6609,604167,813720,209553,209553,134634,,35948,,,0.80,35020,61900,68310,,,0,873,,,,,,
