date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-4743,-294433,197105,,,436421,502080,-0.32,,,,106827,,2638.0,-63887,,,,,93405,2013年01月01日至2013年03月31日,-1999101,-1562680,-2078409,-1767341,-1319734,-572540,12293240,12590148,296908,296908,1616642,950252,,,,,572985,-1999101,-1892274,63554.0,,411325,,12293240.0,141469.0,,12760124.0,12590148,28507.0,79308,204661
2013-08-13,2,2013,,1846219,-4039342,1655672,157202.0,,2119523,263310,-0.54,,1498470.0,,158788,,37305.0,-67802,,,,,253094,2013年04月01日至2013年06月30日,-3337544,-1218021,-3494909,-1506871,-283149,-2895607,13262402,15127535,1865133,1865133,2148282,1195439,,,,,699749,-3337544,-3178756,27311.0,,444135,,,159615.0,15332813.0,15332813.0,15127535,45663.0,157365,288850
2013-11-06,3,2013,,-62415,665194,282963,282963.0,,-473037,-472728,0.07,,0.0,,118896,,-1386.0,-65014,,,,,279190,2013年07月01日至2013年09月30日,717025,243988,470156,127843,390862,445059,12813626,15498225,2684599,2684599,2293737,1312140,,,0.07,,702407,717025,835921,-63492.0,,438084,,,194069.0,,15765664.0,15498225,73370.0,246869,116145
2014-03-21,4,2013,,1756663,-2852802,2869068,1370598.0,,2466232,612408,-0.75,,1498470.0,,241488,,51942.0,-1168701,,,,,913970,2013年01月01日至2013年12月31日,-4194795,-1728563,-4852882,-2602077,-1045105,-2908202,51492609,58660484,7167875,7167875,8212980,4631223,,105016.0,,,2667787,-4194795,-3953307,59797.0,,1755767,,,591765.0,,59405586.0,58660484,153337.0,658087,873514
2014-04-28,1,2014,,220127,-460397,614518,,,546805,404922,0.01,,,,-989,,2907.0,-674,,,,,249751,2014年01月01日至2014年03月31日,318833,865638,81651,519823,625947,-308103,12249302,14972538,2723236,2723236,2097289,1169611,,,0.01,,677927,318833,317844,81151.0,,461550,,,122660.0,,15160927.0,14972538,65729.0,237182,345815
2014-08-07,2,2014,,503027,270624,375601,375601.0,,25338,-461017,0.0,0.0,0.0,,194020,,-3257.0,3527,,,,,252758,2014年第2季,15000,40338,-3976,25155,130878,78142,11860735,13871110,2010375,2010375,1879497,1002975,,,0.0,0.0,623764,15000,209020,13415.0,,571610,,,161702.0,,14041132.0,13871110,8320.0,18976,15183
2014-11-11,3,2014,,595580,7958,264656,264656.0,,920381,455792,-0.24,,0.0,,3709,,-146.0,675,,,,,691933,2014年第3季,-1513161,-592780,-1593340,-989200,-1165668,-343784,11795320,13168873,1373553,1373553,2539221,1157794,,,,,689494,-1513161,-1509452,130845.0,,617073,,,360957.0,,13592897.0,13168873,63067.0,80179,396420
2015-03-30,4,2014,,694537,-435024,1670691,1670691.0,,1684485,1199484,-0.61,,0.0,,337231,,7550.0,662,,,,,1428556,2014年度,-3655057,-1970572,-3981524,-2826872,-2109671,-1208155,50013775,56391377,6377602,6377602,8487273,4546803,,7451.0,-0.61,,2511914,-3655057,-3317826,224537.0,,2444484,,50013775.0,862787.0,57480136.0,57480136.0,56391377,225972.0,326467,856300
2015-05-08,1,2015,,-30597,602161,504905,,,-645452,-719140,-0.17,,,-645452,163051,,,-2958,,-2517,,,234200,2015年01月01日至2015年03月31日,-1239477,-1884929,-1125880,-1678918,-1382753,306327,12445322,13230763,785441,785441,2168194,1162739,,,-0.17,,771255,-1239477,-1076426,,-106802,797781,,,193772,,13466210,13230763,41675,-113597,-206011
2015-08-12,2,2015,,-84760,1831287,457901,,,-421371,-414280,-0.19,,,-421371.0,337094,,,-9726,,-1111.0,,,247746,2015年第2季,-1199419,-1620790,-1203876,-1621027,-2286852,1424527,11900290,11450285,-450005,-450005,1836847,980665,,,-0.19,,608436,-1199419,-862325,,-78780.0,854935,,11900290.0,,,,11450285,,4457,237
2015-11-09,3,2015,,-598951,-556632,382722,,0.0,-549447,-32980,-0.57,,,-549447.0,62780,,,-956,,0.0,,,252032,2015年第3季,-3484212,-4033659,-3667954,-4055034,-2420815,-1000617,12100264,11593018,-507246,-507246,1913569,1012934,,,-0.57,,648603,-3484212,-3421432,,-82484.0,825751,,12100264.0,,,,11593018,,183742,21375
2016-03-25,4,2015,-4831.0,382553,1677332,2031526,,,-866279,-1394054,-1.35,,,-861448.0,993824,-5188.0,,-12449,1138.0,-3642.0,-4780.0,-5188.0,954383,2015年度,-8440495,-9306774,-8761984,-9587120,-7876775,430104,47609448,47319711,-289737,-289737,7587038,3994838,357.0,,,,2637817,-8440495,-7446671,,-153695.0,3266305,47609448.0,47609448.0,944979.0,48342643.0,48342643.0,47319711,77953.0,321489,280346
2016-05-09,1,2016,,-456975,-693596,491660,,,-294597,157005,-0.44,,,-294597.0,119237,,,1433,808.0,-2281.0,-3089.0,,205097,2016年01月01日至2016年03月31日,-2789991,-3084588,-2852863,-2914868,-1628177,-1042577,9282786,9465785,182999,182999,1811176,752987,,,,,853092,-2789991,-2670754,,-7654.0,842074,9282786.0,9282786.0,34933.0,9514477.0,9514477.0,9465785,13759.0,62872,-169720
2016-08-09,2,2016,,-1020406,2578656,912663,,,-1403801,-564245,0.04,,,-1403801.0,721722,,,-334,5288.0,1283.0,-4005.0,,209766,2016年第2季,961703,-442098,282519,-628037,-980899,2664324,8995855,9655644,659789,659789,1640688,767779,,,,,663143,961703,1683425,,-179567.0,826661,8995855.0,8995855.0,64907.0,,9730050.0,9655644,9499.0,679184,185939
2016-10-31,3,2016,,220513,864311,650271,,,-1016986,-1332098,0.02,,,-1016986.0,143136,,,37588,10892.0,3550.0,-7342.0,,235564,2016年第3季,165380,-851606,115170,-345895,-445723,754239,9062296,10361456,1299160,1299160,1744883,762594,,,,,746725,165380,308516,,-91049.0,797931,,9062296.0,,,,10361456,,50210,-505711
