date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,25260,3402,6217,0.0,59636,34376,-0.3,,,3312.0,-2758,19611,2013年01月01日至2013年03月31日,-124541,-64905,-106852,-47328,-117986,-3243,778707,770515,-8192,-8192,109794,44324,,,-0.3,,45859,-124541,-121229,,,10104,,,-17689,-17577
2013-08-13,2,2013,,,-16103,252350,17542,,3856,16212,-0.24,,,-3317.0,-2284,16580,2013年04月01日至2013年06月30日,-104407,-100551,-86657,-83012,-361902,254178,993310,884188,-109122,-109122,252780,20350,,,-0.24,,215850,-104407,-107724,-3747.0,,13430,,,-17750,-17539
2013-11-12,3,2013,,0.0,-16950,17102,13257,,-27292,-11206,-0.03,-0.03,,0.0,-4189,20103,2013年07月01日至2013年09月30日,-5238,-32530,-12156,-39445,-21679,16441,903143,998114,94971,94971,116650,26241,,,-0.03,-0.03,70306,-5238,-5238,-864.0,,9729,,,6918,6915
2014-03-27,4,2013,,,228937,-386292,35096,,261311,57271,-2.75,-2.75,,1625.0,-8693,90026,2013年01月01日至2013年12月31日,-1016123,-754812,-980176,-719445,-611324,-403174,4127509,4141147,13638,13638,624962,120521,,-4914.0,-2.75,-2.75,414415,-1016123,-1014498,19983.0,,43285,,,-35947,-35367
2014-05-09,1,2014,,,5582,18393,3806,,2518,-3094,0.23,0.23,,0.0,-4835,19697,2014年01月01日至2014年03月31日,85842,88360,80970,83392,77490,8352,1140660,1295094,154434,154434,76944,22911,,,0.23,0.23,34336,85842,85842,-30.0,,9012,,,4872,4968
2014-08-12,2,2014,,,-5230,-19263,7547,,-18598,-16565,0.25,0.25,,0.0,-11475,16881,2014年第2季,94185,75587,89510,71156,125744,-31559,1192618,1427499,234881,234881,109137,26548,,,0.25,0.25,65708,94185,94185,-3197.0,,8368,1192618.0,1427499.0,4675,4431
2014-11-06,3,2014,,,1834,5454,30344,,19974,21523,0.36,0.36,,0.0,-15538,25392,2014年第3季,84012,103986,84392,104229,71506,12506,919466,1125401,205935,205935,134429,28296,,,0.35,0.35,80741,84012,84012,3383.0,,7754,,,-380,-243
2015-03-20,4,2014,,,-4732,63293,47925,,20094,29084,1.5,1.5,,553.0,-50558,83819,2014年度,363316,383410,353821,373530,335381,28488,4047826,4802080,754254,754254,418873,106687,,-223.0,1.48,1.48,228367,363316,363869,4035.0,,32172,,,9495,9880
2015-05-13,1,2015,,,-577,-11018,3780,,-7041,-7686,0.34,0.34,-7041.0,,-4058,15958,2015年01月01日至2015年03月31日,86340,79299,84471,77346,103793,-17453,673091,860764,187673,187673,83880,28814,,,0.33,0.33,39108,86340,86340,,-1222.0,6157,,,1869,1953
2015-08-11,2,2015,,,-11766,-2340,4991,,-21175,-11441,0.37,0.37,-21175.0,,-387,16469,2015年第2季,109145,87970,102254,81039,111799,-2654,755172,962063,206891,206891,95092,31638,,,0.35,0.35,46985,109145,109145,,-2032.0,4918,,,6891,6931
2015-11-10,3,2015,,,-12830,34875,6816,,15156,33584,0.41,0.41,15156.0,,-867,24251,2015年第3季,108816,123972,113195,128179,73466,35350,698357,890199,191842,191842,118376,26983,,,0.38,0.38,67142,108816,108816,,5598.0,5474,,,-4379,-4207
2016-03-24,4,2015,-1421.0,,-20191,39713,17869,,-41375,-23707,1.22,1.22,-39954.0,20154.0,-57418,82595,2015年度,313835,272460,330338,289322,354633,-20644,2781411,3559863,778452,778452,423819,114818,-1421.0,,1.15,1.15,226406,313835,333989,,-3944.0,20808,,,-16503,-16862
2016-05-10,1,2016,,,3586,-41003,4403,,-466,-3999,0.11,0.11,-466.0,4200.0,-9174,14227,2016年01月01日至2016年03月31日,25062,24596,30921,30628,78798,-49536,552113,721135,169022,169022,90224,27599,,,0.1,0.1,48398,25062,29262,,53.0,3762,,,-5859,-6032
2016-08-09,2,2016,,,-4770,-29635,5088,,-20466,-19654,0.18,0.18,-20466.0,10444.0,-14967,15482,2016年第2季,42770,22304,51900,31457,96137,-42923,601008,786367,185359,185359,89222,26729,,,0.17,0.17,47011,42770,53214,,-3958.0,3409,,,-9130,-9153
2016-11-10,3,2016,,,9209,-67009,1835,,-11629,-23794,0.07,0.07,-11629.0,3600.0,-11685,18590,2016年第3季,11058,-571,19391,7989,95209,-80551,647056,827677,180621,180621,85412,28637,,,0.07,0.07,38185,11058,14658,,-2956.0,3692,,,-8333,-8560
