date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,,19301,1922,43750,10885,0.47,0.0,,5185,,,10993,2013年01月01日至2013年03月31日,0.0,38280,82030,34715.0,38280,82030,23017,20448,127442,176585,49143,49143,26126,4605,,,0.47,10528,38280,43465,1850.0,,775,0,0
2013-08-06,2,2013,,-1967.0,,-706,1612,2510,5394,0.27,0.0,,5835,,,10073,2013年04月01日至2013年06月30日,0.0,22489,24999,,22489,24999,28526,-202,123904,176600,52696,52696,24170,4433,,,0.27,9664,22489,28324,917.0,,1108,0,0
2013-11-08,3,2013,,12182.0,,-2979,5003,8017,-5018,0.32,0.0,,4243,,,11042,2013年07月01日至2013年09月30日,0.0,26721,34738,,26721,34738,29937,1027,119880,177922,58042,58042,28105,4382,,,0.32,12681,26721,30964,-853.0,,997,0,0
2014-03-25,4,2013,,59942.0,,30154,11879,73840,17507,1.45,0.0,,16066,,,44205,2013年01月01日至2013年12月31日,0.0,120237,194077,,120237,194077,98580,37723,495526,703030,207504,207504,108924,17885,,-633.0,1.45,46834,120237,136303,2976.0,,4310,0,0
2014-05-09,1,2014,,23089.0,,21076,4797,24457,1648,0.35,0.0,,4736,,,10588,2014年01月01日至2014年03月31日,0.0,29048,53505,,29048,53505,9499,24285,112760,148736,35976,35976,26477,4665,,,0.35,11224,29048,33784,280.0,,1588,0,0
2014-07-30,2,2014,,17174.0,0.0,-13429,5051,10855,-7613,0.07,,,979,,,10654,2014年第2季,,5861,16716,,5861,16716,16724,-9884,133669,175869,42200,42200,25476,4540,,,0.07,10282,5861,6840,-1294.0,,1506,0,0
2014-11-13,3,2014,,-10593.0,,12136,12696,-1816,10575,0.42,0.0,,7843,,,10954,2014年第3季,0.0,35630,33814,,35630,33814,20374,23099,123767,171122,47355,47355,26981,4886,,,0.42,11141,35630,43473,1798.0,,1733,0,0
2015-02-24,4,2014,,33538.0,,60625,28533,50150,19437,1.45,0.0,,19086,,,44721,2014年度,0.0,121461,171611,,121461,171611,58273,82274,505708,673016,167308,167308,109035,19171,,479.0,1.44,45143,121461,140547,3304.0,,6884,0,0
2015-05-11,1,2015,0.0,11112.0,,-8221,4352,5721,-6495,0.1,,5721.0,1204,,,10853,2015年01月01日至2015年03月31日,,8148,13869,,8148,13869,14446,-5094,112640,154002,41362,41362,26916,4895,0.0,,0.1,11168,8148,9352,,-1104.0,1225,0,0
2015-08-03,2,2015,,-42498.0,0.0,-3171,3960,-46372,-4668,0.2,,-46372.0,1982,,,9992,2015年第2季,,16678,-29694,,16678,-29694,19468,-808,115505,161311,45806,45806,26338,4740,,,0.2,11606,16678,18660,,-794.0,1597,0,0
2015-11-09,3,2015,,-61688.0,,48497,16758,-50416,13580,0.76,0.0,-50416.0,14322,,,12849,2015年第3季,0.0,64733,14317,,64733,14317,15288,63767,121007,167086,46079,46079,30791,4909,,,0.76,13033,64733,79055,,2308.0,1488,0,0
2016-02-24,4,2015,-8365.0,-58174.0,,38546,32330,-70702,-5016,1.22,0.0,-62337.0,18077,,,44634,2015年度,0.0,104086,33384,,104086,33384,57302,64861,463614,632332,168718,168718,111416,19163,-8365.0,,1.22,47619,104086,122163,,-853.0,6015,0,0
2016-05-03,1,2016,0.0,7147.0,,-3025,4104,3623,-4278,0.14,,3623.0,1436,892.0,32.0,9925,2016年01月01日至2016年03月31日,,12224,15847,,12224,15847,13520,140,105297,144772,39475,39475,25955,4542,0.0,,0.14,11488,12224,13660,,-722.0,1831,0,0
2016-08-08,2,2016,,-9124.0,0.0,3510,3075,-14833,-7188,0.27,,-14833.0,5385,3759.0,253.0,11348,2016年第2季,,23108,8275,,23108,8275,19754,8739,113969,162080,48111,48111,28357,4884,,,0.27,12125,23108,28493,,-1226.0,1605,0,0
2016-11-03,3,2016,,-2690.0,,-17214,13723,-8766,-8990,0.13,0.0,-8766.0,-725,2295.0,1384.0,11435,2016年第3季,0.0,10765,1999,,10765,1999,12879,-2839,119776,160456,40680,40680,27801,4982,,,0.13,11384,10765,10040,,-1530.0,1643,0,0
