date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-10,1,2013,,98,30322,10052,8683,10343,0.32,0.32,,11000,44871,2013年01月01日至2013年03月31日,56557,65240,56557,65240,27192,40365,1037292,1159334,122042,122042,94850,28628,,,0.31,0.31,21351,56557,67557,,1758.0,,9
2013-08-12,2,2013,,-13640,11347,14366,-11723,2310,0.16,0.16,,19024,43441,2013年04月01日至2013年06月30日,28380,16657,28380,16657,21702,25702,1040600,1151908,111308,111308,89606,28172,,,0.16,0.16,17993,28380,47404,,393.0,,11
2013-11-11,3,2013,,3136,-23958,19533,-1614,-5723,0.03,0.03,,2762,45675,2013年07月01日至2013年09月30日,4681,3067,4681,3067,11874,-4431,1001209,1110716,109507,109507,97633,29277,,,0.03,0.03,22681,4681,7443,,-973.0,,6
2014-03-24,4,2013,,-7317,34989,68370,3307,10263,0.69,0.69,,35300,178948,2013年01月01日至2013年12月31日,122620,125927,122620,125927,54591,103329,4173559,4608578,435019,435019,380428,117769,,2536.0,0.68,0.68,83711,122620,157920,,2175.0,,30
2014-05-12,1,2014,,4201,15337,22485,12051,9458,0.32,,,11024,47343,2014年01月01日至2014年03月31日,56943,68994,56943,68994,30150,37817,1122946,1253121,130175,130175,100025,29109,,,0.32,,23573,56943,67967,,1608.0,,5
2014-08-08,2,2014,,1623,-17628,17843,-5512,-8597,0.07,0.07,,-2000,54420,2014年第2季,13269,7757,13269,7757,11057,212,1006459,1120332,113873,113873,102816,28215,,,0.07,0.07,20181,13269,11269,,-1462.0,,3
2014-11-10,3,2014,,-5113,14443,22106,1637,8133,0.1,0.1,,3525,50884,2014年第3季,16935,18572,16935,18572,-16086,36546,1054839,1139000,84161,84161,100247,27753,,,0.09,0.09,21610,16935,20460,,1383.0,,3
2015-03-27,4,2014,,-742,-89862,74924,14436,21241,-0.37,-0.37,,26859,188166,2014年度,-66116,-51680,-66116,-51680,-24304,-14953,3790313,4150648,360335,360335,384639,107030,,-2954.0,-0.37,-0.37,89443,-66116,-39257,,3109.0,,15
2015-05-05,1,2015,,5397,-13766,14935,4214,-1425,-0.06,-0.06,4214.0,775,40995,2015年01月01日至2015年03月31日,-11126,-6912,-11126,-6912,-11502,1151,629796,706040,76244,76244,87746,26986,,,-0.06,-0.06,19765,-11126,-10351,,,-242.0,18
2015-08-11,2,2015,,-4804,-22942,11535,-6863,-2481,-0.28,-0.28,-6863.0,-6998,41074,2015年第2季,-50242,-57105,-50242,-57105,-45830,-11410,662696,704424,41728,41728,87558,26973,,,-0.28,-0.28,19511,-50242,-57240,,,-422.0,3
2015-11-09,3,2015,,-12081,50400,12985,3546,18828,0.08,0.08,3546.0,-722,43796,2015年第3季,15712,19258,15712,19258,-48392,63382,846061,890287,44226,44226,92618,28958,,,0.08,0.08,19864,15712,14990,,,3201.0,3
2016-03-30,4,2015,-156.0,-4831,3351,51495,5931,13154,-0.59,-0.59,6087.0,-11666,158746,2015年度,-104323,-98392,-104323,-98392,-170808,54819,2646519,2830595,184076,184076,354884,114317,-188.0,,-0.59,-0.59,81821,-104323,-115989,-32.0,,2236.0,27
2016-05-12,1,2016,,1617,-17959,14903,-2881,-5419,-0.12,-0.12,-2881.0,-953,61766,2016年01月01日至2016年03月31日,-20939,-23820,-20939,-23820,-18833,-3059,687565,777583,90018,90018,108851,28084,,,-0.12,-0.12,19001,-20939,-21892,,,-921.0,3
2016-08-12,2,2016,,5287,-4909,8293,5158,-156,0.15,0.15,5158.0,8097,65326,2016年第2季,26245,31403,26245,31403,30960,3382,609277,716967,107690,107690,76730,22178,,,0.15,0.15,-10774,26245,34342,,,-27.0,2
2016-11-03,3,2016,,5371,-34129,10072,-2139,-9047,-0.26,-0.26,-2139.0,-4826,61538,2016年第3季,-45774,-47913,-45774,-47913,-26539,-24061,696182,768437,72255,72255,98794,18333,,,-0.26,-0.26,18923,-45774,-50600,,,-1537.0,4
