date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,114329,71002,3384,-3514.0,110815,0.49,,16472,1526,37188,2013年01月01日至2013年03月31日,241187,352002,241187,352002,183057,74602,331389,603414,272025,272025,88968,3858,,,,47922,241187,257659,,,,1310,0,0.0
2013-08-13,2,2013,,10573,14810,3784,,9420,1.75,,73310,-236,76426,2013年04月01日至2013年06月30日,869252,878672,869252,878672,925170,17392,546722,1611366,1064644,1064644,139474,3807,,,,59241,869252,942562,,1153.0,,966,0,0.0
2013-11-08,3,2013,,60042,-4205,40004,,60054,0.91,,34236,6965,39351,2013年07月01日至2013年09月30日,450283,510337,450283,510337,443248,41271,409595,942727,533132,533132,89884,4194,,,,46339,450283,484519,,-12.0,,1493,0,0.0
2014-03-18,4,2013,,304039,52871,55263,,287139,3.87,,173372,10810,190588,2013年01月01日至2013年12月31日,1926458,2213597,1926466,2213597,1985591,114239,1734477,4120132,2385655,2385655,400064,16319,,-13361.0,,193157,1926458,2099830,,3539.0,,4705,-8,
2014-05-13,1,2014,,-72341,11094,8236,1027.0,-71314,0.69,,21675,837,38505,2014年01月01日至2014年03月31日,344758,273444,344758,273444,347239,19194,381881,821519,439638,439638,92399,3036,,,0.69,50858,344758,366433,,,,973,0,0.0
2014-08-12,2,2014,,-24593,-56217,15005,,-24168,3.32,,214420,4526,20856,2014年第2季,1647905,1623737,1647905,1623737,1899638,-37313,620233,2607869,1987636,1987636,87998,4649,,,3.31,62493,1647905,1862325,,-425.0,,627,0,0.0
2014-11-11,3,2014,,18976,32728,69645,,17325,1.72,,2749,2749,20439,2014年第3季,857825,875150,857825,875150,755994,104580,415849,1248580,832731,832731,76737,4476,,,1.72,51822,857825,860574,,1651.0,,542,0,0.0
2015-03-20,4,2014,,-31998,54490,103773,,-35774,6.57,,241673,5029,114020,2014年度,3268772,3232998,3268779,3233005,3349714,160731,1841732,5543681,3701949,3701949,352235,17366,,-2722.0,6.56,220849,3268772,3510445,,1054.0,,2561,-7,-7.0
2015-05-12,1,2015,,18178,-18335,10881,,19137,0.7,19137.0,9696,8073,14950,2015年01月01日至2015年03月31日,346627,365764,346627,365764,358596,-2273,334668,754065,419397,419397,60801,4021,,,0.7,41830,346627,356323,,,-959.0,2892,0,0.0
2015-08-13,2,2015,,14046,-31229,12781,,13154,-0.02,13154.0,159819,-2513,24945,2015年第2季,-8994,4160,-8994,4160,176764,-25939,319120,567309,248189,248189,71425,3844,,,-0.02,42636,-8994,150825,,,892.0,4978,0,0.0
2015-11-12,3,2015,,-315853,167390,82723,,-312779,0.51,-312779.0,39595,4766,13452,2015年第3季,254843,-57936,254843,-57936,47069,247369,252533,347538,95005,95005,47936,3930,,,0.51,30554,254843,294438,,,-3074.0,7510,0,0.0
2016-03-18,4,2015,-244.0,-235322,104390,118632,,-232660,1.6,-232416.0,230132,9116,73362,2015年度,789818,557158,789825,557165,811666,208284,1235218,2290940,1055722,1055722,244056,17342,-294.0,,1.59,153352,789818,1019950,-50.0,,-2906.0,23854,-7,-7.0
2016-05-10,1,2016,,43964,-33134,11985,,48067,0.05,48067.0,6086,-1121,22520,2016年01月01日至2016年03月31日,24992,73059,24992,73059,60520,-29442,238221,363244,125023,125023,64503,2929,,,0.05,39054,24992,31078,,,-4103.0,7172,0,0.0
2016-08-12,2,2016,,-72849,2290,15156,,-74191,0.09,-74191.0,38763,2906,18138,2016年第2季,42968,-31223,42968,-31223,67813,13918,250011,374534,124523,124523,56710,3894,,,0.09,34678,42968,81731,,,1342.0,6434,0,0.0
2016-11-11,3,2016,,17536,-69384,84181,,15670,0.15,15670.0,940,231,13319,2016年第3季,70994,86664,70997,86667,64807,7127,288319,400860,112541,112541,47734,3700,,,0.15,30715,70994,71934,,,1866.0,7901,-3,-3.0
