date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建成本,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-04-30,1,2013,,-16783,334120,7202,,,12512,-45290.0,203408,6259,2.3,2.3,,265075,259222.0,761867,,95836,2013年01月01日至2013年03月31日,2257059,2460467,2257059,2460467,56291,1749568,,,1420443,1101691,4089718,5904682,1814964,1814964,394521,13566,,,,63747,158766,2.3,2.3,285119,2257059,2522134,,,,1498,3969680,3969680,3995128,3995128,3983836,11292
2013-07-30,2,2013,,-10696,4479,6407,6407.0,,5926,-9982.0,26957,-5486,0.02,0.02,,15688,53121.0,83720,,105733,2013年04月01日至2013年06月30日,24295,51252,24295,51252,0,0,,,-53208,93191,2987713,3252949,265236,265236,318444,9673,,,,59963,153195,0.02,0.02,203038,24295,39983,,,,1415,2927750,2927750,3111888,3111888,3093828,18060
2013-10-25,3,2013,,-5642,-16463,51918,51918.0,,5352,56780.0,-289377,-9461,0.24,0.24,,24446,-331054.0,414835,,123120,2013年07月01日至2013年09月30日,231644,-57733,231644,-57733,0,0,,,-192758,448848,3454649,3595614,140965,140965,333723,11401,,,,70496,170249,0.24,0.24,199202,231644,256090,,,,1442,3384153,3384153,3427301,3427301,3420013,7288
2014-03-28,4,2013,,-41059,35485,156584,156584.0,,33427,,106299,-4532,2.59,2.59,,93671,254292.0,1657021,,473827,2013年01月01日至2013年12月31日,2538071,2644370,2538071,2644370,56291,1749568,,,788172,1843570,13771349,16018546,2247197,2247197,1459025,46042,,10106.0,,319379,661366,2.59,2.59,939156,2538071,2631742,,112508.0,,5520,13395679,13395679,13633326,13633326,13574185,59141
2014-04-29,1,2014,,-11243,-49001,4944,4944.0,,6089,,164189,-1222,0.11,0.11,,9084,214674.0,468411,,113063,2014年01月01日至2014年03月31日,103504,267693,103504,267693,0,0,0.0,0.0,-311423,424011,3538604,3520498,-18106,-18106,293317,14472,,,,143086,187686,0.11,0.11,165782,103504,112588,,38020.0,,343,3395518,3395518,3333958,3333958,3326723,7235
2014-07-29,2,2014,,-3882,-216834,5064,5064.0,,8670,,-179187,-4457,0.01,0.01,,40731,-206373.0,518924,,99156,2014年第2季,14187,-165000,14187,-165000,3471,0,,,-250884,305802,3045374,3048724,3350,3350,254234,15698,,,,129104,170688,0.01,0.01,139380,14187,54918,,-35525.0,,1352,2912799,2912799,2880871,2880871,2869366,11505
2014-10-30,3,2014,,-26361,-1666,26011,26011.0,,3978,-35151.0,145722,2160,0.12,0.12,,10536,205074.0,419415,,107593,2014年第3季,119726,265448,119726,265448,0,0,,,-310774,441036,3690762,3655544,-35218,-35218,275556,13028,,,,142248,182637,0.12,0.12,154935,119726,130262,,,,2724,3548514,3548514,3475808,3475808,3468929,6879
2015-03-27,4,2014,,-20479,-485451,44610,44610.0,,29751,,509897,188,3.13,3.13,,-221093,643114.0,1676767,,446535,2014年度,3068346,3578243,3068346,3578243,1047992,4023449,1047992.0,,1659950,1187303,14597642,17510273,2912631,2912631,1252681,57610,,-2052.0,588091.0,588091,703613,3.13,3.13,748536,3068346,2847253,,110874.0,,48623,12961559,12961559,12783630,12783630,12753460,30170
2015-04-24,1,2015,,-4601,-206976,4486,4486.0,,15715,,-106728,-4238,0.05,0.05,-106728.0,-30795,,216991,-118233.0,84513,2015年01月01日至2015年03月31日,47379,-59349,47379,-59349,100581,368382,,,8924,7660,3499494,3838849,339355,339355,330431,15873,,,,140511,178098,0.05,0.05,230045,47379,16584,,,-20344.0,6841,3258402,3258402,3281223,3281223,3276654,4569
2015-07-28,2,2015,,-13565,-351476,12171,12171.0,,11355,,-135457,103,0.13,0.13,-135457.0,122100,,137773,-146930.0,97609,2015年第2季,133575,-1882,133575,-1882,308333,1104896,,,461250,-205575,3224043,4101210,877167,877167,415917,19579,,,,124751,166115,0.13,0.13,298729,133575,255675,,,-24935.0,4043,2790959,2790959,2825469,2825469,2818844,6625
