date,season,year,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業收入淨額,其他綜合損益（淨額）,其他費損,利息收入合計,利息費用,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,7183,,,38132,74214,1277,0.0,0.0,15353,697365,,72937,453,1986,697395,4.27,4.27,44925.0,,,263732,,1157782,639426,2013年01月01日至2013年03月31日,1280846,1978211,1280846,1978211,274903,1269675,6443777,7596030,1152253,1152253,877350,123588,,-36.0,4.27,4.27,114336,1280846,1544578,,-6.0,244,453,146,6443777,7578691,,
2013-08-08,2,2013,,8046,,,191613,86239,91,,0.0,23166,344755,,86148,823,2601,344801,5.93,5.93,199178.0,,,364457,,1408468,584047,2013年04月01日至2013年06月30日,1779029,2123784,1779029,2123784,457989,1685497,5553230,6849254,1296024,1296024,838035,165830,,-55.0,5.93,5.93,88158,1779029,2143486,,-9.0,358,823,123,5553230,6823487,,
2013-11-08,3,2013,,5882,,,-10495,84660,295,,-15.0,6100,-261976,,84365,4852,6233,-261931,6.59,6.59,-6508.0,,,406092,,1598009,603302,2013年07月01日至2013年09月30日,1977405,1715429,1977405,1715429,716175,1667322,6388856,7956853,1567997,1567997,851807,160178,,-55.0,6.59,6.59,88327,1977405,2383497,,-10.0,1006,4852,889,6388856,7944520,,
2014-03-24,4,2013,,27955,,,369060,353454,4553,,-15.0,56730,1115187,,348901,16994,16872,1114504,24.33,24.33,391529.0,,,1506893,,6269191,2611485,2013年01月01日至2013年12月31日,7299997,8415184,7299997,8415184,1832179,6974711,26037200,31486050,5448850,5448850,3616656,617309,,823.0,24.32,24.32,387862,7299997,8806890,,140.0,3745,16994,1741,26037200,31412448,,
2014-05-09,1,2014,,7383,,,-87336,119530,70,,,5504,393289,,119460,10556,1858,393249,3.99,3.99,-89155.0,,,240787,,1360451,664751,2014年01月01日至2014年03月31日,1195559,1588848,1195559,1588848,54257,1382089,7229802,8179598,949796,949796,895539,126205,,47.0,3.98,3.98,104583,1195559,1436346,,7.0,7274,10556,1928,7229802,8172236,,
2014-08-05,2,2014,,4498,,,-153406,107306,1087,,1161.0,20116,-497700,,106219,11433,5836,-497671,4.27,4.27,-152061.0,,,405059,,1446671,720231,2014年第2季,1279973,782273,1279973,782273,295894,1389138,8845747,10097123,1251376,1251376,956643,134136,,-34.0,4.27,4.27,102276,1279973,1685032,,-5.0,0,11433,3153,8845747,10071171,,
2014-11-10,3,2014,,3289,0.0,0.0,110736,91811,1670,,-30.0,12496,359136,,90141,11051,138,359166,4.81,4.81,115699.0,,,296083,,1300848,607130,2014年第3季,1443622,1802758,1443622,1802758,247361,1492344,7004498,8110603,1106105,1106105,858714,168861,,-36.0,4.81,4.81,82723,1443622,1739705,,-6.0,-802,11051,-872,7004498,8097969,0.0,0.0
2015-03-23,4,2014,,21399,,,286271,403225,5078,,1131.0,42402,1207276,,398147,42689,8078,1206461,21.75,21.75,287674.0,,,1502918,,6593641,2564472,2014年度,6523759,7731035,6523759,7731035,786229,7240448,28855176,33176837,4321661,4321661,3536563,586905,,982.0,21.74,21.74,385186,6523759,8026677,,167.0,5964,42689,14032,28855176,33126357,,
2015-05-11,1,2015,-149.0,4342,,,-95450,111170,384,,-324.0,8295,-335903,324.0,110786,9113,4906,-335754,3.42,3.42,-96903.0,,-335754.0,213188,-259.0,902355,591871,2015年01月01日至2015年03月31日,1025315,689412,1025315,689412,329541,908962,7867585,9042254,1174669,1174669,844804,138325,79.0,,3.42,3.42,114608,1025315,1238503,-31.0,,-9651,9113,15446,7867585,9029053,,
2015-08-03,2,2015,-31.0,3533,,,-168749,59433,343,,-4.0,7826,-256922,,59090,9059,0,-256891,4.62,4.62,,171237.0,-256891.0,261197,0.0,1341599,1028481,2015年第2季,1386141,1129219,1386141,1129219,424114,1223224,7953290,9662102,1708812,1708812,1284694,127409,-37.0,,4.62,4.62,128804,1386141,1647338,-6.0,,4046,9059,1975,7953290,9654276,,
2015-11-06,3,2015,-52.0,3847,,,-257278,137126,147,,-903.0,12860,839498,,136979,9175,2486,839550,2.85,2.85,-257131.0,,839550.0,174163,-24.0,933291,727247,2015年第3季,854808,1694306,854808,1694306,225007,803964,6718438,7889273,1170835,1170835,944925,121297,-38.0,,2.85,2.85,96381,854808,1028971,-10.0,,6495,9175,-2795,6718438,7873927,,
2016-03-28,4,2015,-26797.0,19918,,,-808595,346363,1871,,-1486.0,51624,-141235,,344492,36636,11646,-114438,13.89,13.89,-801876.0,,-114438.0,833786,-334.0,4263739,3130745,2015年度,4165901,4024666,4165901,4024666,1234816,3764871,27913181,33218394,5305213,5305213,4068911,516723,-31951.0,,13.88,13.88,421443,4165901,4999687,-5488.0,,1866,36636,11333,27913181,33155124,,
2016-05-13,1,2016,-40.0,3634,,,-139228,37808,36,,0.0,12062,-288701,0.0,37772,8863,0,-288661,3.64,3.64,-123423.0,,-288661.0,227023,2.0,1047059,836932,2016年01月01日至2016年03月31日,1092363,803662,1092363,803662,382610,936776,8058297,9502882,1444585,1444585,1061975,114044,-51.0,,3.64,3.64,110999,1092363,1319386,-9.0,,-12607,8863,436,8058297,9490820,,
2016-08-04,2,2016,-123.0,6641,,,-135650,22805,120,,0.0,9026,-308706,,22685,8631,66,-308583,4.38,4.38,-134429.0,,-308583.0,267048,-95.0,1325227,812159,2016年第2季,1314585,1005879,1314585,1005879,377882,1203751,8169774,9588854,1419080,1419080,1041198,116287,-52.0,,4.38,4.38,112752,1314585,1581633,-24.0,,1115,8631,4305,8169774,9579762,,
2016-11-04,3,2016,-64.0,3680,,,-235029,23875,213,,-88.0,15814,-664755,,23662,8604,705,-664691,3.1,3.1,-229807.0,,-664691.0,195423,-25.0,1075126,565772,2016年第3季,930226,265471,930226,265471,270281,855368,7120006,8164265,1044259,1044259,773890,121394,-53.0,,3.1,3.1,86724,930226,1125649,-14.0,,0,8604,-1542,7120006,8147746,,
