date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,24995,3245,27228,29194,-0.57,-0.57,0,,1977,-1966,-16188,,19419,2013年01月01日至2013年03月31日,-158947,-131719,-157805,-147045,-138246,-18724,808179,800708,-7471,-7471,130775,63497,,,-0.57,-0.57,47859,-158947,-156970,,,30776,-1142,15326
2013-08-09,2,2013,,,-2415,6847,19371,20165,-0.71,-0.71,0.0,,-3960,-794.0,-2942,,16446,2013年04月01日至2013年06月30日,-192072,-172701,-194173,-184642,-165428,-30604,1012357,976860,-35497,-35497,129931,62544,,,-0.71,-0.71,50941,-192072,-196032,,,32094,2101,11941
2013-11-12,3,2013,,,-14508,32660,-7936,-8093,-0.42,-0.42,0.0,,-6490,157.0,4323,,28278,2013年07月01日至2013年09月30日,-117669,-125605,-115268,-119497,-111556,-12603,1058913,1088662,29749,29749,141305,67486,,,-0.42,-0.42,45541,-117669,-124159,,,35078,-2401,-6108
2014-03-27,4,2013,,,-1154,84217,55097,59401,-1.63,-1.63,0.0,,11035,-4721.0,-17864,,89626,2013年01月01日至2013年12月31日,-502354,-447257,-449725,-424663,-426497,-64822,3716248,3911944,195696,195696,622193,290378,,502.0,-1.63,-1.63,242189,-502354,-491319,,85.0,130021,-52629,-22594
2014-05-07,1,2014,,,19297,40490,-7899,-8837,0.15,0.15,,,11077,938.0,209,,23321,2014年01月01日至2014年03月31日,23923,16024,42701,37204,11237,23763,945361,1088029,142668,142668,131431,48150,,,0.15,0.15,59960,23923,35000,,,36233,-18778,-21180
2014-08-12,2,2014,,,-11493,42241,-16708,-16728,0.19,0.19,,,6208,20.0,4933,,27735,2014年第2季,56301,39593,60620,53092,57910,4599,1004377,1208915,204538,204538,146628,57473,,,0.19,0.19,61420,56301,62509,,,31082,-4319,-13499
2014-11-07,3,2014,,,-1241,3958,27651,29909,0.18,0.18,,,3094,-2258,3992,,26707,2014年第3季,52817,80468,56462,69400,77554,-21643,768681,972519,203838,203838,126284,37574,,,0.18,0.18,62003,52817,55911,,,28352,-3645,11068
2015-03-17,4,2014,,,37411,97217,30375,32172,0.38,0.38,,,22561,-3191.0,7758,,100658,2014年度,74901,105276,118390,130317,72193,25269,3440331,4056898,616567,616567,544374,186922,,1680.0,0.38,0.38,256794,74901,97462,,286.0,117117,-43489,-25041
2015-05-14,1,2015,,,-19652,7743,-10470,-9834,-0.59,-0.59,,-10470.0,-10918,,53,-636.0,30140,2015年01月01日至2015年03月31日,-220436,-230906,-196906,-201082,-195094,-36260,849800,784435,-65365,-65365,129729,32525,,,-0.59,-0.59,67064,-220436,-231354,,,24404,-23530,-29824
2015-08-10,2,2015,,,-27233,4058,-14992,-14554,-0.92,-0.92,,-14992.0,-2269,,4537,-438.0,18458,2015年第2季,-320613,-335605,-305568,-313338,-281896,-40986,964382,809941,-154441,-154441,127455,37120,,,-0.92,-0.92,71877,-320613,-322882,,,22348,-15045,-22267
2016-03-25,4,2015,924.0,70.0,-246954,26545,1790,-1287,-5.75,-5.75,,866.0,-18263,,8003,2083.0,94239,2015年度,-1930831,-1929041,-1852172,-1850375,-1646286,-302808,3696263,2560885,-1135378,-1135378,510908,150275,1113.0,,-5.75,-5.75,266394,-1930831,-1949094,189.0,,90402,-78659,-78666
2016-05-10,1,2016,,-71.0,57168,2093,-11172,-14650,-1.2,-1.2,,-11172.0,0,,143,3549.0,12846,2016年01月01日至2016年03月31日,-377768,-388940,-368274,-372816,-415944,38176,663136,351124,-312012,-312012,103932,32782,,,-1.2,-1.2,58304,-377768,-377768,,,21228,-9494,-16124
2016-08-10,2,2016,,7.0,-16573,4863,-20694,-28147,-1.37,-1.37,,-20694.0,-5302,,-4954,7446.0,15902,2016年第2季,-426886,-447580,-421160,-424753,-394810,-37378,652249,347917,-304332,-304332,90478,30432,,,-1.37,-1.37,44144,-426886,-432188,,,20714,-5726,-22827
2016-11-11,3,2016,,-76,-32026,2054,-22246,-22170,-1.18,-1.18,,-22246,0,,0,0,13220,2016年第3季,-365846,-388092,-360965,-371643,-315811,-50035,597979,367489,-230490,-230490,85321,26562,,,-1.18,-1.18,45539,-365846,-365846,,,20063,-4881,-16449
