date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,,4988,1731,,32489,39187,0.27,0.27,,10757,,163911,2013年01月01日至2013年03月31日,,45297,77786,45254,77958,55921,133,800410,1351234,550824,550824,494903,188735,,,0.26,0.26,142257,45297,56054,,6698.0,,6586,43,-172
2013-08-08,2,2013,,,14024,5406,,18502,15642,1.0,1.0,,36606,,181493,2013年04月01日至2013年06月30日,,171696,190198,171486,190221,194758,13544,1068538,1816428,747890,747890,553132,204567,,,1.0,1.0,167072,171696,208302,,-2860.0,,5886,210,-23
2013-10-30,3,2013,,,-1503,2632,2632.0,-13009,-15667,0.69,0.69,,31571,,183350,2013年07月01日至2013年09月30日,,119272,106263,118527,105556,153401,-2558,1020495,1710158,689663,689663,536262,202080,,,0.69,0.69,150832,119272,150843,,-2658.0,,3687,745,707
2014-03-12,4,2013,,,20409,14062,14062.0,40970,69080,2.43,2.43,,114434,,725005,2013年01月01日至2013年12月31日,,415844,456814,414797,456604,514981,15297,3848805,6479834,2631029,2631029,2116048,817700,,-19547.0,2.4,2.4,573343,415844,530278,,8563.0,,19174,1047,210
2014-04-28,1,2014,,,10491,3787,,30296,36450,0.63,0.63,,29167,,195551,2014年01月01日至2014年03月31日,,108677,138973,107766,137816,126143,11701,939252,1669323,730071,730071,603928,248675,,,0.62,0.62,159702,108677,137844,,6154.0,,2577,911,1157
2014-07-29,2,2014,,,-15619,11331,11331.0,-35395,-42638,1.09,1.09,,65492,,212005,2014年第2季,,200561,165166,200038,164676,273658,-7605,1317808,2254937,937129,937129,663471,250354,,,1.08,1.08,201112,200561,266053,,-7243.0,,3317,523,490
2014-10-30,3,2014,,,8905,10986,10986.0,6439,7840,0.83,0.83,,52030,,196888,2014年第3季,,151951,158390,152038,158875,187348,16633,1195304,2037800,842496,842496,655148,270926,,,0.82,0.82,187334,151951,203981,,1401.0,,3258,-87,-485
2015-03-05,4,2014,,,30271,48697,48697.0,64833,70657,3.21,3.21,,164964,,838708,2014年度,,590109,654942,588442,653789,691138,63935,4701195,8047304,3346109,3346109,2654971,1075158,,7559.0,3.17,3.17,741105,590109,755073,,13383.0,,15033,1667,1153
2015-04-29,1,2015,,,-25490,9108,9108.0,-52054,-62691,1.03,1.03,-52054.0,56989,,218482,2015年01月01日至2015年03月31日,,190258,138204,189376,137445,269017,-21770,1207842,2184177,976335,976335,707318,276116,,,1.02,1.02,212720,190258,247247,,,-10637.0,5388,882,759
2015-08-03,2,2015,,,-12694,11642,,-12871,-15461,0.82,0.82,-12871.0,51068,,216562,2015年第2季,,164643,151772,164212,151567,220983,-5272,1438346,2393703,955357,955357,734374,313664,,,0.81,0.81,204148,164643,215711,,,-2590.0,4220,431,205
2015-11-02,3,2015,,2423.0,30161,11277,,85170,99554,0.78,0.78,85170.0,31840,,219718,2015年第3季,,157257,242427,156621,241101,152661,36436,1417655,2333149,915494,915494,762833,346958,,,0.78,0.78,196157,157257,189097,,,16807.0,5002,636,1326
2016-03-10,4,2015,-6401.0,1021.0,-42275,46293,,-10675,-6434,3.03,3.03,-4274.0,160247,,883728,2015年度,,608604,597929,607152,596211,785403,-16552,5321609,9068123,3746514,3746514,2961111,1301422,-7711.0,,3.0,3.0,775961,608604,768851,-1310.0,,-1139.0,20570,1452,1718
2016-04-28,1,2016,,-942.0,4692,15201,,-58263,-69148,0.26,0.26,-58263.0,13047,,265656,2016年01月01日至2016年03月31日,,57038,-1225,56880,-1807,55804,14281,1125614,2063601,937987,937987,882183,373297,,,0.26,0.26,243230,57038,70085,,,-11827.0,5612,158,582
2016-07-28,2,2016,,-19.0,-13068,4094,,-42741,-51650,0.43,0.43,-42741.0,14174,,266909,2016年第2季,,92636,49895,92945,49340,119323,-12513,1340996,2347277,1006281,1006281,886958,383385,,,0.43,0.43,236664,92636,106810,,,-8928.0,3539,-309,555
2016-10-27,3,2016,,-60.0,-57971,9429,,-79010,-95100,0.23,0.23,-79010.0,14828,-1230.0,241689,2016年第3季,524.0,49394,-29616,49378,-29531,117410,-53188,1333020,2302493,969473,968949,851539,398350,,,0.23,0.23,211500,49394,64222,,,-16150.0,3416,16,-85
