date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,34510,,,3627,8375,105617,65352,0.08,0.08,,2298,,5755.0,-3341,,16799,2013年01月01日至2013年03月31日,9949,115566,9949,115566,5776,6471,723228,800100,76872,76872,71096,18693,,,0.08,0.08,35604,9949,12247,,,2190,0.0,0.0
2013-08-07,2,2013,,72660,,,-5127,10888,120343,38398,0.22,0.22,,13948,,9285.0,-270,,19391,2013年04月01日至2013年06月30日,27653,147996,27653,147996,38037,3564,1112112,1230669,118557,118557,80520,20387,,,0.22,0.22,40742,27653,41601,,,1927,0.0,0.0
2013-11-12,3,2013,,47942,,,-9706,30657,30306,-27276,0.65,0.65,,43819,,9640.0,5170,,25366,2013年07月01日至2013年09月30日,82641,112947,82641,112947,101898,24562,1239192,1436712,197520,197520,95622,25877,,,0.65,0.65,44379,82641,126460,,,1559,,
2014-03-19,4,2013,,233714,,,-17244,59580,397754,120355,1.49,1.49,,84516,,42301.0,7424,,85019,2013年01月01日至2013年12月31日,189298,587052,189298,587052,231229,42585,4197671,4780858,583187,583187,351958,96431,,1668.0,1.47,1.47,170508,189298,273814,,284.0,7175,,
2014-05-07,1,2014,,-11568,,,109,12139,-16040,-10289,0.56,0.56,,21909,,5817,5327,,19972,2014年01月01日至2014年03月31日,70721,54681,70721,54681,76345,16285,1127431,1300035,172604,172604,96259,26064,,,0.55,0.55,50223,70721,92630,,,1290,,
2014-08-08,2,2014,,-33876,,,-1457,15470,-79490,-42007,0.63,0.63,,32917,,-3607.0,3786,,21049,2014年第2季,79490,0,79490,0,96125,16282,1237639,1435494,197855,197855,101730,25177,,,0.62,0.62,55504,79490,112407,,,1517,,
2014-11-05,3,2014,,-27787,,,-18302,45788,26729,59456,0.95,0.95,,34539,,-4940,5891,,27010,2014年第3季,120817,147546,120817,147546,123892,31464,1282517,1513020,230503,230503,106611,30517,,,0.94,0.94,49084,120817,155356,,,1913,,
2015-03-19,4,2014,,-88934,0.0,0.0,-40219,88747,-8138,84742,2.43,2.43,,95852,,-5644.0,15452,,94457,2014年度,308496,300358,308496,300358,346735,57613,4652951,5374179,721228,721228,374493,112361,,2046.0,2.39,2.39,167675,308496,404348,,348.0,6367,0.0,0.0
2015-05-12,1,2015,,-9415,,,440,10629,-3795,1629,0.52,0.52,-3795.0,26461,,,1372,3991.0,32574,2015年01月01日至2015年03月31日,65598,61803,65598,61803,80567,11492,1095056,1271678,176622,176622,96055,25143,,,0.51,0.51,38338,65598,92059,,,949,,
2015-08-11,2,2015,,-87761,,,2503,11056,-125403,-23627,0.66,0.66,-125403.0,35314,,,3372,-14015.0,33074,2015年第2季,84190,-41213,84190,-41213,103140,16364,1140461,1348125,207664,207664,104524,30357,,,0.65,0.65,41093,84190,119504,,,567,,0.0
2015-11-09,3,2015,,328,,,35894,42114,49393,54851,1.11,1.11,49393.0,75423,,,13347,-5786.0,25436,2015年第3季,140609,190002,140609,190002,132566,83466,1175336,1418168,242832,242832,110266,34594,,,1.09,1.09,50236,140609,216032,,,7889,,
2016-03-22,4,2015,-447.0,-89246,,,34657,83525,-116128,-11187,2.31,2.31,-115681.0,148682,-392.0,,19383,-15248.0,111880,2015年度,293600,177472,293600,177472,313992,128290,4136055,4864840,728785,728785,414793,133212,-66.0,,2.26,2.26,169701,293600,442282,-11.0,,9275,,
2016-08-10,2,2016,,-10921,,,7483,6675,-73140,-51087,0.56,0.56,-73140.0,34067,,,2474,-11132.0,19596,2016年第2季,71417,-1723,71417,-1723,88852,16632,951788,1127682,175894,175894,87042,26170,,,0.55,0.55,41276,71417,105484,,,0,,
2016-11-08,3,2016,,4562,,,-173,32726,-73779,-79933,1.02,1.02,-73779.0,43709,,,11211,1592.0,24028,2016年第3季,130194,56415,130194,56415,130139,43764,1092948,1325018,232070,232070,101931,27472,,,1.01,1.01,50431,130194,173903,,,0,,
