date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,18,-7677,1769,1769.0,115,97,-0.39,,-2438,,,0.0,1540,2013年01月01日至2013年03月31日,-18838,-18723,,-18838,-18723,-15337,-5939,9736,5790,-3946,-3946,11391,1341,,,8510,-18838,-21276,,0.0,,31,,0,0
2013-08-07,2,2013,,,-7,-2431,552,,-24,-17,-0.16,,-1704,,,0.0,979,2013年04月01日至2013年06月30日,-7915,-7939,,-7915,-7939,-7273,-2346,12112,12398,286,286,7559,1046,,,5534,-7915,-9619,,,,467,,0,0
2013-11-07,3,2013,,,1,272,6643,,139,138,0.02,,-1240,,,0.0,987,2013年07月01日至2013年09月30日,768,907,,768,907,-7214,6742,10394,9991,-403,-403,6811,1040,,,4784,768,-472,,,,173,,0,0
2014-03-25,4,2013,,,18,-9907,32462,,188,170,-0.27,,-3434,,,0.0,4615,2013年01月01日至2013年12月31日,-13267,-13079,,-13267,-13079,-38355,21654,37469,32727,-4742,-4742,33613,4433,,,24565,-13267,-16701,,,,901,,0,0
2014-05-12,1,2014,,,-12,-633,678,678.0,-81,-69,-0.16,,-1557,,,,1092,2014年01月01日至2014年03月31日,-7946,-8027,,-7946,-8027,-9267,-236,10053,7174,-2879,-2879,6388,1025,,,4271,-7946,-9503,,,,281,,0,0
2014-08-11,2,2014,,,13,313,27759,,76,63,0.42,,6067,,,,2904,2014年第2季,39365,39441,,28206,28282,17494,27938,51191,82817,31626,31626,14132,948,,,10280,39365,45432,,,,134,,11159,11159
2014-11-10,3,2014,,,-1,-2943,349,,-54,-53,0.03,,8313,,,,4174,2014年第3季,21120,21066,,1515,1461,32810,-3377,76728,129521,52793,52793,19983,988,,,14821,21120,29433,,,,783,,19605,19605
2015-03-23,4,2014,,,-4,-10689,21831,,-177,-173,0.04,,32203,,,,14345,2014年度,51314,51137,,2754,2577,74356,9161,207465,351644,144179,144179,69823,4340,,,51138,51314,83517,,,,1981,,48560,48560
2015-05-06,1,2015,0.0,0.0,9,-38,37,,38,29,0.17,38.0,9543,0.0,0.0,,5635,2015年01月01日至2015年03月31日,36369,36407,0.0,13102,13140,47226,-1314,69595,135537,65942,65942,18716,1082,0.0,0.17,11999,36369,45912,0.0,,0.0,1313,0.0,23267,23267
2015-08-10,2,2015,0.0,0.0,125,-21014,1817,,161,36,-0.12,161.0,8929,0.0,0.0,,5049,2015年第2季,11544,11705,0.0,-9399,-9238,41641,-21168,74129,136027,61898,61898,20257,1092,0.0,-0.12,14116,11544,20473,0.0,,0.0,1971,0.0,20943,20943
2015-11-09,3,2015,0.0,0.0,270,-4470,1854,,105,-165,0.09,105.0,8708,0.0,0.0,,7301,2015年第3季,27959,28064,0.0,6532,6637,40855,-4188,101902,162409,60507,60507,19652,748,0.0,0.09,11603,27959,36667,0.0,,0.0,1572,0.0,21427,21427
2016-03-17,4,2015,,,-27,-25047,6690,,-74,-47,0.07,-74.0,45010,,,,25106,2015年度,87675,87601,,5445,5371,157499,-24814,369869,609711,239842,239842,82343,3716,,0.07,53521,87675,132685,,,,6457,,82230,82230
2016-05-09,1,2016,0.0,0.0,0,145,783,,-2,-2,0.01,-2.0,6670,0.0,0.0,,5997,2016年01月01日至2016年03月31日,12582,12580,0.0,944,942,19866,-614,77651,115010,37359,37359,17493,2182,0.0,0.01,9314,12582,19252,0.0,,0.0,1542,0.0,11638,11638
2016-08-09,2,2016,,,0,-40,123,,7,7,-0.08,7.0,3317,,,-752.0,6106,2016年第2季,1643,1650,,-6202,-6195,7133,-2173,67816,95973,28157,28157,21024,2623,,-0.08,12295,1643,4960,,,,1504,,7845,7845
2016-11-09,3,2016,,,0,-81,1267,,-190,-190,-0.01,-190.0,4780,,,-154.0,9477,2016年第3季,10293,10103,,-577,-767,15106,-33,78625,114475,35850,35850,20744,2571,,-0.01,8696,10293,15073,,,,1065,,10870,10870
