date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額
2013-05-07,1,2013,,71046,10205,3847,71046,,0.99,0.99,,20368,209.0,14371,2013年01月01日至2013年03月31日,83019,154065,83019,154065,91134,12253,557370,686012,128642,128642,37508,4790,,,0.87,0.87,18347,83019,103387,,,2008
2013-08-08,2,2013,,72732,5078,3945,72813,81.0,0.77,0.77,,13751,0.0,14703,2013年04月01日至2013年06月30日,81063,153876,81063,153876,86869,7945,544462,672946,128484,128484,41615,4380,,,0.77,0.77,22532,81063,94814,,,1078
2013-10-31,3,2013,,-41701,93240,14171,-41774,-73.0,1.04,1.04,,8039,0.0,15074,2013年07月01日至2013年09月30日,110460,68686,110460,68686,11567,106932,405153,468144,62991,62991,51424,4229,,,1.03,1.03,32121,110460,118499,,,479
2014-03-13,4,2013,,80257,85015,27452,80444,42.0,2.89,2.89,,45394,209.0,59132,2013年01月01日至2013年12月31日,289775,370219,289775,370219,226774,108395,2050802,2443691,392889,392889,166115,19447,,145.0,2.85,2.85,87536,289775,335169,,,4281
2014-05-08,1,2014,,11603,8737,4334,11694,91.0,0.27,0.27,,-643,0.0,18274,2014年01月01日至2014年03月31日,29068,40762,29068,40762,17688,10737,682949,741835,58886,58886,41198,3840,,,0.26,0.26,19084,29068,28425,,,2334
2014-08-06,2,2014,,5484,-3257,3944,5408,-76.0,0.06,0.06,,2098,0.0,17642,2014年第2季,6519,11927,6519,11927,10119,-1502,656411,705488,49077,49077,38958,4308,,,0.08,0.08,17008,6519,8617,,,2189
2014-11-06,3,2014,,-36459,-2638,16171,-36395,64.0,-0.06,-0.06,,-547,0.0,15788,2014年第3季,-5954,-42349,-5954,-42349,-17854,11353,386941,406913,19972,19972,37826,4867,,,-0.06,-0.06,17171,-5954,-6501,,,2180
2015-03-12,4,2014,,-18052,14123,32357,-16217,237.0,0.14,0.14,,585,0.0,58713,2014年度,15304,-913,15304,-913,-21256,37145,2112712,2235930,123218,123218,144474,21449,,1911.0,0.14,0.14,64312,15304,15889,,313.0,9335
2015-05-06,1,2015,,14491,1097,4099,14450,-41.0,-0.16,-0.16,14450.0,1329,,7119,2015年01月01日至2015年03月31日,-16891,-2441,-16891,-2441,-18144,2582,339509,352329,12820,12820,30964,11969,,,-0.16,-0.16,11876,-16891,-15562,,,2614
2015-08-04,2,2015,,-52477,-479,4333,-52528,-51.0,-0.17,-0.17,-52528.0,302,,6534,2015年第2季,-18012,-70540,-18012,-70540,-19076,1366,209485,216225,6740,6740,25816,7445,,,-0.17,-0.17,11837,-18012,-17710,,,2488
2015-11-05,3,2015,,-21991,6199,8675,-21296,695.0,-0.19,-0.19,-21296.0,719,,6400,2015年第3季,-20059,-41355,-20059,-41355,-31832,12492,162673,157437,-5236,-5236,26596,6439,,,-0.19,-0.19,13757,-20059,-19340,,,2382
2016-03-18,4,2015,2688.0,-54736,863,26686,-51191,857.0,-0.96,-0.96,-53879.0,15345,,30117,2015年度,-103453,-154644,-103453,-154644,-105792,17684,832131,834909,2778,2778,108570,34544,3239.0,,-0.96,-0.96,43909,-103453,-88108,551.0,,9865
2016-05-03,1,2016,,11691,9686,21926,10986,-705.0,0.21,0.21,10986.0,811,,1001,2016年01月01日至2016年03月31日,22141,33127,22141,33127,-6253,29205,33656,39912,6256,6256,12509,4606,,,0.2,0.2,6902,22141,22952,,,2407
2016-08-08,2,2016,,20263,-8049,23754,20023,-240.0,0.05,0.05,20023.0,427,,620,2016年第2季,5385,25408,5385,25408,-8048,13860,21998,25842,3844,3844,11892,4144,,,0.05,0.05,7128,5385,5812,,,1845
2016-11-01,3,2016,,23936,30066,16571,23003,-933.0,0.29,0.29,23003.0,20,,79,2016年第3季,30290,53293,30290,53293,-14528,44838,87390,91756,4366,4366,18894,11485,,,0.26,0.26,7330,30290,30310,,,1799
