date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,14514,442,,9088,,,10949,0.06,,,-150,,,,6986,2013年01月01日至2013年03月31日,,6574,15662,6560,15648,-4819,11243,1171171,1206462,35291,35291,40110,,1461,,,0.06,31663,6574,6424,1861.0,,,3713,14,14
2013-08-09,2,2013,,,1087,456,,5477,,,6599,-0.89,,,537,,,,6135,2013年04月01日至2013年06月30日,,-91731,-86254,-91731,-86254,-90830,-364,1250896,1195298,-55598,-55598,35232,,1339,,,-0.89,27758,-91731,-91194,1122.0,,,1907,0,0
2013-11-04,3,2013,,,-1669,740,,-3578,,,-4311,0.84,,,512,,,,4799,2013年07月01日至2013年09月30日,,86985,83407,86986,83408,91444,-3947,884794,1008562,123768,123768,32324,,703,,,0.84,26822,86985,87497,-733.0,,,3018,-1,-1
2014-03-21,4,2013,,,15700,2487,,42385,,,19364,-0.61,,,-10602,,,,22492,2013年01月01日至2013年12月31日,,-62964,-20579,-62975,-20616,-82698,9132,4252272,4311810,59538,59538,142236,,3565,,26313.0,,116179,-62964,-73566,3292.0,,,9055,11,37
2014-05-07,1,2014,,,3803,387,,-1382,,,-1665,0.12,,,4798,,,,3659,2014年01月01日至2014年03月31日,,12077,10695,12078,10696,13614,3261,614414,661912,47498,47498,33884,,0,,,0.12,30225,12077,16875,-283.0,,,929,-1,-1
2014-08-07,2,2014,,,-693,405,,-4519,,,-5445,0.01,,,1913,,,,4599,2014年第2季,,1280,-3239,1283,-3236,4455,-1262,602460,639967,37507,37507,33052,,360,,,0.01,28093,1280,3193,-926.0,,,974,-3,-3
2014-11-04,3,2014,,,13,299,,7330,,,8832,0.05,,,2478,,,,4419,2014年第3季,,4842,12172,4841,12171,8136,-816,616584,657955,41371,41371,33235,,974,,,0.05,27842,4842,7320,1502.0,,,1128,1,1
2015-03-09,4,2014,,,7400,1980,,9275,,,10998,0.36,,,12719,,,,16385,2014年度,,37463,46738,37470,46745,47347,2835,2707861,2882357,174496,174496,127149,,2396,,146.0,0.36,108368,37463,50182,1869.0,,,6545,-7,-7
2015-05-12,1,2015,,,-3355,665,,-2845,,,-3428,0.08,,-2845.0,2771,,,,3151,2015年01月01日至2015年03月31日,,8686,5841,8685,5840,15176,-3719,715253,759412,44159,44159,28983,,1021,,,0.08,24811,8686,11457,,-583.0,,1029,1,1
2015-08-03,2,2015,,,-8910,575,,-3563,,,-4293,-0.35,,-3563.0,-6650,,-125.0,,3401,2015年第2季,,-35735,-39298,-35735,-39298,-32704,-9681,613090,609914,-3176,-3176,29528,,892,,,-0.35,25235,-35735,-42385,,-730.0,,1221,0,0
2015-11-10,3,2015,,,8624,539,,10189,,,12276,-0.23,,10189.0,0,,512.0,,2810,2015年第3季,,-23414,-13225,-23414,-13225,-31863,8449,452033,447378,-4655,-4655,27208,,668,,,-0.23,23730,-23414,-23414,,2087.0,,1226,0,0
2016-03-29,4,2015,2855.0,,-2897,2593,0.0,-2039,,,-5897,-1.23,0.0,-4894.0,-3943,,818.0,,11979,2015年度,0.0,-127272,-129311,-127275,-129314,-125150,-6065,2331231,2317258,-13973,-13973,111177,,3136,2855.0,,-1.23,96062,-127272,-131215,,-1003.0,,6579,3,3
2016-05-09,1,2016,,,-2936,492,,-938,,,-1130,-0.1,,-938.0,0,,2712.0,,2369,2016年01月01日至2016年03月31日,,-9809,-10747,-9809,-10747,-8571,-1238,572527,590578,18051,18051,26622,,557,,,0.1,23696,-9809,-9809,,-192.0,,1506,0,0
2016-08-09,2,2016,,,1510,760,,-5737,,,-6912,0.24,,-5737.0,359,,-726.0,,2461,2016年第2季,,24283,18546,24283,18546,24674,-32,674486,727058,52572,52572,27898,,412,,,0.24,25025,24283,24642,,-1175.0,,1576,0,0
2016-11-09,3,2016,0.0,0.0,-2804,499,,-6527,0.0,0.0,-7863,-0.19,,-6527.0,-359,0.0,-478.0,0.0,2403,2016年第3季,,-20117,-26644,-20116,-26643,-15707,-4769,654614,669160,14546,14546,30253,0.0,437,,,-0.19,27413,-20117,-20476,,-1336.0,0.0,1986,-1,-1
