date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,4641,-58633,36582,21352,9644,155.0,,128044,3831,9541,186677,0.26,0.26,33062,,42806,,170147,-170147,,66556,2013年01月01日至2013年03月31日,229687,357731,229687,357731,,394247,-121754,3018134,3544934,526800,526800,132553,31817,,,7877,0.26,0.26,34180,229687,272493,,,,4665,9541,3496,3017979,3544934,,
2013-08-14,2,2013,,5082,99686,40363,18396,5813,0.0,5933.0,151921,4697,10481,52235,0.17,0.17,43557,,42496,,54049,-54049,,83536,2013年04月01日至2013年06月30日,148400,300321,148400,300321,,196667,-5771,3263452,3621451,357999,357999,161332,34331,,,7886,0.17,0.17,43465,148400,190896,,,,0,10481,1888,3263452,3615518,,
2013-11-11,3,2013,,5920,105719,-1815,91510,11375,0.0,8608.0,61878,6197,12989,-43841,0.62,0.62,2102,,86050,,10190,-10190,,84660,2013年07月01日至2013年09月30日,534886,596764,534886,596764,,554420,66516,3612488,4327649,715161,715161,160741,32902,,,7877,0.61,0.61,43179,534886,620936,66061.0,,,0,12989,2003,3612488,4319041,,
2014-03-12,4,2013,,48216,241293,51424,188801,69037,0.0,10491.0,541162,21766,46845,47466,1.45,1.45,100826,,273471,254955.0,283275,-283275,,322102,2013年01月01日至2013年12月31日,1265296,1806458,1265296,1806458,20000.0,1628662,-89895,13171387,15433937,2262550,2262550,633888,133678,,-3075.0,31526,1.45,1.45,178108,1265296,1538767,66472.0,,-523.0,7398,46845,11416,13171387,15423446,,
2014-05-12,1,2014,,5523,-36648,14879,43960,23418,8902.0,,-47676,10400,14152,-23091,0.06,0.06,-14236,,1537,12063.0,247165,-247165,,73872,2014年01月01日至2014年03月31日,48470,794,48748,14034,,252485,-202478,3209217,3604228,395011,395011,142526,34645,,,10142,0.06,0.06,34009,48470,50007,,,,22792,14152,11846,3200315,3604228,-278.0,-13240.0
2014-08-13,2,2014,,7308,234699,20546,40238,17757,-8902.0,9970.0,57590,14630,15255,-113092,0.08,0.08,6366,,18061,-64017.0,112097,-112097,,89902,2014年第2季,63389,120979,73247,176807,,148018,-66568,3505849,3858488,352639,352639,204621,33696,,,7851,0.08,0.08,81023,63389,81450,,,,20361,15255,1127,3514751,3848518,-9858.0,-55828.0
2014-11-05,3,2014,,5725,-182814,79568,117363,29654,,9885.0,74845,20557,17366,175146,0.17,,8249,,4121,82513.0,68547,-68547,,86088,2014年第3季,131374,206219,150156,151604,,24477,111018,3065465,3290134,224669,224669,200192,33500,,,7871,0.17,,80604,131374,135495,59281.0,,,83144,17366,-6100,3065465,3280249,-18782.0,54615.0
2015-03-18,4,2014,,71451,-20160,145250,281019,103380,,17543.0,520840,65243,68712,372588,0.13,,26135,,-20322,180124.0,700215,-700215,,348423,2014年度,63363,584203,115882,481285,0.0,385699,-342658,12961399,14126334,1164935,1164935,779236,132812,,-14111.0,37621,0.13,,298001,63363,43041,74775.0,,-2399.0,181273,68712,9293,12961399,14108791,-52519.0,102918.0
2015-04-28,1,2015,,10027,-20448,53312,43424,14937,0.0,1589.0,-172290,19274,21705,-105619,0.05,0.05,2978,-172290.0,-24455,,99077,-99077,-46223.0,68838,2015年01月01日至2015年03月31日,37475,-134815,46471,-80750,,37066,-24046,2610229,2839952,229723,229723,192657,32342,,,9213,0.05,0.05,91477,37475,13020,,,,60991,21705,-630,2610229,2838363,-8996.0,-54065.0
2015-08-13,2,2015,,79154,-105283,-68874,116338,90980,0.0,1841.0,-200950,15205,19845,-66620,0.47,,11867,-200950.0,87792,,66005,-66005,-29047.0,96426,2015年第2季,395810,194860,410945,238274,,521988,-38386,3322691,4070256,747565,747565,225577,39211,,,10153,0.47,,89940,395810,483602,,,,0,19845,-1587,3322691,4068415,-15135.0,-43414.0
2015-11-10,3,2015,,33532,-164920,-415885,186606,98323,,31201.0,56684,5726,20608,155911,-0.26,-0.26,-381693,56684.0,-46160,,282640,-282640,65693.0,103774,2015年第3季,-371719,-315035,-234779,-246018,,114648,-532527,3267676,3574988,307312,307312,192664,33782,,,7955,-0.26,-0.26,55108,-371719,-417879,74602.0,,,1673,20608,-2333,3267676,3543787,-136940.0,-69017.0
2016-03-17,4,2015,-42683.0,76397,-372338,-446577,258686,92950,,37345.0,-639730,45802,85408,-157527,-0.14,-0.14,-435309,-597047.0,-30829,,606803,-606803,-67182.0,379172,2015年度,-314617,-954347,-119952,-692005,,534656,-880102,12563778,13924475,1360697,1360697,826041,134459,-51363.0,,31130,-0.14,-0.14,312410,-314617,-345446,88804.0,-8680.0,,62665,85408,2464,12563778,13887130,-194665.0,-262342.0
2016-05-09,1,2016,,56452,-5934,-117605,68739,56493,3125.0,0.0,-130577,2197,26014,-90083,-0.11,-0.11,-64127,-130577.0,-23204,,128325,-128325,-34560.0,80767,2016年01月01日至2016年03月31日,-136182,-266759,-94972,-185649,,43819,-203205,3211320,3435600,224280,224280,180461,33224,,,10049,-0.11,-0.11,66470,-136182,-159386,,,,0,26014,2974,3208195,3435600,-41210.0,-81110.0
2016-08-09,2,2016,,7895,-60631,-84756,60871,34014,325.0,0.0,-246979,6151,50182,-134052,-0.28,-0.28,-76918,-246979.0,-58310,,106715,-106715,-52296.0,99212,2016年第2季,-338982,-585961,-243422,-430831,,-216510,-180782,3954881,3925592,-29289,-29289,187221,33806,,,5843,-0.28,-0.28,54203,-338982,-397292,14863.0,,,0,50182,57,3954556,3925592,-95560.0,-155130.0
2016-11-07,3,2016,,-13538,-10754,-46617,59546,-10862,0.0,15095.0,-278437,3872,98736,-193605,-0.33,-0.33,-59287,-278437.0,-51453,,157574,-157574,-74078.0,112711,2016年第3季,-417371,-695808,-285103,-477883,,-225443,-243381,5290093,5255873,-34220,-34220,191223,31409,,,7905,-0.33,-0.33,47103,-417371,-468824,58631.0,,,0,98736,-868,5290093,5240778,-132268.0,-217925.0
