date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-13127,38562,8671,5419,18546,-0.26,,21904,-717.0,36950,2013年01月01日至2013年03月31日,-5592,-173,-75446,-70666,-14856,31168,1843685,1967839,124154,124154,139010,45240,,,-0.26,56820,-5592,16312,15348,2333.0,1973065.0,1967839.0,2893.0,69854,70493
2013-08-12,2,2013,,11867,-70692,33598,2095,-9772,-0.24,,11134,-414.0,28259,2013年04月01日至2013年06月30日,-20252,-18157,-71952,-70525,43782,-52900,1944020,2127281,183261,183261,139479,50217,,,-0.24,61003,-20252,-9118,15392,,,,,51700,52368
2013-11-13,3,2013,,28810,-138922,15100,22024,-6786,-0.58,,40948,-466.0,26937,2013年07月01日至2013年09月30日,-140953,-118929,-169537,-147130,40081,-140086,1678770,1847820,169050,169050,128969,40319,,,-0.58,61713,-140953,-100005,15798,,,1847820.0,,28584,28201
2014-03-26,4,2013,,27940,-538947,47714,25094,-6596,-2.43,,105062,-2448.0,133279,2013年01月01日至2013年12月31日,-467693,-442599,-708988,-685423,194952,-557583,7775407,8554816,779409,779409,584457,201348,,3750.0,-2.43,249830,-467693,-362631,63902,,,,,241295,242824
2014-05-13,1,2014,,46213,216345,5996,50940,4727,0.88,,52183,93.0,47397,2014年01月01日至2014年03月31日,417314,468254,259496,310857,260292,209205,2692874,3130821,437947,437947,177655,46889,,,0.8,83369,417314,469497,13229,,,,,157818,157397
2014-08-13,2,2014,,-9989,89931,9531,-14962,-4973,0.04,,40771,122.0,74101,2014年第2季,124379,109417,12127,-2067,81622,83528,3248494,3623452,374958,374958,293336,52847,,,0.04,166388,124379,165150,16056,,,,,112252,111484
2014-11-10,3,2014,,-60931,27847,26730,-54843,6088,-0.57,,54065,60.0,72918,2014年第3季,-8160,-63003,-176029,-232265,20299,25606,2759904,2979383,219479,219479,199180,54887,,,-0.57,71375,-8160,45905,29031,,,2979383.0,,167869,169262
2015-03-25,4,2014,,-24553,401090,66244,-6894,3683,0.01,,244383,42.0,284190,2014年度,671280,664386,3400,-7414,536771,378892,11816823,13287077,1470254,1470254,933483,225196,,13976.0,0.01,424097,671280,915663,88484,,,,,667880,671800
2015-05-12,1,2015,,-17519,-104306,9995,-18849,-1330,-0.34,-18849.0,93278,0.0,56435,2015年01月01日至2015年03月31日,55454,36605,-103944,-122518,279287,-130555,3079474,3543403,463929,463929,184642,51274,,,-0.34,76933,55454,148732,36244,,,,,159398,159123
2015-08-11,2,2015,,466,-156699,14397,-10892,-11358,-0.62,-10892.0,120763,0.0,57635,2015年第2季,-6152,-17044,-190538,-197652,299379,-184768,3650218,4143257,493039,493039,193660,55719,,,-0.62,80306,-6152,114611,42466,,,,,184386,180608
2015-11-11,3,2015,,-23393,197621,52771,-979,22414,0.44,-979.0,187272,0.0,114921,2015年第3季,555804,554825,134344,123195,540298,202778,4378911,5202934,824023,824023,283725,59678,,,0.4,109126,555804,743076,47614,,,5202934.0,,421460,431630
2016-03-29,4,2015,-6644.0,-41762,-177908,92391,-48606,-200,0.01,-41962.0,598233,0.0,293139,2015年度,1098406,1049800,4344,-46261,1958648,-262009,15927978,18789504,2861526,2861526,902878,233297,-6644.0,,0.01,376442,1098406,1696639,176492,,,,,1094062,1096061
2016-05-12,1,2016,,474918,-43354,17832,476663,1745,0.71,476663.0,157788,,67944,2016年01月01日至2016年03月31日,511965,988628,237099,581585,746605,-76852,4556804,5554693,997889,997889,251284,56222,,,0.68,127118,511965,669753,51330,,,,,274866,407043
2016-08-11,2,2016,,7362,-93279,66503,16761,9399,0.25,16761.0,217442,,94261,2016年第2季,273906,290667,84515,91610,579615,-88267,4297778,5150649,852871,852871,273256,59639,,,0.24,119356,273906,491348,61491,,,,,189391,199057
2016-11-10,3,2016,,-47280,349024,59844,-116511,-69231,-0.45,-116511.0,154394,,52719,2016年第3季,95945,-20566,-153421,-219810,-23785,274124,3279294,3478962,199668,199668,223453,64143,,,-0.45,106591,95945,250339,134744,,,3478962.0,,249366,199244
