date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,1270.0,1778,4078,,9357,8254,0.0,,,2107,,-167.0,167,,89730,2013年01月01日至2013年03月31日,-677,8680,675,10032,-3994,5424,476011,615830,139819,139819,143813,21524,,,,32559,-677,,1430,,,599,-1352,-1352
2013-08-08,2,2013,,6085.0,-2247,8088,,8365,3598,0.0,,,3879,,-1318.0,363,,88552,2013年04月01日至2013年06月30日,-1945,6420,530,8895,-3734,5668,332794,471765,138971,138971,142705,20839,,,,33314,-1945,,1934,,,536,-2475,-2475
2013-11-07,3,2013,,0.0,42075,11959,,-3350,-2360,-0.12,,,-5424,,-990.0,539,,89897,2013年07月01日至2013年09月30日,-22200,-25550,-21752,-25102,-82127,54503,485995,539381,53386,53386,135513,20161,,,,25455,-22200,,-27624,,,70,-448,-448
2014-03-25,4,2013,,19496.0,31017,31807,2556.0,26273,12674,-0.07,,,3264,,-4127.0,1224,,392056,2013年01月01日至2013年12月31日,-18513,7760,-13666,12607,-78292,63043,1704005,2229386,525381,525381,606229,90561,,-2132.0,,123612,-18513,,-15249,,-362.0,1005,-4847,-4847
2014-05-13,1,2014,,0.0,4964,3460,,729,-570,0.02,,,2195,,1299.0,-440,,86509,2014年01月01日至2014年03月31日,3467,4196,3463,4192,-2322,7984,266847,400946,134099,134099,136421,24887,,,,25025,3467,,5662,,,0,4,4
2014-08-12,2,2014,,0.0,2491,4671,,-1605,-3027,0.05,,,2343,,1422.0,3432,,87798,2014年第2季,8460,6855,8499,6894,453,10350,280766,420259,139493,139493,139040,26302,,,,24940,8460,,10803,,,244,-39,-39
2014-11-12,3,2014,,0.0,-8689,7744,,1609,4325,0.01,0.01,,1606,,-2716.0,3375,,89874,2014年第3季,2688,4297,2733,4342,1997,2297,233438,370730,137292,137292,135295,19000,,,,26421,2688,,4294,,,133,-45,-45
2015-03-19,4,2014,,8162.0,-2725,29431,0.0,18750,6117,0.12,0.12,,7446,,4567.0,7751,,389931,2014年度,21987,40737,21995,40745,-4155,33588,1319581,1926598,607017,607017,611172,104801,,-115.0,,116440,21987,,29433,,-19.0,869,-8,-8
2015-05-14,1,2015,,,-10070,3277,,1832,-1337,-0.07,-0.07,1832.0,566,,,4720,3169.0,91658,2015年01月01日至2015年03月31日,-12874,-11042,-12847,-11015,-9159,-3149,315443,456491,141048,141048,150207,25769,,,,32780,-12874,,-12308,,,1076,-27,-27
2015-08-12,2,2015,,-958.0,-3178,5736,,-11612,-2332,0.03,,-11612.0,2504,,,9304,-8322.0,93549,2015年第2季,5636,-5976,5621,-5992,-2782,10922,225348,369663,144315,144315,147097,25943,,,0.03,27605,5636,0.03,8140,,,940,15,16
2015-11-10,3,2015,,0.0,9035,4498,,-4775,5531,0.12,0.12,-4775.0,2854,,,5973,-10306.0,98371,2015年第3季,22663,17888,22738,17963,7120,18397,257059,418338,161279,161279,154159,27132,,,,28656,22663,,25517,,,1109,-75,-75
2016-03-16,4,2015,-3260.0,21597.0,-21388,20148,,6405,-2587,0.18,0.18,9665.0,3219,-367.0,,19065,-9345.0,420736,2015年度,32767,39172,32870,39275,23305,12681,1574928,2263048,688120,688120,664815,114769,-3486.0,,,129310,32767,,35986,-593.0,,5144,-103,-103
2016-05-12,1,2016,,,-1422,6140,,4487,-706,0.04,0.04,4487.0,1814,,,4491,5193.0,105002,2016年01月01日至2016年03月31日,7469,11956,7502,11988,2213,7070,380493,544436,163943,163943,161730,27709,,,,29019,7469,,9283,,,2139,-33,-32
2016-08-11,2,2016,,0.0,2178,5837,,-7199,-2878,0.07,0.07,-7199.0,1022,,,10779,-4321.0,107995,2016年第2季,13228,6029,13227,6028,-1982,16232,363922,523928,160006,160006,161988,26374,,,,27619,13228,,14250,,,2562,1,1
2016-11-03,3,2016,,0.0,4376,4619,,-298,-3519,0.1,0.1,-298.0,2039,,,7531,3221.0,108565,2016年第3季,18636,18338,18694,18396,7260,13415,277146,451064,173918,173918,166658,27957,,,,30136,18636,,20675,,,3111,-58,-58
