date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額
2013-05-10,1,2013,,,-2948,46968,19439,23420,0.18,,12472,,,-1263,,28582,2013年01月01日至2013年03月31日,58733,78172,58733,78172,28522,42683,1967337,2154596,187259,187259,158737,93359,,,0.18,36796,58733,71205,,3981.0,,74.0,2154596.0
2013-08-14,2,2013,,,-4636,46410,7875,9488,0.21,,18374,,,-3681,,19452,2013年04月01日至2013年06月30日,67783,75658,67783,75658,50189,35968,3169882,3387928,218046,218046,167857,113017,,,0.21,35388,67783,86157,,1613.0,,2125.0,
2013-11-13,3,2013,,,-18057,20201,-5747,-6924,0.1,,37771,,,-7132,,49848,2013年07月01日至2013年09月30日,33363,27616,33363,27616,77254,-6120,3494546,3776288,281742,281742,204488,114212,,,0.1,40428,33363,71134,,-1177.0,,1132.0,
2014-03-27,4,2013,,,-19856,176690,37342,34706,0.49,,63844,,,-64189,,143914,2013年01月01日至2013年12月31日,158176,195518,158176,195518,131408,90612,12095093,12910859,815766,815766,684358,402126,,7780,0.48,138318,158176,222020,,5144,,2033,
2014-05-07,1,2014,,,5016,35866,1886,2272,0.06,,5674,,,-24595,,82417,2014年01月01日至2014年03月31日,20172,22058,20172,22058,9559,16287,3608467,3826762,218295,218295,208736,90793,,,0.06,35526,20172,25846,,386.0,,0.0,3826762.0
2014-08-13,2,2014,,259902.0,-52780,17746,199993,-18946,0.35,,33860,,,-20802,,80085,2014年第2季,115350,315343,115350,315343,205046,-55836,4397109,4809573,412464,412464,207418,98400,,,0.35,28933,115350,149210,,40963.0,,0.0,
2014-11-07,3,2014,,-80052.0,14834,43432,-51470,18737,0.31,,34130,,,-10680,,35981,2014年第3季,102327,50857,102327,50857,88876,47581,3655714,3901128,245414,245414,156538,95506,,0.0,0.31,25051,102327,136457,,-9845.0,,5.0,
2015-03-27,4,2014,,87095.0,1921,72397,111404,27608,1.05,,101131,,8677.0,-81705,,228239,2014年度,341383,452787,341383,452787,449906,-7392,14886137,16078996,1192859,1192859,742953,411092,,9064.0,1.04,103622,341383,442514,,21040.0,,5.0,
2015-05-07,1,2015,,-5117.0,-70926,70658,-13686,-7116,0.4,-13686.0,37350,,,813,-3533.0,68597,2015年第1季,128869,115183,128869,115183,165674,545,3941828,4296842,355014,355014,189340,97349,,,0.39,23394,128869,166219,,,-2080.0,,4296842.0
2015-08-13,2,2015,,14440.0,-126675,51176,-3812,-15936,0.23,-3812.0,40351,,,-19646,-2570.0,68243,2015年第2季,76228,72416,76228,72416,211724,-95145,4225008,4632292,407284,407284,195560,102040,,,0.23,25277,76228,116579,,,-254.0,,
2015-11-12,3,2015,,-7876.0,64131,21213,44294,31495,0.38,44294.0,47300,,,-4051,24691.0,42096,2015年第3季,123315,167609,123315,167609,89322,81293,2462248,2732740,270492,270492,181170,114895,,,0.37,24179,123315,170615,,,4016.0,0.0,
2016-03-28,4,2015,0.0,9588.0,-146914,262612,14493,-7689,1.41,14493.0,204106,0.0,,-16618,12917.0,239299,2015年度,459043,473536,459043,473536,564069,99080,13090493,14408718,1318225,1318225,754156,416734,0.0,,1.39,98123,459043,663149,0.0,,323.0,0.0,
2016-05-11,1,2016,,-11528.0,-54410,42096,-21696,-5090,0.33,-21696.0,24929,,,15306,-7903.0,60154,2016年01月01日至2016年03月31日,106899,85203,106899,85203,128836,2992,2712153,3018293,306140,306140,177304,94202,,,0.32,22948,106899,131828,,,-2825.0,,3018293.0
2016-08-12,2,2016,,8501.0,4070,22891,-10924,-15201,0.24,-10924.0,26234,,,9003,-5362.0,45659,2016年第2季,79594,68670,79594,68670,69864,35964,2342978,2570851,227873,227873,158009,88075,,,0.24,24275,79594,105828,,,-1138.0,,
2016-11-09,3,2016,,53567.0,-68694,62306,9904,-23333,0.14,9904.0,9830,,,10471,-15192.0,39445,2016年第3季,45895,55799,45895,55799,51757,3968,2023603,2227321,203718,203718,151961,89842,,,0.14,22674,45895,55725,,,5138.0,115.0,
