date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額
2014-03-31,4,2013,,,-31115,11817,278451.0,121476,121476,4.76,4.76,,69323,578011,2013年01月01日至2013年12月31日,397592,519068,397592,519068,572964,-106049,2987792,4308557,1320765,1320765,1026252,118558,4.75,4.75,329683,397592,466915,86751,2987792.0,4308557.0
2014-08-14,2,2014,,,7002,6010,-3897.0,-15966,-15966,1.15,1.15,,52815,311074,2014年上半年度,102673,86707,102673,86707,188695,-33207,1815980,2571795,755815,755815,563223,68721,1.15,1.15,183428,102673,155488,46219,1815980.0,2571795.0
2014-11-11,3,2014,,,-5197,5965,-485.0,44534,44534,0.21,0.21,,9891,151771,2014年第3季,18312,62846,18312,62846,49228,-21025,806425,1132767,326342,326342,276629,34067,0.21,0.21,90791,18312,28203,21793,806425.0,1132767.0
2015-03-27,4,2014,,,-3952,14176,-4397.0,161924,161924,1.83,1.83,,83829,612776,2014年度,167930,329854,167930,329854,327706,-75947,3347036,4798743,1451707,1451707,1119604,134437,1.83,1.83,372391,167930,251759,86171,,
2015-05-14,1,2015,-33853.0,-33853.0,5100,4674,0.0,-44087,-10234,0.48,0.48,-10234.0,30083,183958,2015年01月01日至2015年03月31日,47914,3827,47914,3827,88172,-10175,892918,1316321,423403,423403,335231,45383,0.48,0.48,105890,47914,77997,19949,892918.0,1316321.0
2015-08-11,2,2015,-42395.0,-42395.0,6558,3559,0.0,-29984,12411,0.41,,12411.0,10423,189043,2015年第2季,41616,11632,41616,11632,66311,-14272,857510,1268332,410822,410822,344511,42919,0.41,,112549,41616,52039,24389,857510.0,1268332.0
2015-11-13,3,2015,191501.0,191501.0,27110,4655,-5.0,81123,-110378,0.87,,-110378.0,22402,193486,2015年第3季,87465,168588,87465,168588,103229,6638,891672,1343497,451825,451825,348591,46045,,,109060,87465,109867,25127,891672.0,1343497.0
2016-03-09,4,2015,110267.0,110267.0,35110,16438,-5.0,-54410,-164677,1.91,1.91,-164677.0,104992,734235,2015年度,191287,136877,191287,136877,340381,-44102,3508490,5186008,1677518,1677518,1337132,160494,1.91,1.91,442403,191287,296279,95650,,
2016-05-13,1,2016,-33653.0,-33653.0,1982,3498,,-48338,-14685,1.23,1.23,-14685.0,34374,202054,2016年01月01日至2016年03月31日,121597,73259,121597,73259,179125,-23154,1009479,1524337,514858,514858,335733,15880,1.23,1.23,117799,121597,155971,28634,1009479.0,1524337.0
2016-08-12,2,2016,-137355.0,-137355.0,16864,4958,-236.0,-65076,72279,1.29,1.29,72279.0,45844,177997,2016年第2季,127700,62624,127700,62624,179701,-6157,934063,1435484,501421,501421,321484,22803,1.29,1.29,120684,127700,173544,27979,934063.0,1435484.0
2016-11-11,3,2016,-125875.0,-125875.0,-835,9038,94.0,-106984,18891,1.21,,18891.0,30902,145874,2016年第3季,119620,12636,119620,12636,171719,-21197,891305,1353631,462326,462326,290701,20906,1.2,,123921,119620,150522,29400,891305.0,1353631.0
