date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-11-14,3,2013,,,-12719,4311,-19225,-19225,0.27,,11417,20145,2013年07月01日至2013年09月30日,16296,-2929,16296,-2929,38621,-10908,497939,599162,101223,101223,62602,6346,,,0.27,36111,16296,27713,,,,2500
2014-03-18,4,2013,,,-46990,22748,73192,73244,1.77,,54979,83471,2013年01月01日至2013年12月31日,106825,180017,106825,180017,194599,-32795,1956765,2400859,444094,444094,249495,24949,,-92,1.77,141075,106825,161804,,-40,,8553
2014-05-12,1,2014,,,547,3911,-434,-434,0.70,,13462,23814,2014年01月01日至2014年03月31日,47460,47026,47460,47026,58636,2286,499254,629072,129818,129818,71182,5326,,,0.70,42042,47460,60922,,,,2172
2014-08-12,2,2014,,,2047,2984,-32461,-32461,0.99,,20097,23845,2014年第2季,66865,34404,66865,34404,84126,2836,550817,696019,145202,145202,61076,5676,,,0.99,31555,66865,86962,,,,2195
2014-11-11,3,2014,,,-4458,5750,41806,41806,0.82,,17325,21384,2014年第3季,58174,99980,58174,99980,76418,-919,494093,627904,133811,133811,57393,5280,,,0.82,30729,58174,75499,,,,2211
2015-03-23,4,2014,,,-3600,18080,57475,55060,3.25,,67140,94594,2014年度,230569,288044,230569,288044,292294,5415,2080065,2633761,553696,553696,261402,22312,,2675,3.24,144496,230569,297709,,260,,9065
2015-05-11,1,2015,-21075,-21075,-1449,10511,-24796,-3721,0.82,-3721,15707,23322,2015年01月01日至2015年03月31日,58296,33500,58296,33500,67511,6492,516471,650772,134301,134301,66790,5642,,,0.82,37826,58296,74003,,,,2570
2015-08-03,2,2015,0,0,-1625,5388,-35915,-35915,0.88,-35915,20193,22013,2015年第2季,65198,29283,65198,29283,84035,1356,501937,647847,145910,145910,61875,5240,,,0.83,34622,65198,85391,,,,2407
2015-11-06,3,2015,0,0,14451,10759,39765,39765,0.89,39765,16428,19929,2015年第3季,66317,106082,66317,106082,59947,22798,456674,580666,123992,123992,64045,5903,,,0.89,38213,66317,82745,,,,2412
2016-03-14,4,2015,,-572,8015,37621,-23517,-22945,3.35,-22945,71362,87040,2015年度,246505,222988,246505,222988,282299,35568,1928987,2474627,545640,545640,263341,22280,-672,,3.20,154021,246505,317867,-100,,0,10068
2016-05-10,1,2016,0,0,-1609,5075,-28822,-28822,0.88,-28822,22599,22126,2016年01月01日至2016年03月31日,65530,36708,65530,36708,86912,1217,462173,617421,155248,155248,68336,6339,,,0.83,39871,65530,88129,,,,2249
2016-08-08,2,2016,,,2533,7357,-47490,-47490,1.13,-47490,30256,21574,2016年第2季,84386,36896,84386,36896,107297,7345,493719,664226,170507,170507,63210,6603,,,1.06,35033,84386,114642,,,,2545
2016-11-08,3,2016,0,0,1189,9431,-66797,-66797,1.07,-66797,28774,22900,2016年第3季,79801,13004,79801,13004,100617,7958,471473,639234,167761,167761,67144,6415,,,1.00,37829,79801,108575,,,,2662
