date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,30378,419004,36962,36962.0,416573,,386195,0.05,,51947,,-824,,2013年01月01日至2013年03月31日,113322,529895,124886,541545,-89466,254735,13121547,13869152,747605,747605,837071,,,,113322,165269,,0.0,,200407,,,-11564,-11650
2013-08-13,2,2013,,,17915,178081,39861,39861.0,141048,,123133,0.19,,87273,,3327,,2013年04月01日至2013年06月30日,438590,579638,426898,568838,506980,18883,13489049,14776963,1287914,1287914,780934,,,0.19,438590,525863,,0.0,,202386,,,11692,10800
2013-11-12,3,2013,,,18612,-256674,130761,130761.0,-207600,,-226212,0.15,,50622,,20460,,2013年07月01日至2013年09月30日,348487,140887,329422,122500,709927,-310818,14191327,15712650,1521323,1521323,811396,,,0.15,348487,399109,,0.0,,205365,,,19065,18387
2014-03-19,4,2013,,,106343,792319,254567,254567.0,578012,,421713,0.96,,360582,,39698,,2013年01月01日至2013年12月31日,2144182,2722194,2129108,2709594,2226661,278103,54204308,59688505,5484197,5484197,3257536,,60187.0,0.96,2144182,2504764,,10231.0,,808481,0.0,0.0,15074,12600
2014-05-14,1,2014,,,-9002,434314,53883,53883.0,280242,,289244,0.3,,107178,,16650,,2014年01月01日至2014年03月31日,656568,936810,655305,934473,463382,300364,13386889,14754387,1367498,1367498,904116,,,,656568,763746,,0.0,,204483,,,1263,2337
2014-08-12,2,2014,,,145301,-100162,64647,,-168179,,-313480,0.49,,286114,,15125,,2014年第2季,1100418,932239,1076428,909793,1614760,-228228,14206119,16656330,2450211,2450211,835451,,,0.48,1100418,1386532,,,,207838,,,23990,22446
2014-11-07,3,2014,,,-62153,461920,171425,,203555,,265708,0.82,,330418,,15416,,2014年第3季,1827924,2031479,1810218,2012069,1711599,446743,14984799,17608270,2623471,2623471,911872,,,0.82,1827924,2158342,,,,202018,,,17706,19410
2015-03-09,4,2014,,,132324,1576236,359752,359752.0,1118185,,928279,2.37,,1261599,,59076,,2014年度,5317594,6435779,5254074,6367365,5404502,1174691,57830591,66974244,9143653,9143653,3739151,,57606.0,2.37,5317594,6579193,,24.0,,820373,0.0,0.0,63520,68414
2015-05-12,1,2015,,,110507,200504,76705,76705.0,-99404,,-209911,0.93,-99404.0,403126,,11552,,2015年01月01日至2015年03月31日,2075830,1976426,2073635,1976218,2396421,82535,13729357,17160678,3431321,3431321,1034900,,,,2075830,2478956,,,0.0,206226,,,2195,208
2015-08-11,2,2015,0.0,0.0,-156856,301362,82308,,-340746,,-183890,0.49,-340746.0,411850,0.0,17742,0.0,2015年第2季,1088451,747705,1086314,747764,1313901,186400,14213473,16497410,2283937,2283937,970036,,,0.49,1088451,1500301,0.0,,,215012,,,2137,-59
2015-11-11,3,2015,,,-280567,1679168,200183,,829697,0.0,1110264,0.48,829697.0,800330,,10249,,2015年第3季,1051790,1881487,1055378,1883184,93650,1758470,14199153,15272014,1072861,1072861,979211,,,0.48,1051790,1852120,,,0.0,131130,,,-3588,-1697
2016-03-18,4,2015,,-13755.0,78049,1844932,428505,,616276,,552372,1.78,630031.0,1730924,,49789,,2015年度,3930645,4546921,3942909,4562247,4018523,1643046,55845773,63859142,8013369,8013369,3994846,-20997.0,,1.77,3930645,5661569,-7242.0,,390.0,680180,,,-12264,-15326
2016-05-11,1,2016,,,227283,-125330,71784,71784.0,-156923,,-384206,0.02,-156923.0,11014,,6075,,2016年01月01日至2016年03月31日,15218,-141705,42998,-114931,204660,-178428,12819516,14053240,1233724,1233724,1029064,,,,15218,26232,,,0.0,130957,,,-27780,-26774
2016-08-10,2,2016,0.0,0.0,202230,19004,59020,,265151,,62921,0.11,265151.0,164803,0.0,16282,0.0,2016年第2季,270994,536145,254172,519570,470135,-34338,12883802,14339184,1455382,1455382,985247,,,0.11,270994,435797,0.0,,,128644,,,16822,16575
2016-11-10,3,2016,,,-128228,-379031,203031,,-650265,0.0,-522037,0.02,-650265.0,-15085,,25100,,2016年第3季,68151,-582114,52170,-597124,331758,-278692,12809854,14068610,1258756,1258756,926998,,,0.02,68151,53066,,,0.0,127792,,,15981,15010
