date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,2264,5486,19820,19820,-0.17,,,0,,13789,2013年01月01日至2013年03月31日,-23671,-3851,-20294,-3020,-27334,3663,322782,347340,24558,24558,51892,4956,,,,,33147,-23671,,-23671,,,,4087,322782,,,347340,-3377,-831
2013-08-05,2,2013,,14791,2421,-6242,-6242,-0.09,,,8934,,14797,2013年04月01日至2013年06月30日,-11355,-17597,-11047,-14641,-15969,13548,336619,364359,27740,27740,43709,5011,,,,,23901,-11355,,-2421,,,,3664,336619,,,364359,-308,-2956
2013-11-04,3,2013,,-1144,1995,-27455,-27455,-0.06,,,1369,,11974,2013年07月01日至2013年09月30日,-9336,-36791,-7430,-29056,-4037,-3930,314874,355292,40418,40418,44455,4908,,,,,27573,-9336,,-7967,,,,4781,314874,355292.0,355292.0,355292,-1906,-7735
2014-03-19,4,2013,,1363,17514,15076,-7033,-0.69,,,6420,,54824,2013年01月01日至2013年12月31日,-99322,-84246,-83802,-63281,-82691,-10211,1325069,1433888,108819,108819,191510,20007,,26312.0,,,116679,-99322,,-92902,,4203.0,,29088,1325069,,,1433888,-15520,-20965
2014-05-07,1,2014,,3573,1783,11981,13813,-0.06,-0.06,,744,,14822,2014年01月01日至2014年03月31日,-8694,3287,-7828,1119,-9939,1989,293678,331046,37368,37368,47307,3937,,,,,28548,-8694,,-7950,,1832.0,,3367,293678,,,331046,-866,2168
2014-08-13,2,2014,,-7821,5058,-6056,-7236,0.04,,,580,,17433,2014年第2季,4415,-1641,4604,-1159,10867,-5872,336293,400211,63918,63918,53051,5981,,,,,29637,4415,,4995,,-1180.0,,3109,336293,,,400211,-189,-482
2014-11-13,3,2014,,-6896,3076,6518,7851,0.11,,,429,,17428,2014年第3季,11135,17653,13973,20479,20525,-8961,348691,422724,74033,74033,53508,790,,,,,35290,11135,,11564,,1333.0,,5141,348691,,,422724,-2838,-2826
2015-03-23,4,2014,,-11785,5566,-1137,12930,0.11,,,1620,,67776,2014年度,7531,6394,13052,12290,30899,-21748,1322982,1566405,243423,243423,212524,20637,,-14222.0,,,124111,7531,,9151,,-155.0,,15529,1322982,,,1566405,-5521,-5896
2015-05-08,1,2015,,-5195,2131,-36356,-42268,0.05,0.05,-36356.0,2131,,16971,2015年01月01日至2015年03月31日,5344,-31012,6322,-22544,14969,-7494,313520,377845,64325,64325,49356,6393,,,0.05,0.05,25992,5344,,7475,,,-5912.0,4430,313520,,,377845,-978,-8468
2015-08-12,2,2015,,-4119,4391,-17949,-20933,0.04,0.04,-17949.0,-456,,19154,2015年第2季,3995,-13954,4286,-10281,9439,-5900,353077,427859,74782,74782,65343,5912,,,0.04,0.04,40277,3995,,3539,,,-2984.0,6172,353077,,,427859,-291,-3673
2015-11-11,3,2015,,16147,9297,-18882,-20919,0.18,0.18,-18882.0,5020,,16906,2015年第3季,22093,3211,22004,12060,6901,20212,295855,363336,67481,67481,60580,6300,,,0.18,0.18,37374,22093,,27113,,,-2037.0,5232,295855,,,363336,89,-8849
2016-03-25,4,2015,-1325.0,1811,19287,-77537,-89044,0.29,,-76212.0,-9017,-1.0,73161,2015年度,32548,-44989,35076,-28901,25555,-2024,1275007,1549896,274889,274889,249334,32913,-1596.0,,,,143260,32548,,23531,-271.0,,-12832.0,23121,1275007,,,1549896,-2528,-16088
2016-05-03,1,2016,,-1869,1900,26330,30290,0.05,0.05,26330.0,3111,-13.0,18163,2016年01月01日至2016年03月31日,7508,33838,6337,25671,16540,-5921,333042,413601,80559,80559,64019,8718,,,0.05,0.05,37138,7508,,10619,,,3960.0,5939,333042,,,413601,1171,8167
2016-08-05,2,2016,,-9372,9217,-23468,-27864,0.03,0.03,-23468.0,2952,0.0,17171,2016年第2季,4405,-19063,4249,-17212,13449,-6092,335158,413180,78022,78022,64573,9536,,,0.03,0.03,37866,4405,,7357,,,-4396.0,5937,335158,,,413180,156,-1851
2016-11-04,3,2016,,-5330,12161,-35327,-41472,0.01,,-35327.0,2542,20.0,16747,2016年第3季,2464,-32863,1053,-28952,4379,627,283903,340860,56957,56957,52578,8517,,,0.01,,27314,2464,0.01,5006,,,-6145.0,6224,283903,,,340860,1411,-3911
