date,season,year,不重分類至損益之項目總額（稅後）,保險業務收益合計,保險業務淨收益,保險負債準備淨變動合計,停業單位損益合計,備供出售金融資產之已實現利益,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換利益,兌換損失,兌換損益,其他利息以外淨損益,其他利息以外淨收益,其他業務及管理費用,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,投資性不動產利益,投資性不動產損益,折舊及攤銷費用,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列關聯企業及合資損益之份額,採用權益法認列關聯企業及合資損益之份額合計,收益,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,費用,資產減損損失,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-27,1,2013,,623946.0,623946,,,351658.0,351658,90707.0,,0.0,1893083.0,-1893083,78140,78140.0,1425174,3274288,8419633,5586718,2832915,884379,3227087,298741,0.3,,-498690,1609344.0,1609344,53002.0,53002,228916,,-1075.0,-1075,13588079.0,2013年01月01日至2013年03月31日,,385207.0,2596760,2981967,8861006,4881177,,-4241.0,2596760,3095450.0,,0.3,,,,10492629.0,0.0,0.0,,2452356.0,0.0,2452356,10,10
2013-08-26,2,2013,,648828.0,648828,118910.0,,92476.0,92476,-980245.0,,0.0,166023.0,-166023,430652,430652.0,1380288,3211081,8582997,5667885,2915112,832468,3254375,-21733,0.29,,-470726,1525601.0,1525601,62541.0,62541,224848,,-1051.0,-1051,11973770.0,2013年04月01日至2013年06月30日,,-1001712.0,2597351,1595639,8878966,4859511,,-1958.0,2597351,3068077.0,,0.29,,2224.0,,8774165.0,12618.0,-12618.0,,630675.0,,630675,23,23
2013-11-25,3,2013,,543318.0,543318,6996.0,,181018.0,181018,275535.0,,1189261.0,0.0,1189261,233183,233183.0,1519214,2931138,8937654,5871057,3066597,965224,3218133,-144472,0.27,,-442231,1582912.0,1582912,36010.0,36010,233425,,-475.0,-475,12703356.0,2013年07月01日至2013年09月30日,,127463.0,2416972,2544435,8802195,4970772,,-3000.0,2416972,2859203.0,,0.27,,-600.0,,9821619.0,15538.0,-15538.0,,0.0,818551.0,-818551,12,12
2014-03-24,4,2013,,2194319.0,2194319,117470.0,,661570.0,661570,1694.0,,0.0,1183886.0,-1183886,843785,843785.0,5753584,12269325,35315843,23232367,12083476,3874858,12958111,209774,1.11,,-1833875,6353628.0,6353628,251663.0,251663,912532,,-5518.0,-5518,48880887.0,2013年01月01日至2013年12月31日,,309530.0,10051262,10360792,35501692,19624227,,119352.0,10051262,11885137.0,,1.11,,-21290.0,,36771965.0,106315.0,-106315.0,,3260079.0,0.0,3260079,49,49
2014-05-26,1,2014,,627731.0,627731,159025.0,,89603.0,89603,-45193.0,,,1312701.0,-1312701,75614,75614.0,1351832,3542654,9543669,6116103,3427566,1034246,3316372,268480,0.33,,-539261,1855168.0,1855168,,73973,240248,,-310.0,-310,12289102.0,2014年01月01日至2014年03月31日,,223194.0,3017773,3240967,9658757,4908452,,479.0,3017773,3557034.0,,0.33,,-572.0,,10687908.0,4633.0,,-4633.0,2138209.0,,2138209,4,4
2014-08-25,2,2014,,651034.0,651034,124443.0,,169236.0,169236,545555.0,,1278437.0,0.0,1278437,280117,280117.0,1538584,3426999,9570566,6140785,3429781,301226,3504501,-257101,0.35,,-562938,1826846.0,1826846,,55697,228403,,1395.0,1395,13056929.0,2014年第2季,,288628.0,3307689,3596317,9567784,5271488,,0.0,3307689,3870627.0,,0.35,,174.0,,9838258.0,59364.0,,-59364.0,0.0,776399.0,-776399,24,24
2014-11-24,3,2014,,,617866,151706.0,0.0,,429716,-158526.0,,,,-510908,164586,,1739614,3478010,9979937,6569458,3410479,260093,3581380,295728,0.37,,-609973,,1946438,,60040,238533,,,-1103,,2014年第3季,,136963.0,3466169,3603132,10047468,5559527,,0.0,3466169,4076142.0,,0.37,,-239.0,,,,,-16975.0,,,788350,24,24
2015-03-23,4,2014,,,2301440,307088.0,,,675753,882281.0,,,,-2123600,594823,594823.0,6445916,13293608,39285697,25523430,13762267,1639955,13952098,884590,1.41,,-2417544,,7509973,,274055,923416,,,-4891,,2014年度,,1491441.0,13131021,14622462,38817038,21321430,,-330015.0,13131021,15548565.0,,1.41,,54585.0,,,,,-89412.0,,,4155467,76,76
2015-05-25,1,2015,-72941.0,,765357,248819.0,0.0,,213725,,381789.0,,,1157225,141777,,1724579,3365817,10045471,6612481,3432990,126475,3352007,-124088,0.39,258108.0,-641325,,1828008,,46693,218819,-72941.0,,-1718,,2015年第1季,185167.0,,3666274,3851441,9978298,5295405,0.0,,3666274,,4307599.0,,0.0,,407.0,,,,0.0,,,-785250,12,12
2015-08-24,2,2015,-15032.0,,792232,210641.0,0.0,,101450,,243772.0,,,925683,299134,,1819206,3357610,10109326,6703076,3406250,-238649,3456371,-248468,0.4,-2915.0,-679334,,1801829,,67268,215123,-15032.0,,-1214,,2015年第2季,-17947.0,,3918660,3900713,10060686,5490700,0.0,,3918660,,4597994.0,0.4,0.0,,1781.0,,,,2205.0,,,-630977,34,34
