date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,,,385,615,0,793,793,1.09,,,10978,,,0,-1943,13129,2013年01月01日至2013年03月31日,,53600,54393,,53600,54393,65521,-943,232475,336923,104448,104448,38927,7450,,,1.07,,18348,53600,,64578,,,,,,,,,,,,
2013-08-09,2,2013,,,,,,-340,1874,,402.0,402.0,0.95,,,10105,,,0.0,-3592.0,14492.0,2013年04月01日至2013年06月30日,,46619,47021,,46619,47021,58785,-2061,210415,307093,96678,96678,37893,7763.0,,,0.93,,15638.0,46619,0.93,56724,,,,3.0,,,,,,,,
2013-11-08,3,2013,,,,,,-3880,1557,,-202.0,-202.0,0.42,,,4519,,,0.0,-3760.0,16282.0,2013年07月01日至2013年09月30日,,22778,22576,,22778,22576,34462,-7165,242345,346832,104487,104487,70025,6888.0,,,0.41,,46855.0,22778,,27297,,,,1082.0,,,,,,,,
2014-03-28,4,2013,,,,,,-3169,6091,,3016.0,1178.0,2.78,,,33842,,,-291.0,-12167.0,58570.0,2013年01月01日至2013年12月31日,,159938,162954,,159938,162954,205859,-12079,895753,1292734,396981,396981,191122,32088.0,,2565.0,2.43,,100464.0,159938,2.43,193780,,436.0,,2834.0,,,,,,,,
2014-05-09,1,2014,,,,,,4347,1201,,-222.0,-222.0,0.97,,,16343,,,,-3802.0,18727.0,2014年01月01日至2014年03月31日,,63605,63383,,63605,63383,79693,255,244022,374574,130552,130552,50859,8782.0,,,0.87,,23350.0,63605,,79948,,,,1491.0,,,,,,,,
2014-08-13,2,2014,,,,,,37272,1675,,-88.0,-88.0,1.42,,,20037,,,,-2189.0,,2014年第2季,,93181,93093,,93181,93093,77220,35998,288694,416440,127746,127746,50526,,,,1.26,,,93181,,113218,,,,760.0,,,,,,,,
2014-11-12,3,2014,,,,,,-1240,1297,,337.0,337.0,0.88,,,13041,,,,0.0,17746.0,2014年第3季,,60678,61015,,60678,61015,76604,-2885,249424,367385,117961,117961,41357,9694.0,,,0.8,,13917.0,60678,0.88,73719,,,,2942.0,,,,,,,,
2015-03-13,4,2014,,,,,,48490,5622,,-2768.0,-233.0,3.83,,,70255,,,0.0,-5990.0,70530.0,2014年度,,264839,262071,,264839,262071,295366,39728,1012509,1491862,479353,479353,183987,36119.0,,-3054.0,3.43,,77338.0,264839,3.83,335094,,-519.0,,8394.0,,,,,,,,
2015-04-29,1,2015,0.0,0.0,,,,-1587,2703,,0.0,0.0,1.33,,0.0,20849,0.0,0.0,,0.0,28489.0,2015年01月01日至2015年03月31日,,92818,92818,0.0,92818,92818,115737,-2070,273443,443065,169622,169622,53885,9999.0,0.0,,1.2,,15397.0,92818,,113667,0.0,,0.0,3186.0,0.0,,,,,,,
2015-08-12,2,2015,0.0,0.0,,,,-3615,1214,,0.0,0.0,1.79,,0.0,24605,0.0,0.0,,0.0,35592.0,2015年第2季,,124750,124750,0.0,124750,124750,154804,-5449,360661,579644,218983,218983,64179,9455.0,0.0,,1.59,,19132.0,124750,,149355,0.0,,0.0,3048.0,0.0,,360661.0,,,,,
2015-11-10,3,2015,,,,0.0,,20433,834,0.0,0.0,0.0,1.34,,0.0,19847,,,,0.0,26103.0,2015年第3季,,95202,95202,,95202,95202,95608,19441,292627,438507,145880,145880,50272,8572.0,,,1.21,,15597.0,95202,1.34,115049,,,,1826.0,,,292627.0,,438507.0,438507.0,0.0,
2016-03-30,4,2015,,-1199,-7727,,0,15581,5678,,-8926,0,5.17,5.17,-7727,77588,,,,0,115792,2015年度,77588,373902,364976,,373902,364976,439687,11803,1155449,1810501,655052,655052,215365,35391,-1444,,4.78,4.78,64182,373902,,451490,-245,,,9456,,,1155449,,,1810501,,0
2016-05-09,1,2016,,,,,,-7575,829,,,,2.06,,,32339,,,,,58805.0,2016年01月01日至2016年03月31日,,156935,156935,,156935,156935,197162,-7888,353300,645479,292179,292179,95017,10863.0,,,1.98,,25349.0,156935,,189274,,,,1142.0,,,,,,,,
2016-08-11,2,2016,,,,,,-355,918,,,,1.72,,,30740,,,,,30605,2016年第2季,,131478,131478,,131478,131478,162523,-305,296970,522605,225635,225635,63112,8875,,,1.65,,23632,131478,,162218,,,,868,,,296970,,,,,
2016-11-11,3,2016,,,,0.0,0.0,-12783,1093,,,,1.19,,,19312,,,,,37102.0,2016年第3季,,94429,94429,,94429,94429,125438,-11697,287871,476680,188809,188809,63371,8546.0,,,1.18,,17723.0,94429,,113741,,,,7.0,,287871.0,287871.0,476680.0,476680.0,476680.0,0.0,0.0
