date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,-995,4319,,-569.0,2780,3349,0.58,,,11824,120687,2013年01月01日至2013年03月31日,,62845,65625,62845,65625,74045,624,513108,726305,213197,213197,139152,,,18465,62845,74669,,,,2700,513108.0,513108.0,726305.0,0.0,0.0
2013-08-13,2,2013,,,,2176,4166,0.0,,-1012,-1219,-0.12,0.0,,-1269,104588,2013年04月01日至2013年06月30日,0.0,-12840,-13852,-12840,-13852,-18418,4309,377778,480358,102580,102580,120998,,,16410,-12840,-14109,,-207.0,,2033,377778.0,377778.0,480358.0,,
2013-11-08,3,2013,,,,-51457,4473,,-8114.0,39609,47723,0.02,,,-7252,131233,2013年07月01日至2013年09月30日,,2682,42291,2682,42291,44048,-48618,456753,653643,196890,196890,152842,,,21609,2682,-4570,,,,1634,,,653643.0,0.0,
2014-03-12,4,2013,,,,-50746,20840,,,31093,49871,1.26,,,20250,518431,2013年01月01日至2013年12月31日,,136168,167261,136168,167261,194327,-37909,1898917,2685119,786202,786202,591875,,-12410.0,73444,136168,156418,,6368.0,,8003,,,,,
2014-05-12,1,2014,,,332767.0,-649,8163,,-7.0,332799,39,0.21,,,9161,125381,2014年01月01日至2014年03月31日,,23243,356042,23243,356042,26625,5779,494232,661979,167747,167747,141122,,,15741,23243,32404,,,,1735,494232.0,494232.0,661979.0,0.0,0.0
2014-08-13,2,2014,,,81796.0,112025,3403,,,81762,-41,0.87,,,-5254,110575,2014年第2季,,93940,175702,93940,175702,-25129,113815,369586,470184,100598,100598,125727,,,15152,93940,88686,,-7.0,,1613,369586.0,369586.0,470184.0,,0.0
2014-11-13,3,2014,,,-70488.0,-1542,4436,,-5.0,-70458,35,0.11,,,2283,131419,2014年第3季,,11461,-58997,11461,-58997,12315,1429,459705,621504,161799,161799,149484,,,18065,11461,13744,,,,1465,,,621504.0,0.0,
2015-03-11,4,2014,,,269205.0,117949,16063,,,266347,102,1.55,,,14468,511740,2014年度,,167464,433811,167464,433811,54321,127611,1737004,2371613,634609,634609,580288,,-3545.0,68548,167464,181932,,-585.0,,6401,,,,,
2015-05-11,1,2015,0.0,0.0,-31947.0,-2195,3798,,,-31962,-18,0.67,,-31962.0,14314,111205,2015年01月01日至2015年03月31日,,73060,41098,73060,41098,87072,302,492919,705960,213041,213041,125969,,,14764,73060,87374,,,-3.0,1301,492919.0,492919.0,705960.0,0.0,0.0
2015-08-11,2,2015,0.0,0.0,-110172.0,2775,3229,,,-110188,-19,-0.23,,-110188.0,-5571,101825,2015年第2季,,-25026,-135214,-25026,-135214,-35864,5267,330971,412806,81835,81835,117699,,,15874,-25026,-30597,,,-3.0,737,330971.0,330971.0,412806.0,,0.0
2015-11-10,3,2015,,,31137.0,-50,4013,,,31235,118,0.09,,31235.0,1888,130191,2015年第3季,,10008,41243,10008,41243,8950,2946,412451,567593,155142,155142,146192,,,16001,10008,11896,,,20.0,1017,,,567593.0,0.0,
2016-02-24,4,2015,,2525.0,126528.0,882,16676,,,129116,76,0.94,,126591.0,18815,501519,2015年度,,101818,230934,101818,230934,107085,13548,1642692,2317070,674378,674378,567293,3042.0,,65774,101818,120633,517.0,,13.0,4010,,,,,
2016-05-10,1,2016,0.0,0.0,-43751.0,5227,4820,,,-43788,-44,0.3,,-43788.0,7386,108234,2016年01月01日至2016年03月31日,,32507,-11281,32507,-11281,32036,7857,449951,604459,154508,154508,122472,,,14238,32507,39893,,,-7.0,2190,449951.0,449951.0,604459.0,0.0,0.0
2016-08-11,2,2016,0.0,0.0,66282.0,348,5237,,,66285,2,-0.37,,66285.0,-1744,97336,2016年第2季,,-40525,25760,-40525,25760,-46021,3752,279565,346699,67134,67134,113155,,,15819,-40525,-42269,,,-1.0,1833,279565.0,279565.0,346699.0,,0.0
2016-11-10,3,2016,,,-26268.0,9587,4124,,,-26312,-52,0.15,,-26312.0,1142,120880,2016年第3季,,16447,-9865,16447,-9865,5070,12519,381211,523223,142012,142012,136942,,,16062,16447,17589,,,-8.0,1192,,,523223.0,0.0,
