date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-05-13,1,2013,,,6735,9428,10593,12763,0.05,0.05,,3833,-3038.0,24404,2013年01月01日至2013年03月31日,6892,17485,6892,17485,945,9780,887362,943833,56471,56471,55526,2972,,,0.05,0.05,28150,6892,10725,,2170.0,,3345
2013-08-09,2,2013,,,7285,11083,29471,35508,0.05,0.05,,-1059,-3552.0,24692,2013年04月01日至2013年06月30日,6518,35989,6518,35989,-5570,11029,844011,902632,58621,58621,64191,3295,,,0.05,0.05,36204,6518,5459,,6037.0,,3787
2013-11-12,3,2013,,,-5266,8452,-2735,-3296,0.11,0.11,,-2144,-1318.0,27843,2013年07月01日至2013年09月30日,14624,11889,14624,11889,14029,-1549,760044,826027,65983,65983,51954,2677,,,0.11,0.11,21434,14624,12480,,-561.0,,3417
2014-03-21,4,2013,,,19208,95102,18027,24081,0.54,0.54,,11243,-10046.0,107068,2013年01月01日至2013年12月31日,71279,89306,71279,89306,-7254,89776,3372675,3599559,226884,226884,234138,13374,,-2361.0,0.54,0.54,113696,71279,82522,,3693.0,,14488
2014-05-09,1,2014,,,-9280,11334,-1440,-1735,0.04,0.04,,2046,-484.0,28600,2014年01月01日至2014年03月31日,5445,4005,5445,4005,9660,-2169,799948,869750,69802,69802,60142,2885,,0.0,0.04,0.04,28657,5445,7491,,-295.0,,3739
2014-08-08,2,2014,,,-10522,16169,-6823,-8220,0.05,0.05,,1754,29.0,28369,2014年第2季,7087,264,7087,264,6858,1983,728719,793248,64529,64529,57671,4686,,,0.05,0.05,24616,7087,8841,,-1397.0,,3693
2014-11-07,3,2014,,,6756,9988,10922,13159,0.09,0.09,,1880,76.0,28095,2014年第3季,11307,22229,11307,22229,57,13130,834892,894338,59446,59446,59389,5307,,,0.09,0.09,25987,11307,13187,,2237.0,,3690
2015-03-19,4,2014,,,-8525,66546,15873,17210,0.44,0.44,,16826,-457.0,118328,2014年度,56930,72803,56930,72803,31045,42711,3254758,3533648,278890,278890,247845,18685,,1914.0,0.44,0.44,110832,56930,73756,,3251.0,,14853
2015-05-12,1,2015,-61.0,-2.0,-11005,11292,-4304,-5109,0.15,0.15,-4243.0,3052,0.0,33657,2015年01月01日至2015年03月31日,19396,15092,19396,15092,25981,-3533,755132,843838,88706,88706,62725,4540,-74.0,,0.15,0.15,24528,19396,22448,-13.0,,-868.0,3820
2015-08-11,2,2015,0.0,184.0,-6241,12224,-5317,-6628,0.2,0.2,-5317.0,9337,0.0,35257,2015年第2季,26364,21047,26364,21047,33812,1889,802090,900487,98397,98397,64585,4982,0.0,,0.2,0.2,24346,26364,35701,0.0,,-1127.0,4094
2015-11-09,3,2015,0.0,149.0,5803,13246,15136,18056,0.28,0.28,15136.0,7359,0.0,33838,2015年第3季,35932,51068,35932,51068,27704,15587,748145,843702,95557,95557,67853,5977,0.0,,0.28,0.28,28038,35932,43291,0.0,,3069.0,3462
2016-03-23,4,2015,-1508.0,416.0,-20921,59723,-5289,-5057,0.7,0.7,-3781.0,23024,0.0,140590,2015年度,90942,85653,90942,85653,90277,23689,3137175,3502011,364836,364836,274559,21425,-1817.0,,0.7,0.7,112544,90942,113966,-309.0,,-860.0,15113
2016-05-11,1,2016,0.0,59.0,-9431,11612,-6276,-7633,0.25,0.25,-6276.0,6492,,36643,2016年01月01日至2016年03月31日,31866,25590,31866,25590,39296,-938,736701,848203,111502,111502,72206,4610,0.0,,0.24,0.24,30953,31866,38358,0.0,,-1298.0,3119
2016-08-10,2,2016,0.0,-475.0,-18765,13604,-10058,-11545,0.25,0.25,-10058.0,9007,,33859,2016年第2季,32453,22395,32453,22395,49651,-8191,698203,810336,112133,112133,62482,4915,0.0,,0.25,0.25,23708,32453,41460,0.0,,-1962.0,3030
2016-11-09,3,2016,0.0,0.0,-30556,11907,-10755,-12958,0.17,0.17,-10755.0,6473,0.0,34933,2016年第3季,21981,11226,21981,11226,50097,-21643,640132,750705,110573,110573,60476,5505,0.0,,0.17,0.17,20038,21981,28454,0.0,,-2203.0,2994
